"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Attention-based 3D Convolutional Network for Alzheimer’s Disease Diagnosis and Biomarkers Exploration","D. Jin; J. Xu; K. Zhao; F. Hu; Z. Yang; B. Liu; T. Jiang; Y. Liu","Brainnetome Center & National Laboratory of Pattern Recognition, Institute of Automation Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Brainnetome Center & National Laboratory of Pattern Recognition, Institute of Automation Chinese Academy of Sciences, Beijing, China; Brainnetome Center & National Laboratory of Pattern Recognition, Institute of Automation Chinese Academy of Sciences, Beijing, China; Brainnetome Center & National Laboratory of Pattern Recognition, Institute of Automation Chinese Academy of Sciences, Beijing, China; Brainnetome Center & National Laboratory of Pattern Recognition, Institute of Automation Chinese Academy of Sciences, Beijing, China; Brainnetome Center & National Laboratory of Pattern Recognition, Institute of Automation Chinese Academy of Sciences, Beijing, China; Brainnetome Center & National Laboratory of Pattern Recognition, Institute of Automation Chinese Academy of Sciences, Beijing, China","2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI 2019)","11 Jul 2019","2019","","","1047","1051","Modern advancements in deep learning provide a powerful framework for disease classification based on neuroimaging data. However, interpreting the classification decision of convolutional neural network remains a challenging task. It is crucial to track the attention of neural network and provide valuable information about which brain areas are particularly related to the diagnosis of disease. In this paper, we propose a novel attention-based 3D ResNet architecture to diagnose Alzheimer's disease (AD) and explore potential biological markers. Experiments are conducted on 532 subjects (0227 of patients with AD and 305 of normal controls). By introducing the attention mechanism, the proposed approach further improves the classification performance and identifies important brain regions for AD classification simultaneously. The experiments also show that significant brain regions for AD diagnosis captured by our attention-based network are accompanied by significant changes in gray matter.","1945-8452","978-1-5386-3641-1","10.1109/ISBI.2019.8759455","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8759455","Attention mechanism;convolutional neural network;Alzheimer’s disease;computer-aided diagnosis","Three-dimensional displays;Diseases;Grey matter;Biomarkers;Brain modeling;Deep learning;Magnetic resonance imaging","biomedical MRI;brain;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neural nets;neurophysiology","attention-based network;AD diagnosis;significant brain regions;AD classification;important brain regions;classification performance;attention mechanism;potential biological markers;attention-based 3D ResNet architecture;brain areas;convolutional neural network;classification decision;neuroimaging data;disease classification;deep learning;modern advancements;biomarkers exploration;Alzheimer's disease diagnosis;3D convolutional network","","1","","26","","11 Jul 2019","","","IEEE","IEEE Conferences"
"An Empirical Performance Analysis of Brain Image Classification Models Using Variants of Neural Networks","P. Satapathy; S. K. Pradhan; S. Hota","Utkal University, India; Utkal University, India; Siksha 'O' Anusandhan University, India","2019 International Conference on Applied Machine Learning (ICAML)","10 Feb 2020","2019","","","87","91","This paper presents the empirical comparison of different neural network models for the classification of brain Magnetic Resonance Images (MRIs). This work comprises of four stages i.e. dataset collection, feature extraction, feature reduction and classification. The two brain MRI datasets i.e. the Glioma and Alzheimer datasets are considered for this work. Discrete wavelet transformation (DWT) technique is used for the extraction of features from brain MRIs. Principal Component Analysis (PCA) technique is used to for feature reduction to get relevant features. For the classification task, two variants of neural networks i.e. Backpropagation Neural Network (BPNN) and Extreme Learning Machine (ELM) are used and the classification performances are compared using different performance measures. The simulation study exhibits that DWT+PCA+ELM model outperformed the other models for the classification of normal and diseased brain for the two datasets.","","978-1-7281-3908-1","10.1109/ICAML48257.2019.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8989287","Machine Learning, Pathological, Magnetic Resonance Imaging, Backpropagation, Discrete Wavelet Transformation","","backpropagation;biomedical MRI;brain;discrete wavelet transforms;diseases;feature extraction;image classification;medical image processing;neural nets;principal component analysis","normal brain;diseased brain;brain image classification models;neural network models;feature extraction;feature reduction;brain MRI datasets;discrete wavelet transformation;principal component analysis;backpropagation neural network;brain magnetic resonance images;DWT-PCA-ELM model;Alzheimer datasets;Glioma datasets;extreme learning machine","","","","17","","10 Feb 2020","","","IEEE","IEEE Conferences"
"Classification of Mild Cognitive Impairment and Alzheimer’s Disease from Magnetic Resonance Images using Deep Learning","M. Raju; T. V. Sudila; V. P. Gopi; V. S. Anitha","GEC Wayanad,Department of ECE,Kerala,India,670644; GEC Wayanad,Department of ECE,Kerala,India,670644; NIT Tiruchirappalli,Department of ECE,Kerala,India,670644; GEC Wayanad,Department of ECE,Kerala,India,670644","2020 International Conference on Recent Trends on Electronics, Information, Communication & Technology (RTEICT)","13 Jan 2021","2020","","","52","57","Mild cognitive impairment (MCI) is an early stage of Alzheimer's disease (AD). Since AD is unlikely to modify its related and intrinsic decay, early diagnosis is crucial, which gives patients a chance to rearrange their lives. Identifying the MCI level is essential, as it assists with further treatment and preliminary steps to control the forward progression towards AD. Brain tissue segmentation is an important aspect of clinical diagnostic tools, yielding excellent results compared to conventional segmentation methods or individual modalities. In this work, the Meta-Heuristic Markov Random Field Segmentation method is used to separate brain tissue, followed by the extraction of intensity, texture, and shape-based features of the segmented Cerebral Spinal Fluid (CSF) and Grey Matter (GM). With the proposed technique, the pre-processing of the input image improves quality and reduces noise. The segmentation is based on multilevel thresholding using Particle Swarm Optimization (PSO) and further improving using Markov Random Field model. Segmented brain tissue (GM and CSF) are used to extract features on shape, intensity, and texture. The four-layer deep neural network is used to classify features. The proposed method is tested with the standard dataset from Alzheimer's disease-neuro imaging (ADNI). The proposed method achieved a high accuracy rate of 97.5%. A comparison with the previous work yielded results that demonstrate this method's superiority in terms of the classification of AD and MCI.","","978-1-7281-9772-2","10.1109/RTEICT49044.2020.9315695","National Institutes of Health; National Institutes of Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315695","Mild Cognitive Impairment;Alzheimer’s Disease;Deep Learning;Meta-Heuristic Markov Random Field Segmentation;Particle Swarm Optimization","Feature extraction;Magnetic resonance imaging;Image segmentation;Deep learning;Alzheimer's disease;Image edge detection;Markov random fields","biological tissues;biomedical MRI;brain;diseases;feature extraction;image classification;image segmentation;learning (artificial intelligence);Markov processes;medical image processing;neural nets;neurophysiology;particle swarm optimisation","mild cognitive impairment;magnetic resonance images;deep learning;MCI level;brain tissue segmentation;clinical diagnostic tools;conventional segmentation methods;shape-based features;CSF;Markov random field model;segmented brain tissue;four-layer deep neural network;segmented cerebral spinal fluid;meta-Heuristic Markov random field segmentation method;grey matter;particle swarm optimization;Alzheimer disease-neuroimaging","","","","21","","13 Jan 2021","","","IEEE","IEEE Conferences"
"Intelligent Alzheimer's Detector Using Deep Learning","M. Puranik; H. Shah; K. Shah; S. Bagul","Dwarkadas. J. Sanghvi College Of Engineering, Department of Computer Engineering, Vile Parle, Mumbai, India; Dwarkadas. J. Sanghvi College Of Engineering, Department of Computer Engineering, Vile Parle, Mumbai, India; Dwarkadas. J. Sanghvi College Of Engineering, Department of Computer Engineering, Vile Parle, Mumbai, India; Dwarkadas. J. Sanghvi College Of Engineering, Department of Computer Engineering, Vile Parle, Mumbai, India","2018 Second International Conference on Intelligent Computing and Control Systems (ICICCS)","10 Mar 2019","2018","","","318","323","Researchers of the era are constantly striving to achieve accurate, precise algorithms incorporated in highly affordable models, trying to assist the medical practitioners in solving complex medical problems(Alzheimer's). Deep Learning is state-of-the-art learning algorithm in classification and exceptionally efficacious in extracting high level features from multi-dimensional data. In this system we use Convolutional Neural Network particularly for classification of fMRI clinical data on stages of Alzheimer's disease brain from Diseased(AD), Early Mild Cognitive Impairment(EMCI) to those who are normal, having healthy brains. Usage of MRI data has already been done[1] for binary classification. We aim to generalize the classifier into categorizing the images into three different distinct classes. The deep learning pipeline involved critical steps of correctly preprocessing 4D fMRI images i.e. 3D images varying with time. The preprocessing steps involved, proved to be critical in having distinct 2D image slices of Normal, EMCI and AD for better accuracy in understanding the most discriminative features of the fMRI brain scans. Transfer Learning is the concept involved wherein we utilize pretrained complex deep models for classification of images. Advantage of this learning over constructing a new convolutional network is that the knowledge gained during training of ImageNet Dataset fastens the learning process in addition to increased accuracy. We have adopted Inception Resnet V2 model and hope to achieve a competitive accuracy. The aim of the project is to create an Alzheimer's Detector ousting the accuracy of modern radiologists so as to reduce the effort and money of consulting a Radiologist.","","978-1-5386-2842-3","10.1109/ICCONS.2018.8663065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8663065","Convolutional Neural Network;Deep Learning;fMRI;Alzheimer's Disease","Feature extraction;Neurons;Diseases;Functional magnetic resonance imaging;Deep learning;Computational modeling","biomedical MRI;brain;cognition;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neural nets","binary classification;deep learning pipeline;distinct 2D image slices;fMRI brain scans;complex deep models;medical practitioners;Alzheimer's disease brain;intelligent Alzheimer's detector;multi-dimensional data;4D fMRI image classification;convolutional neural network;high level feature extraction;transfer learning;discriminative feature extraction;early mild cognitive impairment","","","","13","","10 Mar 2019","","","IEEE","IEEE Conferences"
"A Novel End-to-End Hybrid Network for Alzheimer's Disease Detection Using 3D CNN and 3D CLSTM","Z. Xia; G. Yue; Y. Xu; C. Feng; M. Yang; T. Wang; B. Lei","School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology, Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging,Shenzhen,China,518060; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology, Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging,Shenzhen,China,518060; Ningbo Institute of Industrial Technology, Chinese Academy of Sciences,Ningbo,China,530031; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology, Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging,Shenzhen,China,518060; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology, Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging,Shenzhen,China,518060; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology, Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging,Shenzhen,China,518060; School of Biomedical Engineering, Health Science Center, Shenzhen University, National-Regional Key Technology, Engineering Laboratory for Medical Ultrasound, Guangdong Key Laboratory for Biomedical Measurements and Ultrasound Imaging,Shenzhen,China,518060","2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI)","22 May 2020","2020","","","1","4","Structural magnetic resonance imaging (sMRI) plays an important role in Alzheimer's disease (AD) detection as it shows morphological changes caused by brain atrophy. Convolutional neural network (CNN) has been successfully used to achieve good performance in accurate diagnosis of AD. However, most existing methods utilized shallow CNN structures due to the small amount of sMRI data, which limits the ability of CNN to learn high-level features. Thus, in this paper, we propose a novel unified CNN framework for AD identification, where both 3D CNN and 3D convolutional long short-term memory (3D CLSTM) are employed. Specifically, we firstly exploit a 6-layer 3D CNN to learn informative features, then 3D CLSTM is leveraged to further extract the channel-wise higher-level information. Extensive experimental results on ADNI dataset show that our model has achieved an accuracy of 94.19% for AD detection, which outperforms the state-of-the-art methods and indicates the high effectiveness of our proposed method.","1945-8452","978-1-5386-9330-8","10.1109/ISBI45749.2020.9098621","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9098621","Alzheimer 's disease detection;Structural magnetic resonance imaging;3D convolutional neural network;3D convolutional long short-term memory","Three-dimensional displays;Feature extraction;Magnetic resonance imaging;Two dimensional displays;Convolution;Diseases;Solid modeling","biomedical MRI;brain;diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neural nets;neurophysiology","shallow CNN structures;sMRI data;high-level features;CNN framework;3D convolutional long short-term memory;end-to-end hybrid network;Alzheimer's disease detection;structural magnetic resonance imaging;convolutional neural network;6-layer 3D CLSTM","","","","12","","22 May 2020","","","IEEE","IEEE Conferences"
"Volumetrie Data Augmentation as an Effective Tool in MRI Classification Using 3D Convolutional Neural Network","M. Kompanek; M. Tamajka; W. Benesova","Faculty of Informatics and Information Technologies, Slovak University of Technology, Bratislava, 84216, Slovakia; Faculty of Informatics and Information Technologies, Slovak University of Technology, Bratislava, 84216, Slovakia; Faculty of Informatics and Information Technologies, Slovak University of Technology, Bratislava, 84216, Slovakia","2019 International Conference on Systems, Signals and Image Processing (IWSSIP)","5 Aug 2019","2019","","","115","119","Deep learning has become a default choice for many researchers in the areas of prediction and automatic diagnostics of different diseases. One of the prerequisites for achieving good results in the domain of an automatic diagnostics is the size and quality of the training set. One of the most serious challenges in the domain of a medical image analysis is the lack of manually annotated data. In this work, we use a relatively simple convolutional neural network to classify MRI images as either cognitively normal or those suffering from Alzheimer's disease. Based on a quantitative analysis of multiple techniques, we propose to use a specific set of data augmentation techniques to improve the generalization of the deep neural network model. The proposed approach was compared with three different approaches using the same neural network - one approach with no data augmentation, one with regularization not specific to visual data (dropout and weight decay) and one with extensive data augmentation specific for images. We conclude that by using the proposed set of augmentation techniques, including novel perturbed normalization, we postponed overfitting, which resulted in a better generalized model.","2157-8702","978-1-7281-3227-3","10.1109/IWSSIP.2019.8787315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8787315","3D CNN;Alzheimer’s disease;MRI;volumetric data augmentation","Magnetic resonance imaging;Diseases;Training;Task analysis;Three-dimensional displays;Biological neural networks;Brain modeling","biomedical MRI;convolutional neural nets;diseases;image classification;learning (artificial intelligence);medical image processing","3D convolutional neural network;medical image analysis;deep learning;MRI classification;volumetrie data augmentation;deep neural network model;data augmentation techniques;Alzheimer's disease;MRI images","","","","24","","5 Aug 2019","","","IEEE","IEEE Conferences"
"Automatic Localization and Discrete Volume Measurements of Hippocampi From MRI Data Using a Convolutional Neural Network","A. Basher; B. C. Kim; K. H. Lee; H. Y. Jung","Department of Computer Engineering, Chosun University, Gwangju, South Korea; National Research Center for Dementia, Chosun University, Gwangju, South Korea; National Research Center for Dementia, Chosun University, Gwangju, South Korea; Department of Computer Engineering, Chosun University, Gwangju, South Korea","IEEE Access","22 May 2020","2020","8","","91725","91739","Automatic hippocampal volume measurement from brain magnetic resonance imaging (MRI) is a crucial task and an important research area, especially in the study of neurodegenerative diseases; hippocampal volume atrophy is known to be connected with Alzheimer's disease. In this research work, we propose a deep learning-based method to automatically measure the discrete hippocampal volume without prior segmentation of the volumetric MRI scans. We constructed a 2-D convolutional neural network (CNN) model that uses 3-channel 2-D patches to predict the number of voxels attributed to the hippocampus; the number of estimated hippocampal voxels is multiplied by the voxel volume to measure the discrete volume of the hippocampus. In addition, we demonstrate a preprocessing scheme to prepare the data using a relatively small number of MRI scans. The average errors in the measured volumes of the proposed approach and the compared atlas-based system were 4.3173 ± 3.5436 (avg. error% ± STD) and 4.1562 ±3.5262 (avg. error % ± STD) for the left and right hippocampi, respectively. The correlation coefficients of the proposed approach with atlas-based volume measurement were statistically significant (p-value <; 0.01, R2 = 0.834 (left hippocampus), and R2 = 0.848 (right hippocampus) based on 0.05 significance level), which suggests that the proposed approach can be used as a proxy method for the atlas-based system. Furthermore, the proposed approach is computationally efficient and requires less than 2 seconds to calculate the number of voxels for an MRI scan. Moreover, our method outperforms the state-of-the-art deep learning approach, such as 2-D U-Net and SegNet in the context of voxel/volume estimation errors% for the left and right hippocampi.","2169-3536","","10.1109/ACCESS.2020.2994388","Research Fund from Chosun University 2019; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9093026","MRI;hippocampus;patch;Hough-CNN;localization;CNN;discrete volume","Magnetic resonance imaging;Volume measurement;Hippocampus;Dementia;Image segmentation;Machine learning","biomedical MRI;brain;diseases;image registration;image segmentation;learning (artificial intelligence);medical image processing;neural nets;neurophysiology;volume measurement","automatic localization;discrete volume;MRI data;convolutional neural network;automatic hippocampal volume measurement;brain magnetic resonance imaging;neurodegenerative diseases;hippocampal volume atrophy;Alzheimer's disease;deep learning-based method;discrete hippocampal volume;volumetric MRI scans;3-channel 2-D patches;estimated hippocampal voxels;voxel volume;MRI scan;average errors;measured volumes;right hippocampi;atlas-based volume measurement;left hippocampus;state-of-the-art deep learning approach;atlas-based system;time 2.0 s","","1","","59","CCBY","13 May 2020","","","IEEE","IEEE Journals"
"Ensembles of Patch-Based Classifiers for Diagnosis of Alzheimer Diseases","S. Ahmed; K. Y. Choi; J. J. Lee; B. C. Kim; G. Kwon; K. H. Lee; H. Y. Jung","Department of Computer Engineering, Chosun University, Gwangju, South Korea; National Research Center for Dementia, Chosun University, Gwangju, South Korea; National Research Center for Dementia, Chosun University, Gwangju, South Korea; National Research Center for Dementia, Chosun University, Gwangju, South Korea; Department of Information and Communication Engineering, Chosun University, Gwangju, South Korea; National Research Center for Dementia, Chosun University, Gwangju, South Korea; Department of Computer Engineering, Chosun University, Gwangju, South Korea","IEEE Access","14 Jun 2019","2019","7","","73373","73383","There is ongoing research for the automatic diagnosis of Alzheimer's disease (AD) based on traditional machine learning techniques, and deep learning-based approaches are becoming a popular choice for AD diagnosis. The state-of-the-art techniques that consider multimodal diagnosis have been shown to have accuracy better than a manual diagnosis. However, collecting data from different modalities is time-consuming and expensive, and some modalities may have radioactive side effects. Our study is confined to structural magnetic resonance imaging (sMRI). The objectives of our attempt are as follows: 1) to increase the accuracy level that is comparable to the state-of-the-art methods; 2) to overcome the overfitting problem, and; 3) to analyze proven landmarks of the brain that provide discernible features for AD diagnosis. Here, we focused specifically on both the left and right hippocampus areas. To achieve the objectives, at first, we incorporate ensembles of simple convolutional neural networks (CNNs) as feature extractors and softmax cross-entropy as the classifier. Then, considering the scarcity of data, we deployed a patch-based approach. We have performed our experiment on the Gwangju Alzheimer's and Related Dementia (GARD) cohort dataset prepared by the National Research Center for Dementia (GARD), Gwangju, South Korea. We manually localized the left and right hippocampus and fed three view patches (TVPs) to the CNN after the preprocessing steps. We achieve 90.05% accuracy. We have compared our model with the state-of-the-art methods on the same dataset they have used and found our result comparable.","2169-3536","","10.1109/ACCESS.2019.2920011","National Research Foundation of Korea; Ministry of Science, ICT and Future Planning; Chosun University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726332","Alzheimer disease classification;ALZHEIMER disease detection;Alzheimer disease diagnosis;convolutional neural network;deep learning;machine learning;medical imaging","Magnetic resonance imaging;Alzheimer's disease;Biomedical imaging;Deep learning;Hippocampus","biomedical MRI;brain;convolutional neural nets;diseases;entropy;feature extraction;image classification;learning (artificial intelligence);medical image processing","automatic diagnosis;Alzheimer's disease;deep learning-based approaches;Gwangju Alzheimer and Related Dementia;patch-based classifiers;view patches;National Research Center;patch-based approach;softmax cross-entropy;feature extractors;simple convolutional neural networks;ensembles;right hippocampus areas;left hippocampus areas;discernible features;proven landmarks;overfitting problem;structural magnetic resonance imaging;radioactive side effects;manual diagnosis;multimodal diagnosis;AD diagnosis","","4","","38","","30 May 2019","","","IEEE","IEEE Journals"
"Predicting Neural Deterioration in Patients with Alzheimer’s Disease Using a Convolutional Neural Network","H. Maryam Tavakoli; T. Xie; J. Shi; M. Hadzikadic; Y. Ge","University of North Carolina at Charlotte,Dept. of Software Information Systems,Charlotte,United States; University of North Carolina at Charlotte,Dept. of Software Information Systems,Charlotte,United States; Mississippi State University,Dept. of Mathematics and Statistics,Starkville,United States; University of North Carolina at Charlotte,Dept. of Software Information Systems,Charlotte,United States; University of North Carolina at Charlotte,Dept. of Software Information Systems,Charlotte,United States","2020 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","13 Jan 2021","2020","","","1951","1958","Alzheimer's disease causes neural damage, including brain atrophy in the patient. Consequently, ventricles that contain cerebral fluid a re e xpanded to filling th oseregions, which increases the proportional volume of ventricles in the brain. Therefore, abnormal growth of ventricle volume is an important indicator for estimating neural damage and, in turn, for the progression of Alzheimer's diseases. The rate of this volumegrowth, i.e., neural damage, can be predicted by predictive and machine learning models using the patient's current status. These predictions help assess the effectiveness of a particular treatment for a patient, in addition to providing some expectation of the disease timeline. In this work, we propose a convolutional neural network (CNN) model using region-level features for predicting ventricle volume biomarkers. The region-level representation with domaindriven features benefits from the CNN spatial pattern recognition capability. It also prevents learning irrelevant features and overfitting tot he t raining d ata a s a r esult 0 fd ata scarcity. Our model is applied to the ADNI dataset in the TADPOLE competition and outperforms the best leaderboard results.","","978-1-7281-6215-7","10.1109/BIBM49941.2020.9313561","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9313561","deep learning;Alzheimer’s disease;disease progression model;convolutional neural network;small data","Diseases;Biomarkers;Biological system modeling;Magnetic resonance imaging;Predictive models;Alzheimer's disease;Volume measurement","biomedical MRI;brain;convolutional neural nets;diseases;feature extraction;image recognition;learning (artificial intelligence);medical image processing;neurophysiology","predictive machine learning models;disease timeline;convolutional neural network model;ventricle volume biomarkers;neural deterioration;Alzheimer disease;neural damage;brain atrophy;proportional volume;CNN;ADNI dataset","","","","20","","13 Jan 2021","","","IEEE","IEEE Conferences"
"Detection of Parkinson Disease in Brain MRI using Convolutional Neural Network","P. M. Shah; A. Zeb; U. Shafi; S. F. A. Zaidi; M. A. Shah","Department of Computer Science, COMSATS University Islambad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islambad, Islamabad, Pakistan; NUST University, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islambad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islambad, Islamabad, Pakistan","2018 24th International Conference on Automation and Computing (ICAC)","1 Jul 2019","2018","","","1","6","Parkinson Disease (PD) is one of the most critical progressive neurological diseases which mainly affects the motor system. The accurate diagnosis of PD has been a challenge to date, mainly due to the close relevance of PD to other neurological diseases. These close characteristics are the reasons that cause 25% inaccurate manual diagnosis of PD. In this paper, we present a Convolutional Neural Network (CNN) based automatic diagnosis system which accurately classifies PD and healthy control (HC). Parkinson's Progression Markers Initiative (PPMI) provides publically available benchmark T2-weighted Magnetic Resonance Imaging (MRI) for both PD and HC. The mid-brain slices of 500, T2-weighted MRI are selected and aligned using image registration technique. The performance of the proposed technique is evaluated using accuracy, sensitivity, specificity and AUC (Area Under Curve). The detailed comparison in the result section shows that the CNN archived a better performance from 3%-9% in terms of accuracy, sensitivity, specificity, and AUC when compared to the some existing techniques.","","978-1-86220-341-9","10.23919/IConAC.2018.8749023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8749023","Parkinson Disease;MRI;Deep Learning;Convolutional Neural Network;CNN","Magnetic resonance imaging;Feature extraction;Support vector machines;Alzheimer's disease;Training","biomedical MRI;brain;diseases;image registration;medical image processing;neural nets;neurophysiology;pattern classification","convolutional neural network;Parkinson disease;T2-weighted magnetic resonance imaging;Parkinson Progression Markers;T2-weighted MRI;automatic diagnosis system;brain MRI","","","","42","","1 Jul 2019","","","IEEE","IEEE Conferences"
"Recognition of Alzheimer's Disease on sMRI based on 3D Multi-Scale CNN Features and a Gated Recurrent Fusion Unit","I. Bakkouri; K. Afdel; J. Benois-Pineau; G. Catheline","Faculty of Sciences, LabSIV, University Ibn Zohr, Agadir, Morocco; Faculty of Sciences, LabSIV, University Ibn Zohr, Agadir, Morocco; LaBRI UMR 5800, University of Bordeaux, CNRS, Bordeaux INP, Talence, Cedex, F-33400, France; INCIA UMR 5287, University Victor Segalen Bordeaux 2, CNRS, Bordeaux, Cedex, F-33076, France","2019 International Conference on Content-Based Multimedia Indexing (CBMI)","21 Oct 2019","2019","","","1","6","Accurate diagnosis of Alzheimer's Disease (AD) is still a public health challenge, and has been studied for several years now to make it efficient and more automatic. In this paper, we propose a novel Computer-Aided Diagnosis (CAD) system based on 3D Multi-scale Feature (3DMF) blocks and Gated Recurrent Fusion Unit (GRFU). Hippocampal Volumes Of Interest (VOI) are used as input. The method is applied on sMRI imaging modality standard for patients screening. First, multiscale features are extracted via 3D Convolutional Neural Network (CNN). They are then taken as input to Gated Recurrent Units (GRU) for performance improvement. Extensive experiments are performed on the public Alzheimers Disease Neuroimaging Initiative (ADNI) dataset. The experimental results demonstrate that our 3DMF model combined with GRFU obtains the state-of-the-art performance compared with the existing conventional methods. Furthermore, proposed approach yields a significant enhancement in terms of avoiding high similarity between classes and overfitting issue. Hence, our proposed CAD has the potential to significantly improve the conventional recognition and classification strategies for use in clinical applications.","1949-3991","978-1-7281-4673-7","10.1109/CBMI.2019.8877477","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8877477","Alzheimer's disease;Multi-scale features;3D convolutional neural network;Gated recurrent unit","Three-dimensional displays;Alzheimer's disease;Feature extraction;Logic gates;Magnetic resonance imaging;Convolutional neural networks","biomedical MRI;CAD;convolutional neural nets;diseases;feature extraction;image classification;medical disorders;medical image processing;neurophysiology","clinical applications;multiscale feature extraction;Hippocampal volume-of-interest;3D multiscale CNN features;gated recurrent fusion unit;3D multiscale feature blocks;Alzheimers disease neuroimaging initiative dataset;3DMF model;gated recurrent units;3D convolutional neural network;sMRI imaging modality;GRFU;CAD;computer-aided diagnosis system","","","","35","","21 Oct 2019","","","IEEE","IEEE Conferences"
"Alzheimer's Disease Diagnosis Model Based on Three-Dimensional Full Convolutional DenseNet","G. He; A. Ping; X. Wang; Y. Zhu",Neusoft Corporation; Neusoft Corporation; Neusoft Corporation; National University of Singapore,"2019 10th International Conference on Information Technology in Medicine and Education (ITME)","23 Jan 2020","2019","","","13","17","Dementia has become one of the major diseases causing death and disability in the elderly. Alzheimer's disease is the primary cause of dementia, and its clinical diagnosis, especially early diagnosis, is very urgent. The research on the diagnosis of Alzheimer's disease based on deep convolutional neural network has made good progress. However, it is still difficult to meet the requirements of clinical application. In clinic, most of them are structural MRI images, with limited sample size and few scanning layers. But deep learning needs enough annotated data. Aiming at the practical needs of clinical diagnosis of Alzheimer's disease, this paper proposes a increment method of dataset by weighted combination of positive and negative samples and a learning method for small number of samples, and establishes a 3D full convolutional DenseNet classification model, which can not only obtain better image feature information, but also improve the generalization ability of the model.","2474-3828","978-1-7281-3918-0","10.1109/ITME.2019.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8965182","Alzheimer's disease;artificial intelligence;medical diagnosis;deep learning;medical image analysis","Alzheimer's disease;Training;Magnetic resonance imaging;Convolutional neural networks;Solid modeling;Data models","diseases;feature extraction;image classification;learning (artificial intelligence);medical image processing;neural nets","deep convolutional neural network;clinical application;clinical diagnosis;3D full convolutional DenseNet classification model;Alzheimer's disease diagnosis model;three-dimensional full convolutional DenseNet;dementia;diseases","","","","8","","23 Jan 2020","","","IEEE","IEEE Conferences"
