PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33045895","Alzheimer's diagnosis using deep learning in segmenting and classifying 3D brain MR images","Tuan TA, Pham TB, Kim JY, Tavares JMRS.","Int J Neurosci. 2020 Nov 4:1-10. doi: 10.1080/00207454.2020.1835900. Online ahead of print.","Tuan TA","Int J Neurosci","2020","2020/10/13","","","10.1080/00207454.2020.1835900"
"31201098","A deep learning model for early prediction of Alzheimer's disease dementia based on hippocampal magnetic resonance imaging data","Li H, Habes M, Wolk DA, Fan Y; Alzheimer's Disease Neuroimaging Initiative and the Australian Imaging Biomarkers and Lifestyle Study of Aging.","Alzheimers Dement. 2019 Aug;15(8):1059-1070. doi: 10.1016/j.jalz.2019.02.007. Epub 2019 Jun 11.","Li H","Alzheimers Dement","2019","2019/06/16","PMC6719787","NIHMS1532044","10.1016/j.jalz.2019.02.007"
"30196548","Plasma Amyloid as Prescreener for the Earliest Alzheimer Pathological Changes","Verberk IMW, Slot RE, Verfaillie SCJ, Heijst H, Prins ND, van Berckel BNM, Scheltens P, Teunissen CE, van der Flier WM.","Ann Neurol. 2018 Nov;84(5):648-658. doi: 10.1002/ana.25334. Epub 2018 Oct 4.","Verberk IMW","Ann Neurol","2018","2018/09/10","PMC6282982","","10.1002/ana.25334"
"31945992","EEG-based Emotion Detection Using Unsupervised Transfer Learning","Gonzalez HA, Yoo J, Elfadel IM.","Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:694-697. doi: 10.1109/EMBC.2019.8857248.","Gonzalez HA","Annu Int Conf IEEE Eng Med Biol Soc","2019","2020/01/18","","","10.1109/EMBC.2019.8857248"
"32417716","Convolutional neural networks for classification of Alzheimer's disease: Overview and reproducible evaluation","Wen J, Thibeau-Sutre E, Diaz-Melo M, Samper-González J, Routier A, Bottani S, Dormont D, Durrleman S, Burgos N, Colliot O; Alzheimer's Disease Neuroimaging Initiative; Australian Imaging Biomarkers and Lifestyle flagship study of ageing.","Med Image Anal. 2020 Jul;63:101694. doi: 10.1016/j.media.2020.101694. Epub 2020 May 1.","Wen J","Med Image Anal","2020","2020/05/18","","","10.1016/j.media.2020.101694"
"31802999","Deep Feature Selection and Causal Analysis of Alzheimer's Disease","Liu Y, Li Z, Ge Q, Lin N, Xiong M.","Front Neurosci. 2019 Nov 15;13:1198. doi: 10.3389/fnins.2019.01198. eCollection 2019.","Liu Y","Front Neurosci","2019","2019/12/06","PMC6872503","","10.3389/fnins.2019.01198"
"30440505","A Novel Multimodal MRI Analysis for Alzheimer's Disease Based on Convolutional Neural Network","Wang Y, Yang Y, Guo X, Ye C, Gao N, Fang Y, Ma HT.","Annu Int Conf IEEE Eng Med Biol Soc. 2018 Jul;2018:754-757. doi: 10.1109/EMBC.2018.8512372.","Wang Y","Annu Int Conf IEEE Eng Med Biol Soc","2018","2018/11/17","","","10.1109/EMBC.2018.8512372"
"30732457","New-Onset Alzheimer's Disease and Normal Subjects 100% Differentiated by P300","Jervis BW, Bigan C, Jervis MW, Besleaga M.","Am J Alzheimers Dis Other Demen. 2019 Aug;34(5):308-313. doi: 10.1177/1533317519828101. Epub 2019 Feb 7.","Jervis BW","Am J Alzheimers Dis Other Demen","2019","2019/02/09","","","10.1177/1533317519828101"
"32498641","Automated MRI-Based Deep Learning Model for Detection of Alzheimer's Disease Process","Feng W, Halm-Lutterodt NV, Tang H, Mecum A, Mesregah MK, Ma Y, Li H, Zhang F, Wu Z, Yao E, Guo X.","Int J Neural Syst. 2020 Jun;30(6):2050032. doi: 10.1142/S012906572050032X.","Feng W","Int J Neural Syst","2020","2020/06/06","","","10.1142/S012906572050032X"
"31327984","GRAPH CONVOLUTIONAL NEURAL NETWORKS FOR ALZHEIMER'S DISEASE CLASSIFICATION","Song TA, Roy Chowdhury S, Yang F, Jacobs H, El Fakhri G, Li Q, Johnson K, Dutta J.","Proc IEEE Int Symp Biomed Imaging. 2019 Apr;2019:414-417. doi: 10.1109/ISBI.2019.8759531. Epub 2019 Jul 11.","Song TA","Proc IEEE Int Symp Biomed Imaging","2019","2019/07/23","PMC6641559","NIHMS1010801","10.1109/ISBI.2019.8759531"
"31837471","A multi-model deep convolutional neural network for automatic hippocampus segmentation and classification in Alzheimer's disease","Liu M, Li F, Yan H, Wang K, Ma Y; Alzheimer’s Disease Neuroimaging Initiative, Shen L, Xu M.","Neuroimage. 2020 Mar;208:116459. doi: 10.1016/j.neuroimage.2019.116459. Epub 2019 Dec 16.","Liu M","Neuroimage","2020","2019/12/15","","","10.1016/j.neuroimage.2019.116459"
"31155745","A metabolic profile of polyamines in parkinson disease: A promising biomarker","Saiki S, Sasazawa Y, Fujimaki M, Kamagata K, Kaga N, Taka H, Li Y, Souma S, Hatano T, Imamichi Y, Furuya N, Mori A, Oji Y, Ueno SI, Nojiri S, Miura Y, Ueno T, Funayama M, Aoki S, Hattori N.","Ann Neurol. 2019 Aug;86(2):251-263. doi: 10.1002/ana.25516. Epub 2019 Jul 1.","Saiki S","Ann Neurol","2019","2019/06/04","PMC6772170","","10.1002/ana.25516"
"33080124","Amyloid-β PET and CSF in an autopsy-confirmed cohort","Reimand J, Boon BDC, Collij LE, Teunissen CE, Rozemuller AJM, van Berckel BNM, Scheltens P, Ossenkoppele R, Bouwman F.","Ann Clin Transl Neurol. 2020 Nov;7(11):2150-2160. doi: 10.1002/acn3.51195. Epub 2020 Oct 20.","Reimand J","Ann Clin Transl Neurol","2020","2020/10/20","PMC7664271","","10.1002/acn3.51195"
"32293805","MRI and flortaucipir relationships in Alzheimer's phenotypes are heterogeneous","Josephs KA, Tosakulwong N, Graff-Radford J, Weigand SD, Buciuc M, Machulda MM, Jones DT, Schwarz CG, Senjem ML, Ertekin-Taner N, Kantarci K, Boeve BF, Knopman DS, Jack CR Jr, Petersen RC, Lowe VJ, Whitwell JL.","Ann Clin Transl Neurol. 2020 May;7(5):707-721. doi: 10.1002/acn3.51038. Epub 2020 Apr 15.","Josephs KA","Ann Clin Transl Neurol","2020","2020/04/16","PMC7261766","","10.1002/acn3.51038"
"32008517","Deep Learning for Alzheimer's Disease Classification using Texture Features","So JH, Madusanka N, Choi HK, Choi BK, Park HG.","Curr Med Imaging Rev. 2019;15(7):689-698. doi: 10.2174/1573405615666190404163233.","So JH","Curr Med Imaging Rev","2019","2020/02/04","","","10.2174/1573405615666190404163233"
"32259762","Brain MRI analysis using a deep learning based evolutionary approach","Shahamat H, Saniee Abadeh M.","Neural Netw. 2020 Jun;126:218-234. doi: 10.1016/j.neunet.2020.03.017. Epub 2020 Mar 28.","Shahamat H","Neural Netw","2020","2020/04/08","","","10.1016/j.neunet.2020.03.017"
"31723364","Amyloid PET Quantification Via End-to-End Training of a Deep Learning","Kim JY, Suh HY, Ryoo HG, Oh D, Choi H, Paeng JC, Cheon GJ, Kang KW, Lee DS; Alzheimer’s Disease Neuroimaging Initiative.","Nucl Med Mol Imaging. 2019 Oct;53(5):340-348. doi: 10.1007/s13139-019-00610-0. Epub 2019 Oct 14.","Kim JY","Nucl Med Mol Imaging","2019","2019/11/15","PMC6821901","","10.1007/s13139-019-00610-0"
"29777003","Impact of Reference and Target Region Selection on Amyloid PET SUV Ratios in the Phase 1b PRIME Study of Aducanumab","Chiao P, Bedell BJ, Avants B, Zijdenbos AP, Grand'Maison M, O'Neill P, O'Gorman J, Chen T, Koeppe R.","J Nucl Med. 2019 Jan;60(1):100-106. doi: 10.2967/jnumed.118.209130. Epub 2018 May 18.","Chiao P","J Nucl Med","2019","2018/05/20","","","10.2967/jnumed.118.209130"
"30538047","MR approaches in neurodegenerative disorders","Blamire AM.","Prog Nucl Magn Reson Spectrosc. 2018 Oct;108:1-16. doi: 10.1016/j.pnmrs.2018.11.001. Epub 2018 Nov 3.","Blamire AM","Prog Nucl Magn Reson Spectrosc","2018","2018/12/13","","","10.1016/j.pnmrs.2018.11.001"
"31699021","Global Burden of Small Vessel Disease-Related Brain Changes on MRI Predicts Cognitive and Functional Decline","Jokinen H, Koikkalainen J, Laakso HM, Melkas S, Nieminen T, Brander A, Korvenoja A, Rueckert D, Barkhof F, Scheltens P, Schmidt R, Fazekas F, Madureira S, Verdelho A, Wallin A, Wahlund LO, Waldemar G, Chabriat H, Hennerici M, O'Brien J, Inzitari D, Lötjönen J, Pantoni L, Erkinjuntti T.","Stroke. 2020 Jan;51(1):170-178. doi: 10.1161/STROKEAHA.119.026170. Epub 2019 Nov 8.","Jokinen H","Stroke","2020","2019/11/09","PMC6924941","","10.1161/STROKEAHA.119.026170"
"32944999","Alzheimer-Related Cerebrovascular Disease in Down Syndrome","Lao PJ, Gutierrez J, Keator D, Rizvi B, Banerjee A, Igwe KC, Laing KK, Sathishkumar M, Moni F, Andrews H, Krinsky-McHale S, Head E, Lee JH, Lai F, Yassa MA, Rosas HD, Silverman W, Lott IT, Schupf N, Brickman AM.","Ann Neurol. 2020 Dec;88(6):1165-1177. doi: 10.1002/ana.25905. Epub 2020 Oct 9.","Lao PJ","Ann Neurol","2020","2020/09/18","PMC7729262","NIHMS1651411","10.1002/ana.25905"
"32591831","MRI signatures of brain age and disease over the lifespan based on a deep brain network and 14 468 individuals worldwide","Bashyam VM, Erus G, Doshi J, Habes M, Nasrallah I, Truelove-Hill M, Srinivasan D, Mamourian L, Pomponio R, Fan Y, Launer LJ, Masters CL, Maruff P, Zhuo C, Völzke H, Johnson SC, Fripp J, Koutsouleris N, Satterthwaite TD, Wolf D, Gur RE, Gur RC, Morris J, Albert MS, Grabe HJ, Resnick S, Bryan RN, Wolk DA, Shou H, Davatzikos C.","Brain. 2020 Jul 1;143(7):2312-2324. doi: 10.1093/brain/awaa160.","Bashyam VM","Brain","2020","2020/06/28","PMC7364766","","10.1093/brain/awaa160"
"32714766","Generalizable, Reproducible, and Neuroscientifically Interpretable Imaging Biomarkers for Alzheimer's Disease","Jin D, Zhou B, Han Y, Ren J, Han T, Liu B, Lu J, Song C, Wang P, Wang D, Xu J, Yang Z, Yao H, Yu C, Zhao K, Wintermark M, Zuo N, Zhang X, Zhou Y, Zhang X, Jiang T, Wang Q, Liu Y.","Adv Sci (Weinh). 2020 Jun 9;7(14):2000675. doi: 10.1002/advs.202000675. eCollection 2020 Jul.","Jin D","Adv Sci (Weinh)","2020","2020/07/28","PMC7375255","","10.1002/advs.202000675"
"31805160","Neuroimaging modality fusion in Alzheimer's classification using convolutional neural networks","Punjabi A, Martersteck A, Wang Y, Parrish TB, Katsaggelos AK; Alzheimer’s Disease Neuroimaging Initiative.","PLoS One. 2019 Dec 5;14(12):e0225759. doi: 10.1371/journal.pone.0225759. eCollection 2019.","Punjabi A","PLoS One","2019","2019/12/06","PMC6894831","","10.1371/journal.pone.0225759"
"31471436","Cognitive training and neuroplasticity in mild cognitive impairment (COG-IT): protocol for a two-site, blinded, randomised, controlled treatment trial","D'Antonio J, Simon-Pearson L, Goldberg T, Sneed JR, Rushia S, Kerner N, Andrews H, Hellegers C, Tolbert S, Perea E, Petrella J, Doraiswamy PM, Devanand D.","BMJ Open. 2019 Aug 30;9(8):e028536. doi: 10.1136/bmjopen-2018-028536.","D'Antonio J","BMJ Open","2019","2019/09/01","PMC6720324","","10.1136/bmjopen-2018-028536"
"31132373","A hybrid Convolutional and Recurrent Neural Network for Hippocampus Analysis in Alzheimer's Disease","Li F, Liu M; Alzheimer's Disease Neuroimaging Initiative.","J Neurosci Methods. 2019 Jul 15;323:108-118. doi: 10.1016/j.jneumeth.2019.05.006. Epub 2019 May 25.","Li F","J Neurosci Methods","2019","2019/05/28","","","10.1016/j.jneumeth.2019.05.006"
"30669406","A Review on a Deep Learning Perspective in Brain Cancer Classification","S Tandel G, Biswas M, G Kakde O, Tiwari A, S Suri H, Turk M, Laird JR, Asare CK, A Ankrah A, N Khanna N, K Madhusudhan B, Saba L, Suri JS.","Cancers (Basel). 2019 Jan 18;11(1):111. doi: 10.3390/cancers11010111.","S Tandel G","Cancers (Basel)","2019","2019/01/24","PMC6356431","","10.3390/cancers11010111"
"30609832","Radioligands for Tropomyosin Receptor Kinase (Trk) Positron Emission Tomography Imaging","Schirrmacher R, Bailey JJ, Mossine AV, Scott PJH, Kaiser L, Bartenstein P, Lindner S, Kaplan DR, Kostikov A, Fricker G, Mahringer A, Rosa-Neto P, Schirrmacher E, Wängler C, Wängler B, Thiel A, Soucy JP, Bernard-Gauthier V.","Pharmaceuticals (Basel). 2019 Jan 3;12(1):7. doi: 10.3390/ph12010007.","Schirrmacher R","Pharmaceuticals (Basel)","2019","2019/01/06","PMC6469173","","10.3390/ph12010007"
"31297614","Age Prediction Based on Brain MRI Image: A Survey","Sajedi H, Pardakhti N.","J Med Syst. 2019 Jul 11;43(8):279. doi: 10.1007/s10916-019-1401-7.","Sajedi H","J Med Syst","2019","2019/07/13","","","10.1007/s10916-019-1401-7"
"31750553","Evolution of anosognosia in alzheimer's disease and its relationship to amyloid","Hanseeuw BJ, Scott MR, Sikkes SAM, Properzi M, Gatchel JR, Salmon E, Marshall GA, Vannini P; Alzheimer's Disease Neuroimaging Initiative.","Ann Neurol. 2020 Feb;87(2):267-280. doi: 10.1002/ana.25649. Epub 2019 Dec 5.","Hanseeuw BJ","Ann Neurol","2020","2019/11/22","PMC6980336","NIHMS1066473","10.1002/ana.25649"
"31509621","Amyloid, Vascular, and Resilience Pathways Associated with Cognitive Aging","Vemuri P, Lesnick TG, Knopman DS, Przybelski SA, Reid RI, Mielke MM, Graff-Radford J, Lowe VJ, Machulda MM, Petersen RC, Jack CR Jr, MD.","Ann Neurol. 2019 Dec;86(6):866-877. doi: 10.1002/ana.25600. Epub 2019 Oct 17.","Vemuri P","Ann Neurol","2019","2019/09/12","PMC6899909","","10.1002/ana.25600"
"32662116","Normal Pressure Hydrocephalus Associated with Alzheimer's Disease","Müller-Schmitz K, Krasavina-Loka N, Yardimci T, Lipka T, Kolman AGJ, Robbers S, Menge T, Kujovic M, Seitz RJ.","Ann Neurol. 2020 Oct;88(4):703-711. doi: 10.1002/ana.25847. Epub 2020 Aug 5.","Müller-Schmitz K","Ann Neurol","2020","2020/07/15","","","10.1002/ana.25847"
"31491832","Cortical graph neural network for AD and MCI diagnosis and transfer learning across populations","Wee CY, Liu C, Lee A, Poh JS, Ji H, Qiu A; Alzheimers Disease Neuroimage Initiative.","Neuroimage Clin. 2019;23:101929. doi: 10.1016/j.nicl.2019.101929. Epub 2019 Jul 4.","Wee CY","Neuroimage Clin","2019","2019/09/08","PMC6627731","","10.1016/j.nicl.2019.101929"
"33371874","Deep learning detection of informative features in tau PET for Alzheimer's disease classification","Jo T, Nho K, Risacher SL, Saykin AJ; Alzheimer’s Neuroimaging Initiative.","BMC Bioinformatics. 2020 Dec 28;21(Suppl 21):496. doi: 10.1186/s12859-020-03848-0.","Jo T","BMC Bioinformatics","2020","2020/12/29","PMC7768646","","10.1186/s12859-020-03848-0"
"33251178","Alzheimer's Disease Classification With a Cascade Neural Network","You Z, Zeng R, Lan X, Ren H, You Z, Shi X, Zhao S, Guo Y, Jiang X, Hu X.","Front Public Health. 2020 Nov 3;8:584387. doi: 10.3389/fpubh.2020.584387. eCollection 2020.","You Z","Front Public Health","2020","2020/11/30","PMC7673399","","10.3389/fpubh.2020.584387"
"32468646","Nilotinib Effects on Safety, Tolerability, and Biomarkers in Alzheimer's Disease","Turner RS, Hebron ML, Lawler A, Mundel EE, Yusuf N, Starr JN, Anjum M, Pagan F, Torres-Yaghi Y, Shi W, Mulki S, Ferrante D, Matar S, Liu X, Esposito G, Berkowitz F, Jiang X, Ahn J, Moussa C.","Ann Neurol. 2020 Jul;88(1):183-194. doi: 10.1002/ana.25775. Epub 2020 May 28.","Turner RS","Ann Neurol","2020","2020/05/30","PMC7383852","","10.1002/ana.25775"
"33176985","The promise of artificial neural networks, EEG, and MRI for Alzheimer's disease","Bailey NW, Hoy KE.","Clin Neurophysiol. 2021 Jan;132(1):207-209. doi: 10.1016/j.clinph.2020.10.009. Epub 2020 Oct 29.","Bailey NW","Clin Neurophysiol","2021","2020/11/12","","","10.1016/j.clinph.2020.10.009"
"30255971","Prevalence of amyloid-β pathology in distinct variants of primary progressive aphasia","Bergeron D, Gorno-Tempini ML, Rabinovici GD, Santos-Santos MA, Seeley W, Miller BL, Pijnenburg Y, Keulen MA, Groot C, van Berckel BNM, van der Flier WM, Scheltens P, Rohrer JD, Warren JD, Schott JM, Fox NC, Sanchez-Valle R, Grau-Rivera O, Gelpi E, Seelaar H, Papma JM, van Swieten JC, Hodges JR, Leyton CE, Piguet O, Rogalski EJ, Mesulam MM, Koric L, Nora K, Pariente J, Dickerson B, Mackenzie IR, Hsiung GR, Belliard S, Irwin DJ, Wolk DA, Grossman M, Jones M, Harris J, Mann D, Snowden JS, Chrem-Mendez P, Calandri IL, Amengual AA, Miguet-Alfonsi C, Magnin E, Magnani G, Santangelo R, Deramecourt V, Pasquier F, Mattsson N, Nilsson C, Hansson O, Keith J, Masellis M, Black SE, Matías-Guiu JA, Cabrera-Martin MN, Paquet C, Dumurgier J, Teichmann M, Sarazin M, Bottlaender M, Dubois B, Rowe CC, Villemagne VL, Vandenberghe R, Granadillo E, Teng E, Mendez M, Meyer PT, Frings L, Lleó A, Blesa R, Fortea J, Seo SW, Diehl-Schmid J, Grimmer T, Frederiksen KS, Sánchez-Juan P, Chételat G, Jansen W, Bouchard RW, Laforce RJ, Visser PJ, Ossenkoppele R.","Ann Neurol. 2018 Nov;84(5):729-740. doi: 10.1002/ana.25333.","Bergeron D","Ann Neurol","2018","2018/09/27","PMC6354051","NIHMS998967","10.1002/ana.25333"
"31883064","Dual-functional neural network for bilateral hippocampi segmentation and diagnosis of Alzheimer's disease","Sun J, Yan S, Song C, Han B.","Int J Comput Assist Radiol Surg. 2020 Mar;15(3):445-455. doi: 10.1007/s11548-019-02106-w. Epub 2019 Dec 27.","Sun J","Int J Comput Assist Radiol Surg","2020","2019/12/29","","","10.1007/s11548-019-02106-w"
"32517304","MRI Segmentation and Classification of Human Brain Using Deep Learning for Diagnosis of Alzheimer's Disease: A Survey","Yamanakkanavar N, Choi JY, Lee B.","Sensors (Basel). 2020 Jun 7;20(11):3243. doi: 10.3390/s20113243.","Yamanakkanavar N","Sensors (Basel)","2020","2020/06/11","PMC7313699","","10.3390/s20113243"
"32895137","[Coupled convolutional and graph network-based diagnosis of Alzheimer's disease using MRI]","Li Q, Xing X, Feng Q.","Nan Fang Yi Ke Da Xue Xue Bao. 2020 Apr 30;40(4):531-537. doi: 10.12122/j.issn.1673-4254.2020.04.13.","Li Q","Nan Fang Yi Ke Da Xue Xue Bao","2020","2020/09/08","PMC7225102","","10.12122/j.issn.1673-4254.2020.04.13"
"30565287","Vascular Risk and β-Amyloid Are Synergistically Associated with Cortical Tau","Rabin JS, Yang HS, Schultz AP, Hanseeuw BJ, Hedden T, Viswanathan A, Gatchel JR, Marshall GA, Kilpatrick E, Klein H, Rao V, Buckley RF, Yau WW, Kirn DR, Rentz DM, Johnson KA, Sperling RA, Chhatwal JP.","Ann Neurol. 2019 Feb;85(2):272-279. doi: 10.1002/ana.25399. Epub 2019 Jan 7.","Rabin JS","Ann Neurol","2019","2018/12/20","PMC6351182","NIHMS1004891","10.1002/ana.25399"
