Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Deep transfer learning for alzheimer neurological disorder detection","Multimedia Tools and Applications","","","","10.1007/s11042-020-10331-8","Abida AshrafSaeeda NazSyed Hamad ShiraziImran RazzakMukesh Parsad","2021","http://link.springer.com/article/10.1007/s11042-020-10331-8","Article"
"Deep Learning for Medical Image Processing: Overview, Challenges and the Future","Classification in BioApps","","","","10.1007/978-3-319-65981-7_12","Muhammad Imran RazzakSaeeda NazAhmad Zaib","2018","http://link.springer.com/chapter/10.1007/978-3-319-65981-7_12","Chapter"
"The Role of Deep Learning in Improving Healthcare","Data Science for Healthcare","","","","10.1007/978-3-030-05249-2_3","Stefan ThalerVlado Menkovski","2019","http://link.springer.com/chapter/10.1007/978-3-030-05249-2_3","Chapter"
"Review of deep learning: concepts, CNN architectures, challenges, applications, future directions","Journal of Big Data","","8","1","10.1186/s40537-021-00444-8","Laith AlzubaidiJinglan ZhangAmjad J. HumaidiAyad Al-DujailiYe DuanOmran Al-ShammaJ. SantamaríaMohammed A. FadhelMuthana Al-AmidieLaith Farhan","2021","http://link.springer.com/article/10.1186/s40537-021-00444-8","Article"
"3D-Deep Learning Based Automatic Diagnosis of Alzheimer’s Disease with Joint MMSE Prediction Using Resting-State fMRI","Neuroinformatics","","18","1","10.1007/s12021-019-09419-w","Nguyen Thanh DucSeungjun RyuMuhammad Naveed Iqbal QureshiMin ChoiKun Ho LeeBoreom Lee","2020","http://link.springer.com/article/10.1007/s12021-019-09419-w","Article"
"54th EASD Annual Meeting of the European Association for the Study of Diabetes","Diabetologia","","61","1","10.1007/s00125-018-4693-0","","2018","http://link.springer.com/article/10.1007/s00125-018-4693-0","Article"
"Medical Image Classification Techniques and Analysis Using Deep Learning Networks: A Review","Health Informatics: A Computational Perspective in Healthcare","","","","10.1007/978-981-15-9735-0_13","Arpit Kumar SharmaAmita NandalArvind DhakaRahul Dixit","2021","http://link.springer.com/chapter/10.1007/978-981-15-9735-0_13","Chapter"
"Global research on artificial intelligence-enhanced human electroencephalogram analysis","Neural Computing and Applications","","","","10.1007/s00521-020-05588-x","Xieling ChenXiaohui TaoFu Lee WangHaoran Xie","2021","http://link.springer.com/article/10.1007/s00521-020-05588-x","Article"
"Abstracts from the 2020 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","35","1","10.1007/s11606-020-05890-3","","2020","http://link.springer.com/article/10.1007/s11606-020-05890-3","Article"
"55th EASD Annual Meeting of the European Association for the Study of Diabetes","Diabetologia","","62","1","10.1007/s00125-019-4946-6","","2019","http://link.springer.com/article/10.1007/s00125-019-4946-6","Article"
"Deep Learning","Artificial Intelligence Basics","","","","10.1007/978-1-4842-5028-0_4","Tom Taulli","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5028-0_4","Chapter"
"Deep Learning and Neurology: A Systematic Review","Neurology and Therapy","","8","2","10.1007/s40120-019-00153-8","Aly Al-Amyn VallianiDaniel RantiEric Karl Oermann","2019","http://link.springer.com/article/10.1007/s40120-019-00153-8","Article"
"XXIst Symposium Neuroradiologicum","Neuroradiology","","60","1","10.1007/s00234-018-1983-7","","2018","http://link.springer.com/article/10.1007/s00234-018-1983-7","Article"
"SRI 2020: Scientific Abstracts","Reproductive Sciences","","27","1","10.1007/s43032-020-00176-9","","2020","http://link.springer.com/article/10.1007/s43032-020-00176-9","Article"
"Deep learning for heterogeneous medical data analysis","World Wide Web","","23","5","10.1007/s11280-019-00764-z","Lin YueDongyuan TianWeitong ChenXuming HanMinghao Yin","2020","http://link.springer.com/article/10.1007/s11280-019-00764-z","Article"
"Applications of deep learning for the analysis of medical data","Archives of Pharmacal Research","","42","6","10.1007/s12272-019-01162-9","Hyun-Jong JangKyung-Ok Cho","2019","http://link.springer.com/article/10.1007/s12272-019-01162-9","Article"
"Deep Learning Architectures for Medical Diagnosis","New Trends in Computational Vision and Bio-inspired Computing","","","","10.1007/978-3-030-41862-5_161","Vishakha MalikS. Maheswari","2020","http://link.springer.com/chapter/10.1007/978-3-030-41862-5_161","Chapter"
"Ensemble of 3D Densely Connected Convolutional Network for Diagnosis of Mild Cognitive Impairment and Alzheimer’s Disease","Deep Learning Applications","","","","10.1007/978-981-15-1816-4_4","Shuqiang WangHongfei WangAlbert C. CheungYanyan ShenMin Gan","2020","http://link.springer.com/chapter/10.1007/978-981-15-1816-4_4","Chapter"
"Enhancing of dataset using DeepDream, fuzzy color image enhancement and hypercolumn techniques to detection of the Alzheimer's disease stages by deep learning model","Neural Computing and Applications","","","","10.1007/s00521-021-05758-5","Mesut ToğaçarZafer CömertBurhan Ergen","2021","http://link.springer.com/article/10.1007/s00521-021-05758-5","Article"
"Applications of Deep Learning in Healthcare and Biomedicine","Deep Learning Techniques for Biomedical and Health Informatics","","","","10.1007/978-3-030-33966-1_4","Shubham MittalYasha Hasija","2020","http://link.springer.com/chapter/10.1007/978-3-030-33966-1_4","Chapter"
"Deep Learning and Its Applications in Medical Imaging","Internet of Things for Healthcare Technologies","","","","10.1007/978-981-15-4112-4_7","Farzaneh Mansouri MusoluSaeid Sadeghi DarvazehIman Raeesi Vanani","2021","http://link.springer.com/chapter/10.1007/978-981-15-4112-4_7","Chapter"
"Deep Learning Techniques for Electronic Health Record (EHR) Analysis","Bio-inspired Neurocomputing","","","","10.1007/978-981-15-5495-7_5","T. PoongodiD. SumathiP. SureshBalamurugan Balusamy","2021","http://link.springer.com/chapter/10.1007/978-981-15-5495-7_5","Chapter"
"Deep Learning and Deep Knowledge Representation of EEG Data","Time-Space, Spiking Neural Networks and Brain-Inspired Artificial Intelligence","","","","10.1007/978-3-662-57715-8_8","Nikola K. Kasabov","2019","http://link.springer.com/chapter/10.1007/978-3-662-57715-8_8","Chapter"
"Intelligent, Secure Big Health Data Management Using Deep Learning and Blockchain Technology: An Overview","Deep Learning Techniques for Biomedical and Health Informatics","","","","10.1007/978-3-030-33966-1_10","Sohail SaifSuparna BiswasSamiran Chattopadhyay","2020","http://link.springer.com/chapter/10.1007/978-3-030-33966-1_10","Chapter"
"56th EASD Annual Meeting of the European Association for the Study of Diabetes","Diabetologia","","63","1","10.1007/s00125-020-05221-5","","2020","http://link.springer.com/article/10.1007/s00125-020-05221-5","Article"
"Abstracts from the 2019 Annual Meeting of the Society of General Internal Medicine","Journal of General Internal Medicine","","34","2","10.1007/s11606-019-05007-5","","2019","http://link.springer.com/article/10.1007/s11606-019-05007-5","Article"
"Computer-Aided Therapeutic of Alzheimer’s Disease Eulogizing Pattern Classification and Deep Learning Protruded on Tree-Based Learning Method","Progress in Advanced Computing and Intelligent Engineering","","","","10.1007/978-981-10-6875-1_11","P. S. Jagadeesh Kumar","2018","http://link.springer.com/chapter/10.1007/978-981-10-6875-1_11","Chapter"
"A bibliometric and visual analysis of artificial intelligence technologies-enhanced brain MRI research","Multimedia Tools and Applications","","","","10.1007/s11042-020-09062-7","Xieling ChenXinxin ZhangHaoran XieXiaohui TaoFu Lee WangNengfu XieTianyong Hao","2020","http://link.springer.com/article/10.1007/s11042-020-09062-7","Article"
"Multi-Modality Cascaded Convolutional Neural Networks for Alzheimer’s Disease Diagnosis","Neuroinformatics","","16","3 - 4","10.1007/s12021-018-9370-4","Manhua LiuDanni ChengKundong WangYaping Wang","2018","http://link.springer.com/article/10.1007/s12021-018-9370-4","Article"
"Artificial Intelligence","Digital Fluency","","","","10.1007/978-1-4842-6774-5_4","Volker Lang","2021","http://link.springer.com/chapter/10.1007/978-1-4842-6774-5_4","Chapter"
"Case Study: Deep Convolutional Networks in Healthcare","Development and Analysis of Deep Learning Architectures","","","","10.1007/978-3-030-31764-5_3","Mutlu AvciMehmet SarıgülBuse Melis Ozyildirim","2020","http://link.springer.com/chapter/10.1007/978-3-030-31764-5_3","Chapter"
"Abstracts","Clinical Neuroradiology","","29","1","10.1007/s00062-019-00826-9","","2019","http://link.springer.com/article/10.1007/s00062-019-00826-9","Article"
"Effect of Data Augmentation of F-18-Florbetaben Positron-Emission Tomography Images by Using Deep Learning Convolutional Neural Network Architecture for Amyloid Positive Patients","Journal of the Korean Physical Society","","75","8","10.3938/jkps.75.597","Hyun Jin YoonYoung Jin JeongDo-Young KangHyun KangKang Kuk YeoJi Eun JeongKyung Won ParkGo Eun ChoiSeong-Wook Ha","2019","http://link.springer.com/article/10.3938/jkps.75.597","Article"
"Introduction","Computational Methods for Deep Learning","","","","10.1007/978-3-030-61081-4_1","Wei Qi Yan","2021","http://link.springer.com/chapter/10.1007/978-3-030-61081-4_1","Chapter"
"34th Annual Meeting & Pre-Conference Programs of the Society for Immunotherapy of Cancer (SITC 2019): part 1","Journal for ImmunoTherapy of Cancer","","7","1","10.1186/s40425-019-0763-1","","2019","http://link.springer.com/article/10.1186/s40425-019-0763-1","Article"
"Brain MRI analysis for Alzheimer’s disease diagnosis using an ensemble system of deep convolutional neural networks","Brain Informatics","","5","2","10.1186/s40708-018-0080-3","Jyoti IslamYanqing Zhang","2018","http://link.springer.com/article/10.1186/s40708-018-0080-3","Article"
"Deep Convolutional Neural Networks for Automated Diagnosis of Alzheimer’s Disease and Mild Cognitive Impairment Using 3D Brain MRI","Brain Informatics","","","","10.1007/978-3-030-05587-5_34","Jyoti IslamYanqing Zhang","2018","http://link.springer.com/chapter/10.1007/978-3-030-05587-5_34","Chapter"
"Deep learning in Nuclear Medicine—focus on CNN-based approaches for PET/CT and PET/MR: where do we stand?","Clinical and Translational Imaging","","9","1","10.1007/s40336-021-00411-6","Margarita KirienkoMatteo BiroliFabrizia GelardiEttore SeregniArturo ChitiMartina Sollini","2021","http://link.springer.com/article/10.1007/s40336-021-00411-6","Article"
"27th Annual Computational Neuroscience Meeting (CNS*2018): Part One","BMC Neuroscience","","19","2","10.1186/s12868-018-0452-x","","2018","http://link.springer.com/article/10.1186/s12868-018-0452-x","Article"
"ESNR 2019","Neuroradiology","","61","1","10.1007/s00234-019-02263-4","","2019","http://link.springer.com/article/10.1007/s00234-019-02263-4","Article"
"Trends in Deep Learning Applications","Deep Learning Applications","","","","10.1007/978-981-15-1816-4_1","M. Arif WaniMehmed KantardzicMoamar Sayed-Mouchaweh","2020","http://link.springer.com/chapter/10.1007/978-981-15-1816-4_1","Chapter"
"Deep Learning in Mining Biological Data","Cognitive Computation","","13","1","10.1007/s12559-020-09773-x","Mufti MahmudM. Shamim KaiserT. Martin McGinnityAmir Hussain","2021","http://link.springer.com/article/10.1007/s12559-020-09773-x","Article"
"Abstracts from the 39th Congress of the Société Internationale d’Urologie, Athens, Greece, October 17-20, 2019","World Journal of Urology","","37","1","10.1007/s00345-019-02955-9","","2019","http://link.springer.com/article/10.1007/s00345-019-02955-9","Article"
"Posters","The Journal of Prevention of Alzheimer's Disease","","5","1","10.14283/jpad.2018.40","","2018","http://link.springer.com/article/10.14283/jpad.2018.40","Article"
"ROM-Based Deep Learning Inference for Sleep Stage Classification","Intelligent Systems and Applications","","","","10.1007/978-3-030-29516-5_66","Mohamed H. AlMeerHanadi HassenNaveed Nawaz","2020","http://link.springer.com/chapter/10.1007/978-3-030-29516-5_66","Chapter"
"Springer: Deep Learning in eHealth","Handbook of Deep Learning Applications","","","","10.1007/978-3-030-11479-4_14","Peter Wlodarczak","2019","http://link.springer.com/chapter/10.1007/978-3-030-11479-4_14","Chapter"
"The state of the art of deep learning models in medical science and their challenges","Multimedia Systems","","","","10.1007/s00530-020-00694-1","Chandradeep BhattIndrajeet KumarV. VijayakumarKamred Udham SinghAbhishek Kumar","2020","http://link.springer.com/article/10.1007/s00530-020-00694-1","Article"
"Deep convolutional neural networks with transfer learning for automated brain image classification","Machine Vision and Applications","","31","3","10.1007/s00138-020-01069-2","Taranjit KaurTapan Kumar Gandhi","2020","http://link.springer.com/article/10.1007/s00138-020-01069-2","Article"
"From Artificial Intelligence to Deep Learning in Bio-medical Applications","Deep Learners and Deep Learner Descriptors for Medical Applications","","","","10.1007/978-3-030-42750-4_10","Olga Lucia Quintero MontoyaJuan Guillermo Paniagua","2020","http://link.springer.com/chapter/10.1007/978-3-030-42750-4_10","Chapter"
"Deep understanding of 3-D multimedia information retrieval on social media: implications and challenges","Iran Journal of Computer Science","","2","2","10.1007/s42044-019-00030-5","Ritika WasonVishal JainGagandeep Singh NarulaAnupam Balyan","2019","http://link.springer.com/article/10.1007/s42044-019-00030-5","Article"
"Convolutional Neural Networks-An Extensive arena of Deep Learning. A Comprehensive Study","Archives of Computational Methods in Engineering","","","","10.1007/s11831-021-09551-4","Navdeep SinghHiteshwari Sabrol","2021","http://link.springer.com/article/10.1007/s11831-021-09551-4","Article"
"A deep feature-based real-time system for Alzheimer disease stage detection","Multimedia Tools and Applications","","","","10.1007/s11042-020-09087-y","Hina NawazMuazzam MaqsoodSitara AfzalFarhan AadilIrfan MehmoodSeungmin Rho","2020","http://link.springer.com/article/10.1007/s11042-020-09087-y","Article"
"Data-Driven Approaches for Spatio-Temporal Analysis: A Survey of the State-of-the-Arts","Journal of Computer Science and Technology","","35","3","10.1007/s11390-020-9349-0","Monidipa DasSoumya K. Ghosh","2020","http://link.springer.com/article/10.1007/s11390-020-9349-0","Article"
"Classification of Alzheimer’s Disease Using Deep Convolutional Spiking Neural Network","Neural Processing Letters","","","","10.1007/s11063-021-10514-w","Regina Esi TurksonHong QuCobbinah Bernard MawuliMoses J. Eghan","2021","http://link.springer.com/article/10.1007/s11063-021-10514-w","Article"
"Deep learning detection of informative features in tau PET for Alzheimer’s disease classification","BMC Bioinformatics","","21","21","10.1186/s12859-020-03848-0","Taeho JoKwangsik NhoShannon L. RisacherAndrew J. Saykin","2020","http://link.springer.com/article/10.1186/s12859-020-03848-0","Article"
"Classification of MRI Migraine Medical Data Using 3D Convolutional Neural Network","Artificial Neural Networks and Machine Learning – ICANN 2018","","","","10.1007/978-3-030-01424-7_30","Hwei Geok NgMatthias KerzelJan MehnertArne MayStefan Wermter","2018","http://link.springer.com/chapter/10.1007/978-3-030-01424-7_30","Chapter"
"Survey on Deep Learning Techniques for Medical Imaging Application Area","Machine Learning Paradigms","","","","10.1007/978-3-030-49724-8_7","Shymaa Abou ArkoubAmir Hajjam El HassaniFabrice LauriMohammad HajjarBassam DayaSophie HecquetSébastien Aubry","2020","http://link.springer.com/chapter/10.1007/978-3-030-49724-8_7","Chapter"
"Deep Learning for Predictive Analytics in Healthcare","The International Conference on Advanced Machine Learning Technologies and Applications (AMLTA2019)","","","","10.1007/978-3-030-14118-9_4","Anandhavalli MuniasamySehrish TabassamMohammad A. HussainHabeeba SultanaVasanthi MuniasamyRoheet Bhatnagar","2020","http://link.springer.com/chapter/10.1007/978-3-030-14118-9_4","Chapter"
"Deep Learning and the Future of Biomedical Image Analysis","Deep Learning Techniques for Biomedical and Health Informatics","","","","10.1007/978-3-030-33966-1_15","Monika JyotiyanaNishtha Kesswani","2020","http://link.springer.com/chapter/10.1007/978-3-030-33966-1_15","Chapter"
"Psychiatric Disorders Classification with 3D Convolutional Neural Networks","Recent Advances in Big Data and Deep Learning","","","","10.1007/978-3-030-16841-4_6","Stefano CampeseIvano LauriolaCristina ScarpazzaGiuseppe SartoriFabio Aiolli","2020","http://link.springer.com/chapter/10.1007/978-3-030-16841-4_6","Chapter"
"Age Prediction Based on Brain MRI Image: A Survey","Journal of Medical Systems","","43","8","10.1007/s10916-019-1401-7","Hedieh SajediNastaran Pardakhti","2019","http://link.springer.com/article/10.1007/s10916-019-1401-7","Article"
"SCIENTIFIC ABSTRACTS","Journal of General Internal Medicine","","33","2","10.1007/s11606-018-4413-y","","2018","http://link.springer.com/article/10.1007/s11606-018-4413-y","Article"
"A deep learning framework for 18F-FDG PET imaging diagnosis in pediatric patients with temporal lobe epilepsy","European Journal of Nuclear Medicine and Molecular Imaging","","","","10.1007/s00259-020-05108-y","Qinming ZhangYi LiaoXiawan WangTeng ZhangJianhua FengJianing DengKexin ShiLin ChenLiu FengMindi MaLe XueHaifeng HouXiaofeng DouCongcong YuLei RenYao Ding","2021","http://link.springer.com/article/10.1007/s00259-020-05108-y","Article"
"Automatic Recognition of the Early Stage of Alzheimer’s Disease Based on Discrete Wavelet Transform and Reduced Deep Convolutional Neural Network","Innovation in Electrical Power Engineering, Communication, and Computing Technology","","","","10.1007/978-981-15-2305-2_43","Bhanja Kishor SwainMrutyunjaya SahaniRenu Sharma","2020","http://link.springer.com/chapter/10.1007/978-981-15-2305-2_43","Chapter"
"Boosting Traditional Healthcare-Analytics with Deep Learning AI: Techniques, Frameworks and Challenges","Enabling AI Applications in Data Science","","","","10.1007/978-3-030-52067-0_15","Prabha Susy MathewAnitha S. Pillai","2021","http://link.springer.com/chapter/10.1007/978-3-030-52067-0_15","Chapter"
"Handling of uncertainty in medical data using machine learning and probability theory techniques: a review of 30 years (1991–2020)","Annals of Operations Research","","","","10.1007/s10479-021-04006-2","Roohallah AlizadehsaniMohamad RoshanzamirSadiq HussainAbbas KhosraviAfsaneh KoohestaniMohammad Hossein ZangooeiMoloud AbdarAdham BeykikhoshkAfshin ShoeibiAssef ZareMaryam PanahiazarSaeid NahavandiDipti SrinivasanAmir F. AtiyaU. Rajendra Acharya","2021","http://link.springer.com/article/10.1007/s10479-021-04006-2","Article"
"Diagnosis Method of Alzheimer’s Disease in PET Image Based on CNN Multi-mode Network","Human Centered Computing","","","","10.1007/978-3-030-70626-5_24","Shupei WuHe Huang","2021","http://link.springer.com/chapter/10.1007/978-3-030-70626-5_24","Chapter"
"Exploration of Magnetic Resonance Imaging for Prognosis of Alzheimer’s Disease Using Convolutional Neural Network","Artificial Intelligence Techniques for Advanced Computing Applications","","","","10.1007/978-981-15-5329-5_15","M. S. RoobiniM. Lakshmi","2021","http://link.springer.com/chapter/10.1007/978-981-15-5329-5_15","Chapter"
"A Fast and Accurate 3D Fine-Tuning Convolutional Neural Network for Alzheimer’s Disease Diagnosis","Artificial Intelligence","","","","10.1007/978-981-13-2122-1_9","Hao TangErlin YaoGuangming TanXiuhua Guo","2018","http://link.springer.com/chapter/10.1007/978-981-13-2122-1_9","Chapter"
"Auxiliary diagnosis of heterogeneous data of Parkinson’s disease based on improved convolution neural network","Multimedia Tools and Applications","","79","33 - 34","10.1007/s11042-020-08984-6","Dai YinYiqi ZhaoYang WangWenpu ZhaoXiaoming Hu","2020","http://link.springer.com/article/10.1007/s11042-020-08984-6","Article"
"Anatomical-Landmark-Based Deep Learning for Alzheimer’s Disease Diagnosis with Structural Magnetic Resonance Imaging","Deep Learning in Healthcare","","","","10.1007/978-3-030-32606-7_8","Mingxia LiuChunfeng LianDinggang Shen","2020","http://link.springer.com/chapter/10.1007/978-3-030-32606-7_8","Chapter"
"A Brief View on Medical Diagnosis Applications with Deep Learning","Deep Learning for Medical Decision Support Systems","","","","10.1007/978-981-15-6325-6_3","Utku KoseOmer DeperliogluJafar AlzubiBogdan Patrut","2021","http://link.springer.com/chapter/10.1007/978-981-15-6325-6_3","Chapter"
"Deep Learning of Multisensory Streaming Data for Predictive Modelling with Applications in Finance, Ecology, Transport and Environment","Time-Space, Spiking Neural Networks and Brain-Inspired Artificial Intelligence","","","","10.1007/978-3-662-57715-8_19","Nikola K. Kasabov","2019","http://link.springer.com/chapter/10.1007/978-3-662-57715-8_19","Chapter"
"Deep Learning in Multimodal Medical Image Analysis","Health Information Science","","","","10.1007/978-3-030-32962-4_18","Yan Xu","2019","http://link.springer.com/chapter/10.1007/978-3-030-32962-4_18","Chapter"
"Computational Intelligence for Brain Tumors Detection","New Approaches for Multidimensional Signal Processing","","","","10.1007/978-981-33-4676-5_1","Abdel-Badeeh M. Salem","2021","http://link.springer.com/chapter/10.1007/978-981-33-4676-5_1","Chapter"
"Brain Tumor Segmentation Using OTSU Embedded Adaptive Particle Swarm Optimization Method and Convolutional Neural Network","Data Visualization and Knowledge Engineering","","","","10.1007/978-3-030-25797-2_8","Surbhi VijhShilpi SharmaPrashant Gaurav","2020","http://link.springer.com/chapter/10.1007/978-3-030-25797-2_8","Chapter"
"EPSM 2018, Engineering and Physical Sciences in Medicine","Australasian Physical & Engineering Sciences in Medicine","","42","1","10.1007/s13246-019-00724-x","","2019","http://link.springer.com/article/10.1007/s13246-019-00724-x","Article"
"Functional Brain Network Classification for Alzheimer’s Disease Detection with Deep Features and Extreme Learning Machine","Cognitive Computation","","12","3","10.1007/s12559-019-09688-2","Xin BiXiangguo ZhaoHong HuangDeyang ChenYuliang Ma","2020","http://link.springer.com/article/10.1007/s12559-019-09688-2","Article"
"Generalization of deep learning models for ultra-low-count amyloid PET/MRI using transfer learning","European Journal of Nuclear Medicine and Molecular Imaging","","47","13","10.1007/s00259-020-04897-6","Kevin T. ChenMatti SchürerJiahong OuyangMary Ellen I. KoranGuido DavidzonElizabeth MorminoSolveig TiepoltKarl-Titus HoffmannOsama SabriGreg ZaharchukHenryk Barthel","2020","http://link.springer.com/article/10.1007/s00259-020-04897-6","Article"
"Early Diagnosis of Alzheimer’s Disease Based on Deep Learning and GWAS","Human Brain and Artificial Intelligence","","","","10.1007/978-981-15-1398-5_4","Dan PanYin HuangAn ZengLongfei JiaXiaowei Song","2019","http://link.springer.com/chapter/10.1007/978-981-15-1398-5_4","Chapter"
"Applications of AI Beyond Image Interpretation","Artificial Intelligence in Medical Imaging","","","","10.1007/978-3-319-94878-2_11","José M. MoreyNora M. HaneyWoojin Kim","2019","http://link.springer.com/chapter/10.1007/978-3-319-94878-2_11","Chapter"
"Amyloid PET Quantification Via End-to-End Training of a Deep Learning","Nuclear Medicine and Molecular Imaging","","53","5","10.1007/s13139-019-00610-0","Ji-Young KimHoon Young SuhHyun Gee RyooDongkyu OhHongyoon ChoiJin Chul PaengGi Jeong CheonKeon Wook KangDong Soo Lee","2019","http://link.springer.com/article/10.1007/s13139-019-00610-0","Article"
"Early Detection of Alzheimer’s Disease Using Deep Learning","Advances in Artificial Intelligence","","","","10.1007/978-3-319-89656-4_40","Laura McCrackin","2018","http://link.springer.com/chapter/10.1007/978-3-319-89656-4_40","Chapter"
"Magnetic Resonance Imaging Classification Methods: A Review","Nanoelectronics, Circuits and Communication Systems","","","","10.1007/978-981-15-7486-3_38","Nikhil PateriaDilip KumarSunil Kumar","2021","http://link.springer.com/chapter/10.1007/978-981-15-7486-3_38","Chapter"
"A CNN–RNN–LSTM Based Amalgamation for Alzheimer’s Disease Detection","Journal of Medical and Biological Engineering","","40","5","10.1007/s40846-020-00556-1","Mohit DuaDrishti MakhijaP. Y. L. ManasaPrashant Mishra","2020","http://link.springer.com/article/10.1007/s40846-020-00556-1","Article"
"A CNN based framework for classification of Alzheimer’s disease","Neural Computing and Applications","","","","10.1007/s00521-021-05799-w","Yousry AbdulAzeemWaleed M. BahgatMahmoud Badawy","2021","http://link.springer.com/article/10.1007/s00521-021-05799-w","Article"
"Detecting Alzheimer’s Disease by Exploiting Linguistic Information from Nepali Transcript","Neural Information Processing","","","","10.1007/978-3-030-63820-7_20","Surendrabikram ThapaSurabhi AdhikariUsman NaseemPriyanka SinghGnana BharathyMukesh Prasad","2020","http://link.springer.com/chapter/10.1007/978-3-030-63820-7_20","Chapter"
"Deep Learning-Based Segmentation in Classification of Alzheimer’s Disease","Arabian Journal for Science and Engineering","","","","10.1007/s13369-020-05193-z","P. R. BuvaneswariR. Gayathri","2021","http://link.springer.com/article/10.1007/s13369-020-05193-z","Article"
"Feature Learning to Automatically Assess Radiographic Knee Osteoarthritis Severity","Deep Learners and Deep Learner Descriptors for Medical Applications","","","","10.1007/978-3-030-42750-4_2","Joseph AntonyKevin McGuinnessKieran MoranNoel E. O’Connor","2020","http://link.springer.com/chapter/10.1007/978-3-030-42750-4_2","Chapter"
