Authors;Author Full Names;Article Title;Source Title;Abstract;ISSN;eISSN;ISBN;Publication Date;Publication Year;Volume;DOI;Publication Type
"Pandian, R; Kumari, SL";"Pandian, R.; Kumari, S. Lalitha";Characterization of Alzheimer MRI Image based on Image Compression Techniques;JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH;The motive of this work is to develop an Algorithm for compression with high compression and good value of PSNR. The target presently changed by including appropriate transform and encoding strategies to accomplish the task. The ideal of image compression is chosen depending on a trade off among PSNR and CR. The goal is additionally discovering an ideal algorithm for medical image compression. The MR imaging are used in this work. To guarantee the nature of the planned methods, the component extraction strategies, which are the pre-solicitation of the grouping calculations, have been discovered and the outcomes uncover that the use of image doesn't modify the portrayal conduct of the medical images.;0022-4456;0975-1084;;NOV;2020;79;;J
"Pini, L; Wennberg, A; Mitolo, M; Meneghello, F; Burgio, F; Semenza, C; Venneri, A; Mantini, D; Vallesi, A";"Pini, Lorenzo; Wennberg, Alexandra; Mitolo, Micaela; Meneghello, Francesca; Burgio, Francesca; Semenza, Carlo; Venneri, Annalena; Mantini, Dante; Vallesi, Antonino";Quality of sleep predicts increased frontoparietal network connectivity in patients with mild cognitive impairment;NEUROBIOLOGY OF AGING;High quality of sleep may mitigate the impact of pathophysiological mechanisms in mild cognitive impairment (MCI) through functional connectivity reorganization of neural networks underlying higher cognitive functions. Thirty-eight patients with MCI stratified into high and low quality of sleep in accordance with a self-reported questionnaire for sleep habits, and 38 controls underwent resting-state functional magnetic resonance imaging. Independent component analysis was used to reconstruct the default mode network and frontoparietal network (FPN). High quality of sleep was associated with increased FPN connectivity among patients with MCI. Moreover, a positive coupling of connectivity between networks was found in MCI reporting high quality of sleep, congruently with the pattern observed in controls, whereas this coupling was disrupted in MCI with low quality of sleep. An association between FPN connectivity and language scores was observed in MCI. These findings suggest a relationship between sleep quality and FPN connectivity in MCI that may underlie compensatory mechanisms to overcome advancing neurodegeneration. (C) 2020 Elsevier Inc. All rights reserved.;0197-4580;1558-1497;;NOV;2020;95;10.1016/j.neurobiolaging.2020.07.026;J
"Ronicko, JFA; Thomas, J; Thangavel, P; Koneru, V; Langs, G; Dauwels, J";"Ronicko, Jac Fredo Agastinose; Thomas, John; Thangavel, Prasanth; Koneru, Vineetha; Langs, Georg; Dauwels, Justin";Diagnostic classification of autism using resting-state fMRI data improves with full correlation functional brain connectivity compared to partial correlation;JOURNAL OF NEUROSCIENCE METHODS;Background: Autism Spectrum Disorder (ASD) is a neurodevelopmental disability with altered connectivity in brain networks. New method: In this study, brain connections in Resting-state functional Magnetic Resonance Imaging (Rs-fMRI) of ASD and Typical Developing (TD) are analyzed by partial and full correlation methods such as Gaussian Graphical Least Absolute Shrinkage and Selection Operator (GLASSO), Max-Det Matrix Completion (MDMC), and Pearson Correlation Co-Efficient (PCCE). We investigated Functional Connectivity (FC) of ASD and TD brain from 238 functionally defined regions of interest. Furthermore, we constructed a series of feature sets by applying conditional random forests and conditional permutation importance. We built classifier models by Random Forest (RF), Oblique RF (ORF), Support Vector Machine (SVM), and Convolutional Neural Network (CNN) for each feature set. FC features are ranked based on p-value and we analyzed the top 20 FC features. Results: We achieved a single-trial test accuracy of 72.5 %, though MDMC-SVM and PCCE-CNN pipelines. Further, PCCE-CNN pipeline gives better average test accuracy (70.31 %) and area under the curve (0.73) compared to other pipelines. We found that top-20 PCCE based FC features are from networks such as Dorsal Attention (DA), Cingulo-Opercular Task Control (COTC), somatosensory motor hand and subcortical. In addition, among top 20 PCCE features, many FC links are found between COTC and DA (4 connections) which helped to discriminate the ASD and TD. Comparison with existing methods and Conclusions: The generalized classifier models built in our study for highly heterogeneous participants perform better than previous studies with similar data sets and diagnostic groups.;0165-0270;1872-678X;;NOV 1;2020;345;10.1016/j.jneumeth.2020.108884;J
"Duong, MT; Rauschecker, AM; Mohan, S";"Duong, Michael Tran; Rauschecker, Andreas M.; Mohan, Suyash";Diverse Applications of Artificial Intelligence in Neuroradiology;NEUROIMAGING CLINICS OF NORTH AMERICA;Recent advances in artificial intelligence (AI) and deep learning (DL) hold promise to augment neuroimaging diagnosis for patients with brain tumors and stroke. Here, the authors review the diverse landscape of emerging neuroimaging applications of AI, including workflow optimization, lesion segmentation, and precision education. Given the many modalities used in diagnosing neurologic diseases, AI may be deployed to integrate across modalities (MR imaging, computed tomography, PET, electroencephalography, clinical and laboratory findings), facilitate crosstalk among specialists, and potentially improve diagnosis in patients with trauma, multiple sclerosis, epilepsy, and neurodegeneration. Together, there are myriad applications of AI for neuroradiology.;1052-5149;1557-9867;;NOV;2020;30;10.1016/j.nic.2020.07.003;J
"Folego, G; Weiler, M; Casseb, RF; Pires, R; Rocha, A";"Folego, Guilherme; Weiler, Marina; Casseb, Raphael F.; Pires, Ramon; Rocha, Anderson";Alzheimer's Disease Detection Through Whole-Brain 3D-CNN MRI;FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY;The projected burden of dementia by Alzheimer's disease (AD) represents a looming healthcare crisis as the population of most countries grows older. Although there is currently no cure, it is possible to treat symptoms of dementia. Early diagnosis is paramount to the development and success of interventions, and neuroimaging represents one of the most promising areas for early detection of AD. We aimed to deploy advanced deep learning methods to determine whether they can extract useful AD biomarkers from structural magnetic resonance imaging (sMRI) and classify brain images into AD, mild cognitive impairment (MCI), and cognitively normal (CN) groups. We tailored and trained Convolutional Neural Networks (CNNs) on sMRIs of the brain from datasets available in online databases. Our proposed method, ADNet, was evaluated on the CADDementia challenge and outperformed several approaches in the prior art. The method's configuration with machine-learning domain adaptation, ADNet-DA, reached 52.3% accuracy. Contributions of our study include devising a deep learning system that is entirely automatic and comparatively fast, presenting competitive results without using any patient's domain-specific knowledge about the disease. We were able to implement an end-to-end CNN system to classify subjects into AD, MCI, or CN groups, reflecting the identification of distinctive elements in brain images. In this context, our system represents a promising tool in finding biomarkers to help with the diagnosis of AD and, eventually, many other diseases.;2296-4185;;;OCT 30;2020;8;10.3389/fbioe.2020.534592;J
"Ramanoel, S; Durteste, M; Becu, M; Habas, C; Arleo, A";"Ramanoel, Stephen; Durteste, Marion; Becu, Marcia; Habas, Christophe; Arleo, Angelo";Differential Brain Activity in Regions Linked to Visuospatial Processing During Landmark-Based Navigation in Young and Healthy Older Adults;FRONTIERS IN HUMAN NEUROSCIENCE;"Older adults have difficulties in navigating unfamiliar environments and updating their wayfinding behavior when faced with blocked routes. This decline in navigational capabilities has traditionally been ascribed to memory impairments and dysexecutive function, whereas the impact of visual aging has often been overlooked. The ability to perceive visuospatial information such as salient landmarks is essential to navigating efficiently. To date, the functional and neurobiological factors underpinning landmark processing in aging remain insufficiently characterized. To address this issue, functional magnetic resonance imaging (fMRI) was used to investigate the brain activity associated with landmark-based navigation in young and healthy older participants. The performances of 25 young adults (mu = 25.4 years, sigma = 2.7; seven females) and 17 older adults (mu = 73.0 years, sigma = 3.9; 10 females) were assessed in a virtual-navigation task in which they had to orient using salient landmarks. The underlying whole-brain patterns of activity as well as the functional roles of specific cerebral regions involved in landmark processing, namely the parahippocampal place area (PPA), the occipital place area (OPA), and the retrosplenial cortex (RSC), were analyzed. Older adults' navigational abilities were overall diminished compared to young adults. Also, the two age groups relied on distinct navigational strategies to solve the task. Better performances during landmark-based navigation were associated with increased neural activity in an extended neural network comprising several cortical and cerebellar regions. Direct comparisons between age groups revealed that young participants had greater anterior temporal activity. Also, only young adults showed significant activity in occipital areas corresponding to the cortical projection of the central visual field during landmark-based navigation. The region-of-interest analysis revealed an increased OPA activation in older adult participants during the landmark condition. There were no significant between-group differences in PPA and RSC activations. These preliminary results hint at the possibility that aging diminishes fine-grained information processing in occipital and temporal regions, thus hindering the capacity to use landmarks adequately for navigation. Keeping sight of its exploratory nature, this work helps towards a better comprehension of the neural dynamics subtending landmark-based navigation and it provides new insights on the impact of age-related visuospatial processing differences on navigation capabilities.";1662-5161;;;OCT 29;2020;14;10.3389/fnhum.2020.552111;J
"Gong, K; Han, PK; Johnson, KA; El Fakhri, G; Ma, C; Li, QZ";"Gong, Kuang; Han, Paul Kyu; Johnson, Keith A.; El Fakhri, Georges; Ma, Chao; Li, Quanzheng";Attenuation correction using deep Learning and integrated UTE/multi-echo Dixon sequence: evaluation in amyloid and tau PET imaging;EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING;Purpose PET measures of amyloid and tau pathologies are powerful biomarkers for the diagnosis and monitoring of Alzheimer's disease (AD). Because cortical regions are close to bone, quantitation accuracy of amyloid and tau PET imaging can be significantly influenced by errors of attenuation correction (AC). This work presents an MR-based AC method that combines deep learning with a novel ultrashort time-to-echo (UTE)/multi-echo Dixon (mUTE) sequence for amyloid and tau imaging. Methods Thirty-five subjects that underwent both 11C-PiB and 18F-MK6240 scans were included in this study. The proposed method was compared with Dixon-based atlas method as well as magnetization-prepared rapid acquisition with gradient echo (MPRAGE)- or Dixon-based deep learning methods. The Dice coefficient and validation loss of the generated pseudo-CT images were used for comparison. PET error images regarding standardized uptake value ratio (SUVR) were quantified through regional and surface analysis to evaluate the final AC accuracy. Results The Dice coefficients of the deep learning methods based on MPRAGE, Dixon, and mUTE images were 0.84 (0.91), 0.84 (0.92), and 0.87 (0.94) for the whole-brain (above-eye) bone regions, respectively, higher than the atlas method of 0.52 (0.64). The regional SUVR error for the atlas method was around 6%, higher than the regional SUV error. The regional SUV and SUVR errors for all deep learning methods were below 2%, with mUTE-based deep learning method performing the best. As for the surface analysis, the atlas method showed the largest error (> 10%) near vertices inside superior frontal, lateral occipital, superior parietal, and inferior temporal cortices. The mUTE-based deep learning method resulted in the least number of regions with error higher than 1%, with the largest error (> 5%) showing up near the inferior temporal and medial orbitofrontal cortices. Conclusion Deep learning with mUTE can generate accurate AC for amyloid and tau imaging in PET/MR.;1619-7070;1619-7089;;;;;10.1007/s00259-020-05061-w;J
"Ma, D; Lu, DH; Popuri, K; Wang, L; Beg, MF";"Ma, Da; Lu, Donghuan; Popuri, Karteek; Wang, Lei; Beg, Mirza Faisal";Differential Diagnosis of Frontotemporal Dementia, Alzheimer's Disease, and Normal Aging Using a Multi-Scale Multi-Type Feature Generative Adversarial Deep Neural Network on Structural Magnetic Resonance Images;FRONTIERS IN NEUROSCIENCE;"Methods: Alzheimer's disease and Frontotemporal dementia are the first and third most common forms of dementia. Due to their similar clinical symptoms, they are easily misdiagnosed as each other even with sophisticated clinical guidelines. For disease-specific intervention and treatment, it is essential to develop a computer-aided system to improve the accuracy of their differential diagnosis. Recent advances in deep learning have delivered some of the best performance for medical image recognition tasks. However, its application to the differential diagnosis of AD and FTD pathology has not been explored. Approach: In this study, we proposed a novel deep learning based framework to distinguish between brain images of normal aging individuals and subjects with AD and FTD. Specifically, we combined the multi-scale and multi-type MRI-base image features with Generative Adversarial Network data augmentation technique to improve the differential diagnosis accuracy. Results: Each of the multi-scale, multitype, and data augmentation methods improved the ability for differential diagnosis for both AD and FTD. A 10-fold cross validation experiment performed on a large sample of 1,954 images using the proposed framework achieved a high overall accuracy of 88.28%. Conclusions: The salient contributions of this study are three-fold: (1) our experiments demonstrate that the combination of multiple structural features extracted at different scales with our proposed deep neural network yields superior performance than individual features; (2) we show that the use of Generative Adversarial Network for data augmentation could further improve the discriminant ability of the network regarding challenging tasks such as differentiating dementia sub-types; (3) and finally, we show that ensemble classifier strategy could make the network more robust and stable.";;1662-453X;;OCT 22;2020;14;10.3389/fnins.2020.00853;J
"Liu, YF; Mo, X; Yang, H; Liu, Y; Zhang, JR";"Liu, Yunfei; Mo, Xian; Yang, Hao; Liu, Yan; Zhang, Junran";A Pilot Study of Diabetes Mellitus Classification from rs-fMRI Data Using Convolutional Neural Networks;MATHEMATICAL PROBLEMS IN ENGINEERING;Background. As a chronic progressive disease, diabetes mellitus (DM) has a high incidence worldwide, and it impacts on cognitive and learning abilities in the lifetime even in the early stage, may degenerate memory in middle age, and perhaps increases the risk of Alzheimer's disease. Method. In this work, we propose a convolutional neural network (CNN) based classification method to help classify diabetes by distinguishing the brains with abnormal functions from the normal ones on resting-state functional magnetic resonance imaging (rs-fMRI). The proposed classification model is based on the Inception-v4-Residual convolutional neural network architecture. In our workflow, the original rs-fMRI data are first mapped to generate amplitude of low-frequency fluctuation (ALFF) images and then fed into the CNN model to get the classification result to indicate the potential existence of DM. Result. We validate our method on a realistic clinical rs-fMRI dataset, and the achieved average accuracy is 89.95% in fivefold cross-validation. Our model achieves a 0.8690 AUC with 77.50% and 77.51% sensitivity and specificity using our local dataset, respectively. Conclusion. It has the potential to become a novel clinical preliminary screening tool that provides help for the classification of different categories based on functional brain alteration caused by diabetes, benefiting from its accuracy and robustness, as well as efficiency and patient friendliness.;1024-123X;1563-5147;;OCT 21;2020;2020;10.1155/2020/1903734;J
"Park, J; Kim, Y; Woo, M";"Park, J.; Kim, Y.; Woo, M.";Physical Fitness and Apolipoprotein E Genotype Influence Cortical Networking and Intelligence in Adolescents;JPAD-JOURNAL OF PREVENTION OF ALZHEIMERS DISEASE;AIMS: This study examined the interactive effect of physical fitness and Apolipoprotein e4 on intelligence and cortical networking in adolescents. METHODS: Participants were middle school students consisting of 10 and 8 high- and low-fit e4 carriers (e4+), respectively, and 14 and 10 high- and low-fit non-carriers (e4-), respectively. Inter- and intra-hemispheric coherences were calculated to examine cortico-cortical communication during intelligence test. RESULTS: Coherence in low-fit e4+ was lower than in high-fit e4+, while coherence in low-fit e4- was similar to or higher than in high-fit e4-. CONCLUSION: The presence of the e4 allele can decrease neural networking 50-60 years before Alzheimer's disease onset: however, physical fitness may compensate for the negative impact of genotype. Moreover, the beneficial effects of physical fitness may differ depending on functional states of the adolescent brain according to the presence of the e4 allele.;2274-5807;2426-0266;;JAN;2021;8;10.14283/jpad.2020.56;J
"Luo, CM; Li, MC; Qin, RM; Chen, HF; Huang, LL; Yang, D; Ye, Q; Liu, RY; Xu, Y; Zhao, H; Bai, F";"Luo, Caimei; Li, Mengchun; Qin, Ruomeng; Chen, Haifeng; Huang, Lili; Yang, Dan; Ye, Qing; Liu, Renyuan; Xu, Yun; Zhao, Hui; Bai, Feng";Long Longitudinal Tract Lesion Contributes to the Progression of Alzheimer's Disease;FRONTIERS IN NEUROLOGY;Background: The degenerative pattern of white matter (WM) microstructures during Alzheimer's disease (AD) and its relationship with cognitive function have not yet been clarified. The present research aimed to explore the alterations of the WM microstructure and its impact on amnestic mild cognitive (aMCI) and AD patients. Mechanical learning methods were used to explore the validity of WM microstructure lesions on the classification in AD spectrum disease. Methods: Neuropsychological data and diffusion tensor imaging (DTI) images were collected from 28 AD subjects, 31 aMCI subjects, and 27 normal controls (NC). Tract-based spatial statistics (TBSS) were used to extract diffusion parameters in WM tracts. We performed ANOVA analysis to compare diffusion parameters and clinical features among the three groups. Partial correlation analysis was used to explore the relationship between diffusion metrics and cognitive functions controlling for age, gender, and years of education. Additionally, we performed the support vector machine (SVM) classification to determine the discriminative ability of DTI metrics in the differentiation of aMCI and AD patients from controls. Results: As compared to controls or aMCI patients, AD patients displayed widespread WM lesions, including in the inferior longitudinal fasciculus, inferior fronto-occipital fasciculi, and superior longitudinal fasciculus. Significant correlations between fractional anisotropy (FA), mean diffusivity (MD), and radial diffusion (RD) of the long longitudinal tract and memory deficits were found in aMCI and AD groups, respectively. Furthermore, through SVM classification, we found DTI indicators generated by FA and MD parameters can effectively distinguish AD patients from the control group with accuracy rates of up to 89 and 85%, respectively. Conclusion: The WM microstructure is extensively disrupted in AD patients, and the WM integrity of the long longitudinal tract is closely related to memory, which would hold potential value for monitoring the progression of AD. The method of classification based on SVM and WM damage features may be objectively helpful to the classification of AD diseases.;1664-2295;;;OCT 16;2020;11;10.3389/fneur.2020.503235;J
"Rashid, M; Singh, H; Goyal, V";"Rashid, Mamoon; Singh, Harjeet; Goyal, Vishal";The use of machine learning and deep learning algorithms in functional magnetic resonance imaging-A systematic review;EXPERT SYSTEMS;"Functional Magnetic Resonance Imaging (fMRI) is presently one of the most popular techniques for analysing the dynamic states in brain images using various kinds of algorithms. From the last decade, there is an exponential rise in the use of the machine and deep learning algorithms of artificial intelligence for analysing fMRI data. However, it is a big challenge for every researcher to choose a suitable machine or deep learning algorithm for analysing fMRI data due to the availability of a large number of algorithms in the literature. It takes much time for each researcher to know about the various approaches and algorithms which are in use for fMRI data. This paper provides a review in a systematic manner for the present literature of fMRI data that makes use of the machine and deep learning algorithms. The major goals of this review paper are to (a) identify machine learning and deep learning research trends for the implementation of fMRI; (b) identify usage of Machine Learning Algorithms and deep learning in fMRI, and (c) help new researchers based on fMRI to put their new findings appropriately in existing domain of fMRI research. The results of this systematic review identified various fMRI studies and classified them based on fMRI types, mental diseases, use of machine learning and deep learning algorithms. The authors have provided the studies with the best performance of machine learning and deep learning algorithms used in fMRI. The authors believe that this systematic review will help incoming researchers on fMRI in their future works.";0266-4720;1468-0394;;DEC;2020;37;10.1111/exsy.12644;J
"Malpetti, M; Passamonti, L; Rittman, T; Jones, PS; Rodriguez, PV; Bevan-Jones, WR; Hong, YT; Fryer, TD; Aigbirhio, FI; O'Brien, JT; Rowe, JB";"Malpetti, Maura; Passamonti, Luca; Rittman, Timothy; Jones, P. Simon; Vazquez Rodriguez, Patricia; Bevan-Jones, W. Richard; Hong, Young T.; Fryer, Tim D.; Aigbirhio, Franklin I.; O'Brien, John T.; Rowe, James B.";Neuroinflammation and Tau Colocalize in vivo in Progressive Supranuclear Palsy;ANNALS OF NEUROLOGY;Objective We examined the relationship between tau pathology and neuroinflammation using [C-11]PK11195 and [F-18]AV-1451 PET in 17 patients with progressive supranuclear palsy (PSP) Richardson's syndrome. We tested the hypothesis that neuroinflammation and tau protein aggregation colocalize macroscopically, and correlate with clinical severity. Methods Nondisplaceable binding potential (BPND) for each ligand was quantified in 83 regions of interest (ROIs). The [C-11]PK11195 and [F-18]AV-1451 BP(ND)values were correlated across all regions. The spatial distributions of [C-11]PK11195 and [F-18]AV-1451 binding were determined by principal component analyses (PCAs), and the loading of each spatial component compared against the patients' clinical severity (using the PSP rating scale). Results Regional [C-11]PK11195 and [F-18]AV-1451 binding were positively correlated (R = 0.577,p< 0.0001). The PCA identified 4 components for each ligand, reflecting the relative expression of tau pathology or neuroinflammation in distinct groups of brain regions. Positive associations between [C-11]PK11195 and [F-18]AV-1451 components' loadings were found in both subcortical (R = 0.769,p< 0.0001) and cortical regions (R = 0.836,p< 0.0001). There were positive correlations between clinical severity and both subcortical tau pathology (R = 0.667,p= 0.003) and neuroinflammation (R = 0.788,p< 0.001). Interpretation We show that tau pathology and neuroinflammation colocalize in PSP, and that individual differences in subcortical tau pathology and neuroinflammation are linked to clinical severity. Although longitudinal studies are needed to determine causal associations between these molecular pathologies, we suggest that the combination of tau- and immune-oriented strategies may be useful for effective disease-modifying treatments in PSP. ANN NEUROL 2020;0364-5134;1531-8249;;DEC;2020;88;10.1002/ana.25911;J
"Lao, PJ; Gutierrez, J; Keator, D; Rizvi, B; Banerjee, A; Igwe, KC; Laing, KK; Sathishkumar, M; Moni, F; Andrews, H; Krinsky-McHale, S; Head, E; Lee, JH; Lai, F; Yassa, MA; Rosas, HD; Silverman, W; Lott, IT; Schupf, N; Brickman, AM";"Lao, Patrick J.; Gutierrez, Jose; Keator, David; Rizvi, Batool; Banerjee, Arit; Igwe, Kay C.; Laing, Krystal K.; Sathishkumar, Mithra; Moni, Fahmida; Andrews, Howard; Krinsky-McHale, Sharon; Head, Elizabeth; Lee, Joseph H.; Lai, Florence; Yassa, Michael A.; Rosas, H. Diana; Silverman, Wayne; Lott, Ira T.; Schupf, Nicole; Brickman, Adam M.";Alzheimer-Related Cerebrovascular Disease in Down Syndrome;ANNALS OF NEUROLOGY;Objective Adults with Down syndrome (DS) develop Alzheimer disease (AD) pathology by their 5th decade. Compared with the general population, traditional vascular risks in adults with DS are rare, allowing examination of cerebrovascular disease in this population and insight into its role in AD without the confound of vascular risk factors. We examined in vivo magnetic resonance imaging (MRI)-based biomarkers of cerebrovascular pathology in adults with DS, and determined their cross-sectional relationship with age, beta-amyloid pathology, and mild cognitive impairment or clinical AD diagnostic status. Methods Participants from the Biomarkers of Alzheimer's Disease in Down Syndrome study (n = 138, 50 +/- 7 years, 39% women) with MRI data and a subset (n = 90) with amyloid positron emission tomography (PET) were included. We derived MRI-based biomarkers of cerebrovascular pathology, including white matter hyperintensities (WMH), infarcts, cerebral microbleeds, and enlarged perivascular spaces (PVS), as well as PET-based biomarkers of amyloid burden. Participants were characterized as cognitively stable (CS), mild cognitive impairment-DS (MCI-DS), possible AD dementia, or definite AD dementia based on in-depth assessments of cognition, function, and health status. Results There were detectable WMH, enlarged PVS, infarcts, and microbleeds as early as the 5th decade of life. There was a monotonic increase in WMH volume, enlarged PVS, and presence of infarcts across diagnostic groups (CS < MCI-DS < possible AD dementia < definite AD dementia). Higher amyloid burden was associated with a higher likelihood of an infarct. Interpretation The findings highlight the prevalence of cerebrovascular disease in adults with DS and add to a growing body of evidence that implicates cerebrovascular disease as a core feature of AD and not simply a comorbidity. ANN NEUROL 2020;0364-5134;1531-8249;;DEC;2020;88;10.1002/ana.25905;J
"Zhang, L; Wang, ML; Liu, MX; Zhang, DQ";"Zhang, Li; Wang, Mingliang; Liu, Mingxia; Zhang, Daoqiang";A Survey on Deep Learning for Neuroimaging-Based Brain Disorder Analysis;FRONTIERS IN NEUROSCIENCE;Deep learning has recently been used for the analysis of neuroimages, such as structural magnetic resonance imaging (MRI), functional MRI, and positron emission tomography (PET), and it has achieved significant performance improvements over traditional machine learning in computer-aided diagnosis of brain disorders. This paper reviews the applications of deep learning methods for neuroimaging-based brain disorder analysis. We first provide a comprehensive overview of deep learning techniques and popular network architectures by introducing various types of deep neural networks and recent developments. We then review deep learning methods for computer-aided analysis of four typical brain disorders, including Alzheimer's disease, Parkinson's disease, Autism spectrum disorder, and Schizophrenia, where the first two diseases are neurodegenerative disorders and the last two are neurodevelopmental and psychiatric disorders, respectively. More importantly, we discuss the limitations of existing studies and present possible future directions.;;1662-453X;;OCT 8;2020;14;10.3389/fnins.2020.00779;J
"Henschel, L; Conjeti, S; Estrada, S; Diers, K; Fischl, B; Reuter, M";"Henschel, Leonie; Conjeti, Sailesh; Estrada, Santiago; Diers, Kersten; Fischl, Bruce; Reuter, Martin";FastSurfer - A fast and accurate deep learning based neuroimaging pipeline;NEUROIMAGE;Traditional neuroimage analysis pipelines involve computationally intensive, time-consuming optimization steps, and thus, do not scale well to large cohort studies with thousands ortens of thousands of individuals. In this work we propose a fast and accurate deep learning based neuroimaging pipeline for the automated processing of structural human brain MRI scans, replicating FreeSurfer's anatomical segmentation including surface reconstruction and cortical parcellation. To this end, we introduce an advanced deep learning architecture capable of whole-brain segmentation into 95 classes. The network architecture incorporates local and global competition via competitive dense blocks and competitive skip pathways, as well as multi-slice information aggregation that specifically tailor network performance towards accurate segmentation of both cortical and subcortical structures. Further, we perform fast cortical surface reconstruction and thickness analysis by introducing a spectral spherical embedding and by directly mapping the cortical labels from the image to the surface. This approach provides a full FreeSurfer alternative for volumetric analysis (in under 1 min) and surface-based thickness analysis (within only around 1 h runtime). For sustainability of this approach we perform extensive validation: we assert high segmentation accuracy on several unseen datasets, measure generalizability and demonstrate increased test-retest reliability, and high sensitivity to group differences in dementia.;1053-8119;1095-9572;;OCT 1;2020;219;10.1016/j.neuroimage.2020.117012;J
"Ben Miled, A; Yeferny, T; ben Rabeh, A";"Ben Miled, Achraf; Yeferny, Taoufik; ben Rabeh, Amira";MRI Images Analysis Method for Early Stage Alzheimer's Disease Detection;INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY;Alzheimer's disease is a neurogenerative disease that alters memories, cognitive functions leading to death. Early diagnosis of the disease, by detection of the preliminary stage, called Mild Cognitive Impairment (MCI), remains a challenging issue. In this respect, we introduce, in this paper, a powerful classification architecture that implements the pre-trained network AlexNet to automatically extract the most prominent features from Magnetic Resonance Imaging (MRI) images in order to detect the Alzheimer's disease at the MCI stage. The proposed method is evaluated using a big database from OASIS Database Brain. Various sections of the brain: frontal, sagittal and axial were used. The proposed method achieved 96.83% accuracy by using 420 subjects: 210 Normal and 210 MRI.;1738-7906;;;SEP 30;2020;20;10.22937/IJCSNS.2020.20.09.26;J
"Baydargil, HB; Park, J; Kang, DY; Kang, H; Cho, K";"Baydargil, Husnu Baris; Park, Jangsik; Kang, Do-Young; Kang, Hyun; Cho, Kook";A Parallel Deep Convolutional Neural Network for Alzheimer's disease classification on PET/CT brain images;KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS;In this paper, a parallel deep learning model using a convolutional neural network and a dilated convolutional neural network is proposed to classify Alzheimer's disease with high accuracy in PET/CT images. The developed model consists of two pipelines, a conventional CNN pipeline, and a dilated convolution pipeline. An input image is sent through both pipelines, and at the end of both pipelines, extracted features are concatenated and used for classifying Alzheimer's disease. Complimentary abilities of both networks provide better overall accuracy than single conventional CNNs in the dataset. Moreover, instead of performing binary classification, the proposed model performs three-class classification being Alzheimer's disease, mild cognitive impairment, and normal control. Using the data received from Dong-a University, the model performs classification detecting Alzheimer's disease with an accuracy of up to 95.51%.;1976-7277;;;SEP 30;2020;14;10.3837/tiis.2020.09.001;J
"Kim, JY; Oh, D; Sung, K; Choi, H; Paeng, JC; Cheon, GJ; Kang, KW; Lee, DY; Lee, DS";"Kim, Ji-Young; Oh, Dongkyu; Sung, Kiyoung; Choi, Hongyoon; Paeng, Jin Chul; Cheon, Gi Jeong; Kang, Keon Wook; Lee, Dong Young; Lee, Dong Soo";Visual interpretation of [F-18]Florbetaben PET supported by deep learning-based estimation of amyloid burden;EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING;Purpose Amyloid PET which has been widely used for noninvasive assessment of cortical amyloid burden is visually interpreted in the clinical setting. As a fast and easy-to-use visual interpretation support system, we analyze whether the deep learning-based end-to-end estimation of amyloid burden improves inter-reader agreement as well as the confidence of the visual reading. Methods A total of 121 clinical routines [F-18]Florbetaben PET images were collected for the randomized blind-reader study. The amyloid PET images were visually interpreted by three experts independently blind to other information. The readers qualitatively interpreted images without quantification at the first reading session. After more than 2-week interval, the readers additionally interpreted images with the quantification results provided by the deep learning system. The qualitative assessment was based on a 3-point BAPL score (1: no amyloid load, 2: minor amyloid load, and 3: significant amyloid load). The confidence score for each session was evaluated by a 3-point score (0: ambiguous, 1: probably, and 2: definite to decide). Results Inter-reader agreements for the visual reading based on a 3-point scale (BAPL score) calculated by Fleiss kappa coefficients were 0.46 and 0.76 for the visual reading without and with the deep learning system, respectively. For the two reading sessions, the confidence score of visual reading was improved at the visual reading session with the output (1.27 +/- 0.078 for visual reading-only session vs. 1.66 +/- 0.63 for a visual reading session with the deep learning system). Conclusion Our results highlight the impact of deep learning-based one-step amyloid burden estimation system on inter-reader agreement and confidence of reading when applied to clinical routine amyloid PET reading.;1619-7070;1619-7089;;APR;2021;48;10.1007/s00259-020-05044-x;J
