Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Guerrero-Ibañez, J., Contreras-Castillo, J., Zeadally, S.","24832847500;56129354500;57220080485;","Deep learning support for intelligent transportation systems",2021,"Transactions on Emerging Telecommunications Technologies","32","3", e4169,"","",,,"10.1002/ett.4169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097015420&doi=10.1002%2fett.4169&partnerID=40&md5=86f5443472bff75e7d8df1ca118e5dcb",Article,"Final","",Scopus,2-s2.0-85097015420
"Bokade, R., Navato, A., Ouyang, R., Jin, X., Chou, C.-A., Ostadabbas, S., Mueller, A.V.","57218826105;57218822403;57194166269;23974558900;35955527200;24483832100;24169198100;","A cross-disciplinary comparison of multimodal data fusion approaches and applications: Accelerating learning through trans-disciplinary information sharing",2021,"Expert Systems with Applications","165",, 113885,"","",,,"10.1016/j.eswa.2020.113885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090352328&doi=10.1016%2fj.eswa.2020.113885&partnerID=40&md5=ca0e8db2ef4c51482acd21a3f7dbf06d",Review,"Final","",Scopus,2-s2.0-85090352328
"Feng, Y., Xiao, W., Wu, T., Zhang, J., Xiang, J., Guo, H.","57217154279;57212482195;55626405100;56725832100;7201547061;26643573900;","An automatic identification method for the blink artifacts in the magnetoencephalography with machine learning",2021,"Applied Sciences (Switzerland)","11","5", 2415,"","",,,"10.3390/app11052415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102947558&doi=10.3390%2fapp11052415&partnerID=40&md5=a2eb09d46e89677443db134c6fda31f7",Article,"Final","",Scopus,2-s2.0-85102947558
"Balakrishnan, R., Valdés Hernández, M.D.C., Farrall, A.J.","57221641617;57189602736;6602900169;","Automatic segmentation of white matter hyperintensities from brain magnetic resonance images in the era of deep learning and big data – A systematic review",2021,"Computerized Medical Imaging and Graphics","88",, 101867,"","",,,"10.1016/j.compmedimag.2021.101867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099710372&doi=10.1016%2fj.compmedimag.2021.101867&partnerID=40&md5=7ad3720afd696e7f562a9a784a8635f4",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85099710372
"Agarwal, M., Saba, L., Gupta, S.K., Johri, A.M., Khanna, N.N., Mavrogeni, S., Laird, J.R., Pareek, G., Miner, M., Sfikakis, P.P., Protogerou, A., Sharma, A.M., Viswanathan, V., Kitas, G.D., Nicolaides, A., Suri, J.S.","57198019501;16234937700;57213337943;25225654300;57194207803;35596963600;57221662769;6602886094;9738369000;7005759885;57217092032;55605770155;55767770100;7006811407;35419962500;7005613223;","Wilson disease tissue classification and characterization using seven artificial intelligence models embedded with 3D optimization paradigm on a weak training brain magnetic resonance imaging datasets: a supercomputer application",2021,"Medical and Biological Engineering and Computing","59","3",,"511","533",,,"10.1007/s11517-021-02322-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100587485&doi=10.1007%2fs11517-021-02322-0&partnerID=40&md5=4c18e00fda3f671a9b16786ee2a0a561",Article,"Final","",Scopus,2-s2.0-85100587485
"Safi, M.S., Safi, S.M.M.","57221103599;57202834505;","Early detection of Alzheimer's disease from EEG signals using Hjorth parameters",2021,"Biomedical Signal Processing and Control","65",, 102338,"","",,1,"10.1016/j.bspc.2020.102338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098198908&doi=10.1016%2fj.bspc.2020.102338&partnerID=40&md5=566423b671346196143de4b63d812e75",Article,"Final","",Scopus,2-s2.0-85098198908
"Abuhmed, T., El-Sappagh, S., Alonso, J.M.","27067512200;55233800700;55618144400;","Robust hybrid deep learning models for Alzheimer's progression detection",2021,"Knowledge-Based Systems","213",, 106688,"","",,1,"10.1016/j.knosys.2020.106688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099654736&doi=10.1016%2fj.knosys.2020.106688&partnerID=40&md5=36cb65e0c966fffa759423cdd5a2c579",Article,"Final","",Scopus,2-s2.0-85099654736
"Castillo, D., Lakshminarayanan, V., Rodríguez-Álvarez, M.J.","26029726600;7004723358;6603907237;","Mr images, brain lesions, and deep learning",2021,"Applied Sciences (Switzerland)","11","4", 1675,"1","41",,,"10.3390/app11041675","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100916330&doi=10.3390%2fapp11041675&partnerID=40&md5=b0249f499f504f29889396f4699fa798",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85100916330
"Urooj, S., Singh, S.P., Malibari, A., Alrowais, F., Kalathil, S.","36163484800;56175904100;6506143515;56266498100;57222026807;","Early detection of Alzheimer’s disease using polar harmonic transforms and optimized wavelet neural network",2021,"Applied Sciences (Switzerland)","11","4", 1574,"1","14",,,"10.3390/app11041574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100964598&doi=10.3390%2fapp11041574&partnerID=40&md5=b80878615b495ba35a4786be90bf7041",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85100964598
"Gams, M., Kolenik, T.","35617835400;57200939373;","Relations between electronics, artificial intelligence and information society through information society rules",2021,"Electronics (Switzerland)","10","4", 514,"1","16",,1,"10.3390/electronics10040514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101088483&doi=10.3390%2felectronics10040514&partnerID=40&md5=28520ebfaea5daafacceef670d7e65ef",Review,"Final","All Open Access, Gold",Scopus,2-s2.0-85101088483
"Qin, W., Kojima, S., Yamazaki, Y., Morishita, S., Hotta, K., Inoue, T., Tsubaki, A.","57203757945;55634562000;57190221306;37072927000;36460929700;57191965943;12785376000;","Relationship between the difference in oxygenated hemoglobin concentration changes in the left and right prefrontal cortex and cognitive function during moderate-intensity aerobic exercise",2021,"Applied Sciences (Switzerland)","11","4", 1643,"1","16",,,"10.3390/app11041643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100925625&doi=10.3390%2fapp11041643&partnerID=40&md5=63fe79bf59a6fd05daec3dbbc4a0b209",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85100925625
"Wang, J., Zhu, H., Wang, S.-H., Zhang, Y.-D.","57219782511;57219777095;36544650700;35786830100;","A Review of Deep Learning on Medical Image Analysis",2021,"Mobile Networks and Applications","26","1",,"351","380",,1,"10.1007/s11036-020-01672-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095414599&doi=10.1007%2fs11036-020-01672-7&partnerID=40&md5=f79f1fafde0d6ae0cf787425a2d7d06c",Article,"Final","",Scopus,2-s2.0-85095414599
"Ullah, A., Rehman, S.U., Tu, S., Mehmood, R.M., Fawad, Ehatisham-Ul-haq, M.","57220711405;57203717555;36642846800;56419639200;57209287445;57195607147;","A hybrid deep CNN model for abnormal arrhythmia detection based on cardiac ECG signal",2021,"Sensors (Switzerland)","21","3", 951,"1","13",,,"10.3390/s21030951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100103555&doi=10.3390%2fs21030951&partnerID=40&md5=cb5af2bf09631de5d72c0255cd9792c4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85100103555
"Nazari, M., Shiri, I., Zaidi, H.","57216221754;57191829519;7004977873;","Radiomics-based machine learning model to predict risk of death within 5-years in clear cell renal cell carcinoma patients",2021,"Computers in Biology and Medicine","129",, 104135,"","",,,"10.1016/j.compbiomed.2020.104135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096832673&doi=10.1016%2fj.compbiomed.2020.104135&partnerID=40&md5=10fe40fde125f1d43dcddf3b98f9ed99",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85096832673
"Li, J., Bian, C., Luo, H., Chen, D., Cao, L., Liang, H.","57222159683;57210378105;57219438451;57194563478;57222158088;55496137800;","Multi-dimensional persistent feature analysis identifies connectivity patterns of resting-state brain networks in Alzheimer's disease",2021,"Journal of Neural Engineering","18","1", 016012,"","",,,"10.1088/1741-2552/abc7ef","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101685841&doi=10.1088%2f1741-2552%2fabc7ef&partnerID=40&md5=de4a94fa1f497d2b9daf6f1169ebd7e3",Article,"Final","",Scopus,2-s2.0-85101685841
"Saadat, M.N., Kabir, H., Shuaib, M., Nassr, R.M., Husen, M.N., Osman, H.","57193604367;57189031032;57222705692;54929102600;55641483700;36442845700;","Research Issues State of the Art Challenges in Event Detection",2021,"Proceedings of the 2021 15th International Conference on Ubiquitous Information Management and Communication, IMCOM 2021",,, 9377431,"","",,,"10.1109/IMCOM51814.2021.9377431","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103741748&doi=10.1109%2fIMCOM51814.2021.9377431&partnerID=40&md5=57d18fbeeacd4072e5f115ca61d18b24",Conference Paper,"Final","",Scopus,2-s2.0-85103741748
"Ieracitano, C., Mammone, N., Hussain, A., Morabito, F.C.","57192383001;55915193500;19734290900;7103166505;","A novel explainable machine learning approach for EEG-based brain-computer interface systems",2021,"Neural Computing and Applications",,,,"","",,,"10.1007/s00521-020-05624-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102240913&doi=10.1007%2fs00521-020-05624-w&partnerID=40&md5=814cfb70c9b64a81fa84e9c796caa114",Article,"Article in Press","",Scopus,2-s2.0-85102240913
"Asgari Taghanaki, S., Abhishek, K., Cohen, J.P., Cohen-Adad, J., Hamarneh, G.","57204632758;57212009862;55475172900;24777793300;6603568967;","Deep semantic segmentation of natural and medical images: a review",2021,"Artificial Intelligence Review","54","1",,"137","178",,10,"10.1007/s10462-020-09854-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086426579&doi=10.1007%2fs10462-020-09854-1&partnerID=40&md5=cbc6198261503a1ce7e3dcae7ec32ae8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85086426579
"Toğaçar, M., Cömert, Z., Ergen, B.","57205581917;36543652400;6508022484;","Enhancing of dataset using DeepDream, fuzzy color image enhancement and hypercolumn techniques to detection of the Alzheimer's disease stages by deep learning model",2021,"Neural Computing and Applications",,,,"","",,,"10.1007/s00521-021-05758-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101064034&doi=10.1007%2fs00521-021-05758-5&partnerID=40&md5=92518bf8fb570451ea3a1f7cb1742475",Article,"Article in Press","",Scopus,2-s2.0-85101064034
"Al-Saegh, A., Dawwd, S.A., Abdul-Jabbar, J.M.","57219307602;35775894900;6507674157;","Deep learning for motor imagery EEG-based classification: A review",2021,"Biomedical Signal Processing and Control","63",, 102172,"","",,3,"10.1016/j.bspc.2020.102172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092148803&doi=10.1016%2fj.bspc.2020.102172&partnerID=40&md5=47b040a01ad4fd164c1a2df282720a1c",Review,"Final","",Scopus,2-s2.0-85092148803
"Alshwaheen, T.I., Hau, Y.W., Ass'Ad, N., Abualsamen, M.M.","57221312275;26428050100;57221313669;57205311514;","A Novel and Reliable Framework of Patient Deterioration Prediction in Intensive Care Unit Based on Long Short-Term Memory-Recurrent Neural Network",2021,"IEEE Access","9",, 9306748,"3894","3918",,1,"10.1109/ACCESS.2020.3047186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098801643&doi=10.1109%2fACCESS.2020.3047186&partnerID=40&md5=8bc14fceda4cfcecbfd8aee791eff4c7",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85098801643
"Assam, M., Kanwal, H., Farooq, U., Shah, S.K., Mehmood, A., Choi, G.S.","57218377170;57218368066;57204391854;57189849554;57188669320;9734383700;","An Efficient Classification of MRI Brain Images",2021,"IEEE Access","9",, 9360738,"33313","33322",,,"10.1109/ACCESS.2021.3061487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101757812&doi=10.1109%2fACCESS.2021.3061487&partnerID=40&md5=66826c54c4950442ef2f70835ad0f005",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85101757812
"Mahmud, M., Kaiser, M.S., McGinnity, T.M., Hussain, A.","35173453700;56446362000;7003792410;19734290900;","Deep Learning in Mining Biological Data",2021,"Cognitive Computation","13","1",,"","",,8,"10.1007/s12559-020-09773-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097659677&doi=10.1007%2fs12559-020-09773-x&partnerID=40&md5=c809dd686f687664939490894fc3d887",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85097659677
"Khan, P., Kader, M.F., Islam, S.M.R., Rahman, A.B., Kamal, M.S., Toha, M.U., Kwak, K.-S.","57222184251;55744161600;57213340325;57198521789;57215270715;57222185423;57222180854;","Machine Learning and Deep Learning Approaches for Brain Disease Diagnosis: Principles and Recent Advances",2021,"IEEE Access","9",, 9363896,"37622","37655",,,"10.1109/ACCESS.2021.3062484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101861719&doi=10.1109%2fACCESS.2021.3062484&partnerID=40&md5=62ac4366bdbdbefd8768a65aacee2198",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85101861719
"Munir, K., Frezza, F., Rizzi, A.","57210919776;7006012591;7101771404;","Deep learning for brain tumor segmentation",2021,"Studies in Computational Intelligence","908",,,"189","201",,,"10.1007/978-981-15-6321-8_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090878367&doi=10.1007%2f978-981-15-6321-8_11&partnerID=40&md5=fca32ceed0a50dc34f3e9bfb20d87207",Book Chapter,"Final","",Scopus,2-s2.0-85090878367
"Gibson, M., Percival, B., Grootveld, M., Woodason, K., Leenders, J., Nwosu, K., Kamerlin, S.C.L., Wilson, P.B.","57207030714;57207031249;55189580000;57221256732;57216293362;57222651328;13610758000;56489293300;","Chapter 5: Applications of Computational Intelligence Techniques in Chemical and Biochemical Analysis",2021,"RSC Theoretical and Computational Chemistry Series","2021-January","20",,"155","201",,,"10.1039/9781788015882-00155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098624746&doi=10.1039%2f9781788015882-00155&partnerID=40&md5=d3eb216fab784bda1c62c6b74e099e69",Book Chapter,"Final","",Scopus,2-s2.0-85098624746
"Chen, X., Tao, X., Wang, F.L., Xie, H.","57031196900;22837029600;7501312845;57219619828;","Global research on artificial intelligence-enhanced human electroencephalogram analysis",2021,"Neural Computing and Applications",,,,"","",,,"10.1007/s00521-020-05588-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099104931&doi=10.1007%2fs00521-020-05588-x&partnerID=40&md5=b0e0d69b5f95cc828be585dfa6845096",Review,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85099104931
"Okagbue, H.I., Oguntunde, P.E., Obasi, E.C.M., Adamu, P.I., Opanuga, A.A.","56438006100;57209317518;57006569200;57201381373;56438026000;","Diagnosing malaria from some symptoms: a machine learning approach and public health implications",2021,"Health and Technology","11","1",,"23","37",,,"10.1007/s12553-020-00488-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093970107&doi=10.1007%2fs12553-020-00488-5&partnerID=40&md5=91de6b6fe0a099216df709cc8732f59a",Article,"Final","",Scopus,2-s2.0-85093970107
"Chicco, D., Tötsch, N., Jurman, G.","57194756598;56769954200;6602367398;","The matthews correlation coefficient (Mcc) is more reliable than balanced accuracy, bookmaker informedness, and markedness in two-class confusion matrix evaluation",2021,"BioData Mining","14",, 13,"1","22",,1,"10.1186/s13040-021-00244-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102146890&doi=10.1186%2fs13040-021-00244-z&partnerID=40&md5=95c57c3cc7325a2a739e119c960b495e",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85102146890
"Shi, Z., Chu, Y., Zhang, Y., Wang, Y., Wei, D.-Q.","57221420502;57211518916;57034292400;56811748100;7202909038;","Prediction of blood-brain barrier permeability of compounds by fusing resampling strategies and extreme gradient boosting",2021,"IEEE Access","9",, 9309292,"9557","9566",,,"10.1109/ACCESS.2020.3047852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099099174&doi=10.1109%2fACCESS.2020.3047852&partnerID=40&md5=3aea092dc1ba6c71f24b12717008b095",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85099099174
"Dogan, S., Tuncer, T.","25653093400;37062172100;","A novel statistical decimal pattern-based surface electromyogram signal classification method using tunable q-factor wavelet transform",2021,"Soft Computing","25","2",,"1085","1098",,,"10.1007/s00500-020-05205-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088801246&doi=10.1007%2fs00500-020-05205-y&partnerID=40&md5=8b38dda591576fa5c57b8f0d9d5292ac",Article,"Final","",Scopus,2-s2.0-85088801246
"Albahri, A.S., Alwan, J.K., Taha, Z.K., Ismail, S.F., Hamid, R.A., Zaidan, A.A., Albahri, O.S., Zaidan, B.B., Alamoodi, A.H., Alsalem, M.A.","57201009814;57195380658;57202301078;57200160246;57216614154;35070838500;57201013684;35070872100;57205435311;57200572842;","IoT-based telemedicine for disease prevention and health promotion: State-of-the-Art",2021,"Journal of Network and Computer Applications","173",, 102873,"","",,8,"10.1016/j.jnca.2020.102873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094315932&doi=10.1016%2fj.jnca.2020.102873&partnerID=40&md5=1c18c0292a9c97eea1d607b2f54c4cb4",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85094315932
"McGlynn, E., Nabaei, V., Ren, E., Galeote-Checa, G., Das, R., Curia, G., Heidari, H.","57221553147;35410155300;57222317837;57214795901;35218662500;6507462510;55880118300;","The Future of Neuroscience: Flexible and Wireless Implantable Neural Electronics",2021,"Advanced Science",,,,"","",,,"10.1002/advs.202002693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102283800&doi=10.1002%2fadvs.202002693&partnerID=40&md5=f98102df98229efbb478a8ec605dde47",Review,"Article in Press","All Open Access, Gold",Scopus,2-s2.0-85102283800
"Das, S., Tiwari, M., Mondal, D., Sahoo, B.R., Tiwari, D.K.","57221229256;57193403049;57221227345;41961637600;35191188700;","Growing tool-kit of photosensitizers for clinical and non-clinical applications",2020,"Journal of Materials Chemistry B","8","48",,"10897","10940",,,"10.1039/d0tb02085k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098573982&doi=10.1039%2fd0tb02085k&partnerID=40&md5=a964814fb29c99e21d5b2f3af79cf3a4",Review,"Final","",Scopus,2-s2.0-85098573982
"Yıldırım, M.S., Dandıl, E.","57205611805;55293427800;","Automatic detection of multiple sclerosis lesions using mask R-CNN on magnetic resonance scans",2020,"IET Image Processing","14","16",,"","",14,,"10.1049/iet-ipr.2020.1128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102735681&doi=10.1049%2fiet-ipr.2020.1128&partnerID=40&md5=984e4654480974c2de9cd9648d3a465b",Article,"Final","",Scopus,2-s2.0-85102735681
"Khachnaoui, H., Mabrouk, R., Khlifa, N.","57209027052;44861399900;35613785300;","Machine learning and deep learning for clinical data and PET/SPECT imaging in parkinson’s disease: A review",2020,"IET Image Processing","14","16",,"","",9,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102770101&partnerID=40&md5=d415fde9634ee16db024c6f8f1a36810",Review,"Final","",Scopus,2-s2.0-85102770101
"Yao, X., Cheong, H.-R.","57218228849;57221607386;","Hearing loss classification via stationary wavelet entropy and genetic algorithm",2020,"Proceedings - 2020 IEEE/ACM 13th International Conference on Utility and Cloud Computing, UCC 2020",,, 9302779,"316","321",,,"10.1109/UCC48980.2020.00050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099558008&doi=10.1109%2fUCC48980.2020.00050&partnerID=40&md5=ece96d66713d240ef39c3944a79bf509",Conference Paper,"Final","",Scopus,2-s2.0-85099558008
"Jalali, V., Kaur, D.","57219907945;57192424221;","A study of classification and feature extraction techniques for brain tumor detection",2020,"International Journal of Multimedia Information Retrieval","9","4",,"271","290",,,"10.1007/s13735-020-00199-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096015208&doi=10.1007%2fs13735-020-00199-7&partnerID=40&md5=f943dab67239951ce2a6b50071934882",Review,"Final","",Scopus,2-s2.0-85096015208
"Maia, M., Pimentel, J.S., Pereira, I.S., Gondim, J., Barreto, M.E., Ara, A.","57219687415;57214246646;57220050439;57218202261;55314441500;55210159800;","Convolutional support vector models: Prediction of coronavirus disease using chest x-rays",2020,"Information (Switzerland)","11","12", 548,"1","19",,1,"10.3390/info11120548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096635816&doi=10.3390%2finfo11120548&partnerID=40&md5=d743bad999fffc8bb7d83806f1c936fe",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85096635816
"Wang, Z., Wang, E., Zhu, Y.","23669866600;57216563034;55723790400;","Image segmentation evaluation: a survey of methods",2020,"Artificial Intelligence Review","53","8",,"5637","5674",,6,"10.1007/s10462-020-09830-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083895840&doi=10.1007%2fs10462-020-09830-9&partnerID=40&md5=4294c1fcee047fefcee1f7ba716e0aed",Article,"Final","",Scopus,2-s2.0-85083895840
"Minh Dang, L., Min, K., Wang, H., Jalil Piran, M., Hee Lee, C., Moon, H.","57217175339;57203764466;57212682280;56565456500;57218290361;23397814300;","Sensor-based and vision-based human activity recognition: A comprehensive survey",2020,"Pattern Recognition","108",, 107561,"","",,15,"10.1016/j.patcog.2020.107561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088636839&doi=10.1016%2fj.patcog.2020.107561&partnerID=40&md5=ac494dd006c1addcceb4376413c6356a",Article,"Final","",Scopus,2-s2.0-85088636839
"Rashid, M., Singh, H., Goyal, V.","57191990629;57213857806;24829473000;","The use of machine learning and deep learning algorithms in functional magnetic resonance imaging—A systematic review",2020,"Expert Systems","37","6", e12644,"","",,1,"10.1111/exsy.12644","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092555310&doi=10.1111%2fexsy.12644&partnerID=40&md5=922109b8cb2aa3a8cf0e9d12d32318b9",Review,"Final","",Scopus,2-s2.0-85092555310
"Di Nicola, V.","55621167000;","Degenerative osteoarthritis a reversible chronic disease",2020,"Regenerative Therapy","15",,,"149","160",,,"10.1016/j.reth.2020.07.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089422761&doi=10.1016%2fj.reth.2020.07.007&partnerID=40&md5=c125f2ec991ba214cfd7412943e0b0c6",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85089422761
