author;year;title;conference;city;doi
E. Dixon and A. Lazar;2020;Approach Matters: Linking Practitioner Approaches to Technology Design for People with Dementia;Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems;Honolulu, HI, USA;10.1145/3313831.3376432
Y. Feng, S. Yu, D. v. d. Mortel, E. Barakova, J. Hu and M. Rauterberg;2019;LiveNature: Ambient Display and Social Robot-Facilitated Multi-Sensory Engagement for People with Dementia;Proceedings of the 2019 on Designing Interactive Systems Conference;San Diego, CA, USA;10.1145/3322276.3322331
T. Galais, A. Delmas and R. Alonso;2019;Natural interaction in virtual reality: impact on the cognitive load;Proceedings of the 31st Conference on l'Interaction Homme-Machine: Adjunct;Grenoble, France;10.1145/3366551.3370342
G. Goncu-Berk, T. Halsted, R. Zhang and T. Pan;2020;Therapeutic Touch: Reactive Clothing for Anxiety;Proceedings of the 14th EAI International Conference on Pervasive Computing Technologies for Healthcare;Atlanta, GA, USA;10.1145/3421937.3421962
S. Grassini and K. Laumann;2021;Immersive visual technologies and human health;European Conference on Cognitive Ergonomics 2021;Siena, Italy;10.1145/3452853.3452856
H. M. S. Hossain, S. R. Ramamurthy, M. A. A. H. Khan and N. Roy;2018;An Active Sleep Monitoring Framework Using Wearables;ACM Trans. Interact. Intell. Syst.;;10.1145/3185516
M. Houben, R. Brankaert, S. Bakker, G. Kenning, I. Bongers and B. Eggen;2020;The Role of Everyday Sounds in Advanced Dementia Care;Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems;Honolulu, HI, USA;10.1145/3313831.3376577
X. Hu, A. M. Abdulghani, M. Imran and Q. H. Abbasi;2020;Internet of Things (IoT) for Healthcare Application: Wearable Sleep Body Position Monitoring System Using IoT Platform;Proceedings of the 2020 International Conference on Computing, Networks and Internet of Things;Sanya, China;10.1145/3398329.3398340
Z. Hu, E. Sezgin, S. Lin, P. Zhang, H. Y. Noh and S. Pan;2019;Device-free Sleep Stage Recognition through Bed Frame Vibration Sensing;Proceedings of the 1st ACM International Workshop on Device-Free Human Sensing;New York, NY, USA;10.1145/3360773.3360883
J. Intarasirisawat, C. S. Ang, C. Efstratiou, L. Dickens, N. Sriburapar, D. Sharma and B. Asawathaweeboon;2020;An Automated Mobile Game-based Screening Tool for Patients with Alcohol Dependence;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;;10.1145/3411837
N. Jahanshad, J. Faskowitz, G. Roshchupkin, D. P. Hibar, B. A. Gutman, N. J. Tustison, H. H. H. Adams, W. J. Niessen, M. W. Vernooij, M. A. Ikram, M. P. Zwiers, A. A. Vasquez, B. Franke, J. L. Kroll, B. Mwangi, J. C. Soares, A. Ing, S. Desrivieres, G. Schumann, N. K. Hansell, G. I. d. Zubicaray, K. L. McMahon, N. G. Martin, M. J. Wright and P. M. Thompson;2019;Multi-Site Meta-Analysis of Morphometry;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2019.2914905
R. Jones, L. Colusso, K. Reinecke and G. Hsieh;2019;r/science: Challenges and Opportunities in Online Science Communication;Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems;Glasgow, Scotland Uk;10.1145/3290605.3300383
C. Jost, B. L. Pévédic and G. Uzan;2019;MulseBox: new multisensory interaction device;Proceedings of the 31st Conference on l'Interaction Homme-Machine;Grenoble, France;10.1145/3366550.3372251
R. Karkar, R. Kocielnik, X. Zhang, J. Zia, G. N. Ioannou, S. A. Munson and J. Fogarty;2018;Beacon: Designing a Portable Device for Self-Administering a Measure of Critical Flicker Frequency;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;;10.1145/3264927
O. Korn, N. Akalin and R. Gouveia;2021;Understanding Cultural Preferences for Social Robots: A Study in German and Arab Communities;J. Hum.-Robot Interact.;;10.1145/3439717
O. Korn, G. Bieber and C. Fron;2018;Perspectives on Social Robots: From the Historic Background to an Experts' View on Future Developments;Proceedings of the 11th PErvasive Technologies Related to Assistive Environments Conference;Corfu, Greece;10.1145/3197768.3197774
X. Li, H. Shi and Z. Wen;2020;The Application of Phase Synchronization in Continuous Neural Signals;Proceedings of the 2020 12th International Conference on Machine Learning and Computing;Shenzhen, China;10.1145/3383972.3383998
J. Liu, Y. Cheng, X. Wang, X. Cui, Y. Kong and J. Du;2018;Low Rank Subspace Clustering via Discrete Constraint and Hypergraph Regularization for Tumor Molecular Pattern Discovery;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2018.2834371
A. Lizarraga, J. Sprinkle and R. Lysecky;2020;Automated Model-Based Optimization of Data-Adaptable Embedded Systems;ACM Trans. Embed. Comput. Syst.;;10.1145/3372142
N. Manwani;2019;PRIL: Perceptron Ranking Using Interval Labels;Proceedings of the ACM India Joint International Conference on Data Science and Management of Data;Kolkata, India;10.1145/3297001.3297011
A. Min, W. Miller, L. Rocha, K. Börner, R. B. Correia and P. C. Shih;2021;Just In Time: Challenges and Opportunities of First Aid Care Information Sharing for Supporting Epileptic Seizure Response;Proc. ACM Hum.-Comput. Interact.;;10.1145/3449187
S. Pratte, A. Tang and L. Oehlberg;2021;Evoking Empathy: A Framework for Describing Empathy Tools;Proceedings of the Fifteenth International Conference on Tangible, Embedded, and Embodied Interaction;Salzburg, Austria;10.1145/3430524.3440644
J. Pusateri, J. Leng, Q. Wang, X. Chen and J. Hammer;2020;Designing Games for Healthy Sleep;Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems;Honolulu, HI, USA;10.1145/3313831.3376413
Y. Ranjan, M. Kerz, Z. Rashid, S. Böttcher, R. J. B. Dobson and A. A. Folarin;2018;RADAR-base: A Novel Open Source m-Health Platform;Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers;Singapore, Singapore;10.1145/3267305.3267579
M. Schaekermann, G. Beaton, M. Habib, A. Lim, K. Larson and E. Law;2019;Understanding Expert Disagreement in Medical Data Analysis through Structured Adjudication;Proc. ACM Hum.-Comput. Interact.;;10.1145/3359178
L. Tabbaa, C. S. Ang, V. Rose, P. Siriaraya, I. Stewart, K. G. Jenkins and M. Matsangidou;2019;Bring the Outside In: Providing Accessible Experiences Through VR for People with Dementia in Locked Psychiatric Hospitals;Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems;Glasgow, Scotland Uk;10.1145/3290605.3300466
K. Tsiakas, V. Karkaletsis and F. Makedon;2018;A Taxonomy in Robot-Assisted Training: Current Trends, Needs and Challenges;Proceedings of the 11th PErvasive Technologies Related to Assistive Environments Conference;Corfu, Greece;10.1145/3197768.3197787
R. Yamazaki, H. Kase, S. Nishio and H. Ishiguro;2019;A Conversational Robotic Approach to Dementia Symptoms: Measuring Its Effect on Older Adults;Proceedings of the 7th International Conference on Human-Agent Interaction;Kyoto, Japan;10.1145/3349537.3351888
H. Zhu, Z. Moffa, X. Wang, S. Abdullah, J. Julaiti and J. Carroll;2018;Understanding Challenges in Prehabilitation for Patients with Multiple Chronic Conditions;Proceedings of the 12th EAI International Conference on Pervasive Computing Technologies for Healthcare;New York, NY, USA;10.1145/3240925.3240959
K. Aggarwal and U. Bondhugula;2020;Optimizing the Linear Fascicle Evaluation Algorithm for Multi-core and Many-core Systems;ACM Trans. Parallel Comput.;;10.1145/3418075
R. A. Ananto and J. E. Young;2021;We Can Do Better! An Initial Survey Highlighting an Opportunity for More HRI Work on Loneliness;Companion of the 2021 ACM/IEEE International Conference on Human-Robot Interaction;Boulder, CO, USA;10.1145/3434074.3447213
J. Andres, m. c. schraefel, N. Semertzidis, B. Dwivedi, Y. C. Kulwe, J. v. Kaenel and F. F. Mueller;2020;Introducing Peripheral Awareness as a Neurological State for Human-computer Integration;Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems;Honolulu, HI, USA;10.1145/3313831.3376128
E. Arias-Méndez, D. Porras-Alfaro and K. García-Baltodano;2019;Amón_RA: augmented reality to value historic urban landscape;Proceedings of the IX Latin American Conference on Human Computer Interaction;Panama City, Panama;10.1145/3358961.3358977
E. Ayday, M. Naveed and H. Tang;2019;GenoPri'17: International Workshop on Genome Privacy and Security;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2019.2891029
M. Bajones, D. Fischinger, A. Weiss, P. D. L. Puente, D. Wolf, M. Vincze, T. Körtner, M. Weninger, K. Papoutsakis, D. Michel, A. Qammaz, P. Panteleris, M. Foukarakis, I. Adami, D. Ioannidi, A. Leonidis, M. Antona, A. Argyros, P. Mayer, P. Panek, H. Eftring and S. Frennert;2019;Results of Field Trials with a Mobile Service Robot for Older Adults in 16 Private Households;J. Hum.-Robot Interact.;;10.1145/3368554
S. L. Bernal, A. H. Celdrán, G. M. Pérez, M. T. Barros and S. Balasubramaniam;2021;Security in Brain-Computer Interfaces: State-of-the-Art, Opportunities, and Future Challenges;ACM Comput. Surv.;;10.1145/3427376
J. Blattgerste, P. Renner and T. Pfeiffer;2019;Augmented reality action assistance and learning for cognitively impaired people: a systematic literature review;Proceedings of the 12th ACM International Conference on PErvasive Technologies Related to Assistive Environments;Rhodes, Greece;10.1145/3316782.3316789
I. Brugere, B. Gallagher and T. Y. Berger-Wolf;2018;Network Structure Inference, A Survey: Motivations, Methods, and Applications;ACM Comput. Surv.;;10.1145/3154524
K. Bye, D. Hosfelt, S. Chase, M. Miesnieks and T. Beck;2019;The ethical and privacy implications of mixed reality;ACM SIGGRAPH 2019 Panels;Los Angeles, California;10.1145/3306212.3328138
M. A. F. Calderón, L. O. Jiménez and M. J. S. Ledesma;2018;Transcranial Magnetic Stimulation versus Transcranial Direct Current Stimulation as neuromodulatory techniques in stroke rehabilitation;Proceedings of the Sixth International Conference on Technological Ecosystems for Enhancing Multiculturality;Salamanca, Spain;10.1145/3284179.3284251
N.-K. Chlis, E. S. Bei and M. Zervakis;2018;Introducing a Stable Bootstrap Validation Framework for Reliable Genomic Signature Extraction;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2016.2633267
D. D. Dave and B. K. Jha;2019;Calcium Signaling and Finite Element Technique;Proceedings of the 2019 9th International Conference on Bioscience, Biochemistry and Bioinformatics;Singapore, Singapore;10.1145/3314367.3314377
C. Delrieux, V. Ballarín, C. G. Bauza and M. A. López;2020;"Imaging sciences R&amp;D laboratories in Argentina";Commun. ACM;;10.1145/3416977
S. Eldawlatly, M. Abouelhoda, O. S. Al-Kadi, T. Gojobori, B. Jankovic, M. Khalil, A. H. Khandoker and A. Morsy;2021;Biomedical computing in the Arab world: unlocking the potential of a growing research community;Commun. ACM;;10.1145/3447746
T. Eslami and F. Saeed;2018;Similarity based classification of ADHD using singular value decomposition;Proceedings of the 15th ACM International Conference on Computing Frontiers;Ischia, Italy;10.1145/3203217.3203239
C. Esposito, O. Tamburis and C. Choi;2020;Multimodal Neuroimaging Game Theoretic Data Fusion in Adversarial Conditions;Proceedings of the International Conference on Research in Adaptive and Convergent Systems;Gwangju, Republic of Korea;10.1145/3400286.3418269
Y. Feng, S. Yu, D. v. d. Mortel, E. Barakova, M. Rauterberg and J. Hu;2018;Closer to Nature: Multi-sensory Engagement in Interactive Nature Experience for Seniors with Dementia;Proceedings of the Sixth International Symposium of Chinese CHI;Montreal, QC, Canada;10.1145/3202667.3202674
N. Garay-Vitoria, A. Arruti, J. I. Martín, J. Muguerza, A. Garzo, E. Hernández, A. Álvarez, J. Arambarri, P. M. Paz-Alonso, M. Carreiras and A. Ramos-Murguialday;2019;Neuromodulation system in closed loop for enhancing the sleep and the memory consolidation;Proceedings of the XX International Conference on Human Computer Interaction;Donostia, Gipuzkoa, Spain;10.1145/3335595.3335646
M. Gaziel-Yablowitz and D. G. Schwartz;2018;A Review and Assessment Framework for Mobile-Based Emergency Intervention Apps;ACM Comput. Surv.;;10.1145/3145846
Y. Gu, M. Bahrani, A. Billot, S. Lai, E. J. Braun, M. Varkanitsa, J. Bighetto, B. Rapp, T. B. Parrish, D. Caplan, C. K. Thompson, S. Kiran and M. Betke;2020;A machine learning approach for predicting post-stroke aphasia recovery: a pilot study;Proceedings of the 13th ACM International Conference on PErvasive Technologies Related to Assistive Environments;Corfu, Greece;10.1145/3389189.3389204
M. Gwak, E. Woo and M. Sarrafzadeh;2019;The role of PPG in identification of mild cognitive impairment;Proceedings of the 12th ACM International Conference on PErvasive Technologies Related to Assistive Environments;Rhodes, Greece;10.1145/3316782.3316798
X. Hao, X. Yao, S. L. Risacher, A. J. Saykin, J. Yu, H. Wang, L. Tan, L. Shen and D. Zhang;2019;Identifying Candidate Genetic Associations with MRI-Derived AD-Related ROI via Tree-Guided Sparse Learning;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2018.2833487
H. Hassanieh;2018;The Sparse Fourier Transform: Theory and Practice;;;
C.-H. Hong and B. Varghese;2019;Resource Management in Fog/Edge Computing: A Survey on Architectures, Infrastructure, and Algorithms;ACM Comput. Surv.;;10.1145/3326066
M. Humbert, B. Trubert and K. Huguenin;2019;A Survey on Interdependent Privacy;ACM Comput. Surv.;;10.1145/3360498
A. S. Hwang, P. Jackson, A. Sixsmith, L. Nygård, A. Astell, K. N. Truong and A. Mihailidis;2020;Exploring How Persons with Dementia and Care Partners Collaboratively Appropriate Information and Communication Technologies;ACM Trans. Comput.-Hum. Interact.;;10.1145/3389377
G. Krishna, L. R. Mary and K. Jerome;2019;Nanobots for Biomedical Applications;Proceedings of the 2019 9th International Conference on Biomedical Engineering and Technology;Tokyo, Japan;10.1145/3326172.3326189
J. Larus, C. Hankin, S. G. Carson, M. Christen, S. Crafa, O. Grau, C. Kirchner, B. Knowles, A. McGettrick, D. A. Tamburri and H. Werthner;2018;When Computers Decide: European Recommendations on Machine-Learned Automated Decision Making;;;
T. Li and X. Zhou;2018;Battery-Free Eye Tracker on Glasses;Proceedings of the 24th Annual International Conference on Mobile Computing and Networking;New Delhi, India;10.1145/3241539.3241578
Z. Liang and B. Ploderer;2020;How Does Fitbit Measure Brainwaves: A Qualitative Study into the Credibility of Sleep-tracking Technologies;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.;;10.1145/3380994
A. Menking and D. W. McDonald;2020;Image Wishlist: Context and Images in Commons-Based Peer Production Communities;Proc. ACM Hum.-Comput. Interact.;;10.1145/3415249
L. Oestreicher;2019;Future assistive devices: What's at stake for you or me?;XRDS;;10.1145/3351484
C. Platias and G. Petasis;2020;A Comparison of Machine Learning Methods for Data Imputation;11th Hellenic Conference on Artificial Intelligence;Athens, Greece;10.1145/3411408.3411465
A. Pradhan, K. Mehta and L. Findlater;2018;Accessibility Came by Accident: Use of Voice-Controlled Intelligent Personal Assistants by People with Disabilities;Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems;Montreal QC, Canada;10.1145/3173574.3174033
P. Roberto, F. Emanuele, Z. Primo, M. Adriano, L. Jelena and P. Marina;2019;Design, Large-Scale Usage Testing, and Important Metrics for Augmented Reality Gaming Applications;ACM Trans. Multimedia Comput. Commun. Appl.;;10.1145/3311748
C. Sas;2018;Exploring Self-Defining Memories in Old Age and their Digital Cues;Proceedings of the 2018 Designing Interactive Systems Conference;Hong Kong, China;10.1145/3196709.3196767
B. M. Sguerra and P. Jouvelot;2019;An Unscented Hound for Working Memory and the Cognitive Adaptation of User Interfaces;Proceedings of the 27th ACM Conference on User Modeling, Adaptation and Personalization;Larnaca, Cyprus;10.1145/3320435.3320443
D. Shibata, S. Wakamiya, K. Ito, M. Miyabe, A. Kinoshita and E. Aramaki;2018;VocabChecker: Measuring Language Abilities for Detecting Early Stage Dementia;Proceedings of the 23rd International Conference on Intelligent User Interfaces Companion;Tokyo, Japan;10.1145/3180308.3180332
C. E. Smith, Z. Levonian, H. Ma, R. Giaquinto, G. Lein-Mcdonough, Z. Li, S. O’conner-Von and S. Yarosh;2020;I Cannot Do All of This Alone: Exploring Instrumental and Prayer Support in Online Health Communities;ACM Trans. Comput.-Hum. Interact.;;10.1145/3402855
R. C. S. N. P. Souza, D. M. Oliveira, D. E. F. d. Brito, R. M. Assunção and W. M. Jr.;2019;Space-Time Drift Point Detection in Mobility Patterns;ACM Trans. Spatial Algorithms Syst.;;10.1145/3360721
S. Srivastava and P. T. V.;2020;Tradeoffs between Classical Conditioning, Learning by Imitation and Learning by Doing based on Lecture Architecture;Proceedings of the 2020 8th International Conference on Information and Education Technology;Okayama, Japan;10.1145/3395245.3396426
L. Steinert, F. Putze, D. Küster and T. Schultz;2020;Towards Engagement Recognition of People with Dementia in Care Settings;Proceedings of the 2020 International Conference on Multimodal Interaction;Virtual Event, Netherlands;10.1145/3382507.3418856
F. Vona, E. Torelli, E. Beccaluva and F. Garzotto;2020;Exploring the Potential of Speech-based Virtual Assistants in Mixed Reality Applications for People with Cognitive Disabilities;Proceedings of the International Conference on Advanced Visual Interfaces;Salerno, Italy;10.1145/3399715.3399845
A. Vourvopoulos, E. Niforatos, S. B. i. Badia and F. Liarokapis;2021;Brain–Computer Interfacing with Interactive Systems—Case Study 2;Intelligent Computing for Interactive System Design: Statistics, Digital Signal Processing, and Machine Learning in Practice;;10.1145/3447404.3447418
Q. Wang, L. Zhan, P. Thompson and J. Zhou;2020;Multimodal Learning with Incomplete Modalities by Knowledge Distillation;"Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining";Virtual Event, CA, USA;10.1145/3394486.3403234
O. Wolfson;2018;Understanding the human brain via its spatio-temporal properties (vision paper);Proceedings of the 26th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems;Seattle, Washington;10.1145/3274895.3274931
Z. Worku, T. Bipat, D. W. McDonald and M. Zachry;2020;Exploring Systematic Bias through Article Deletions on Wikipedia from a Behavioral Perspective;Proceedings of the 16th International Symposium on Open Collaboration;Virtual conference, Spain;10.1145/3412569.3412573
L. Zhang, M. Wang, N. W. Sterling, E.-Y. Lee, P. J. Eslinger, D. Wagner, G. Du, M. M. Lewis, Y. Truong, F. D. Bowman and X. Huang;2018;Cortical Thinning and Cognitive Impairment in Parkinson's Disease without Dementia;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2015.2465951
Y. Zhu;2020;A Review on the Mechanisms of Mitochondrial Dynamics and the Relationship with Neurodegeneration;Proceedings of the 2020 International Symposium on Artificial Intelligence in Medical Sciences;Beijing, China;10.1145/3429889.3429941
;2019;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;;
;2019;Introduction: toward the design, construction, and deployment of multimodal-multisensor interfaces;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233797
;2019;Index;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233814
;2019;Preface;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233796
;2021;Intelligent Computing for Interactive System Design: Statistics, Digital Signal Processing, and Machine Learning in Practice;;;
J. Allen, E. André, P. R. Cohen, D. Hakkani-Tür, R. Kaplan, O. Lemon and D. Traum;2019;Challenge discussion: advancing multimodal dialogue;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233802
E. Alpaydin;2018;Classifying multimodal data;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107994
F. Amato, S. Bianchi, S. Comai, P. Crovari, M. G. G. Pasquarelli, A. Imtiaz, A. Masciadri, M. Toldo and E. Yuyar;2018;CLONE: a Promising System for the Remote Monitoring of Alzheimer's Patients: An Experimentation with a Wearable Device in a Village for Alzheimer's Care;Proceedings of the 4th EAI International Conference on Smart Objects and Technologies for Social Good;Bologna, Italy;10.1145/3284869.3284906
A. Bablani, D. R. Edla, D. Tripathi and R. Cheruku;2019;Survey on Brain-Computer Interface: An Emerging Computational Intelligence Paradigm;ACM Comput. Surv.;;10.1145/3297713
D. Bohus and E. Horvitz;2019;Situated interaction;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233800
M. Burzo, M. Abouelenien, V. Perez-Rosas and R. Mihalcea;2018;Multimodal deception detection;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108005
A. Cafaro, C. Pelachaud and S. C. Marsella;2019;Nonverbal behavior in multimodal performances;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233803
H.-S. Choi, S. Kim, J. E. Oh, J. E. Yoon, J. A. Park, C.-H. Yun and S. Yoon;2018;XGBoost-Based Instantaneous Drowsiness Detection Framework Using Multitaper Spectral Information of Electroencephalography;Proceedings of the 2018 ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics;Washington, DC, USA;10.1145/3233547.3233567
P. R. Cohen and R. Tumuluri;2019;Commercialization of multimodal systems;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233812
J. F. Cohn, N. Cummins, J. Epps, R. Goecke, J. Joshi and S. Scherer;2018;Multimodal assessment of depression from behavioral signals;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108004
E. Czech, M. Shibasaki and K. Tsuchiya;2019;Haptic Remembrance Book Series;Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems;Glasgow, Scotland Uk;10.1145/3290607.3309685
S. K. D'Mello, N. Bosch and H. Chen;2018;Multimodal-multisensor affect detection;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3107998
M. Feld, R. Ne_elrath and T. Schwartz;2019;Software platforms and toolkits for building multimodal systems and applications;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233801
G. Friedland and M. C. Tschantz;2019;Privacy concerns of multimodal sensor systems;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233813
C.-Y. Gwo;2020;Automatic Matching of White Matter Hyperintensity Lesions in Longitudinal Brain Magnetic Resonance Imaging;Proceedings of the 2020 4th International Conference on Digital Signal Processing;Chengdu, China;10.1145/3408127.3408129
A. Heloir, F. Nunnari and M. Bachynskyi;2019;Ergonomics for the design of multimodal interfaces;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233804
R. Hornung, N. Chen and P. v. d. Smagt;2019;Early integration for movement modeling in latent spaces;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233805
A. Jha and B. K. Jha;2019;Computational Modelling of Calcium Buffering in a Star Shaped Astrocyte;Proceedings of the 2019 9th International Conference on Bioscience, Biochemistry and Bioinformatics;Singapore, Singapore;10.1145/3314367.3314379
M. Johnston;2019;Multimodal integration for interactive conversational systems;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233798
H. Joshi and B. K. Jha;2019;A Fractional Mathematical Model to Study the Effect of Buffer on Calcium Distribution in Parkinson's Disease;Proceedings of the 2019 9th International Conference on Bioscience, Biochemistry and Bioinformatics;Singapore, Singapore;10.1145/3314367.3314378
A. Khan and M. Usman;2018;Early Diagnosis of Alzheimer's Disease Using Informative Features of Clinical Data;Proceedings of the International Conference on Machine Vision and Applications;Singapore, Singapore;10.1145/3220511.3220515
E. A. Kirchner, S. H. Fairclough and F. Kirchner;2019;Embedded multimodal interfaces in robotics: applications, future trends, and societal implications;The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions;;10.1145/3233795.3233810
J. Liu, J. Wang, Z. Tang, B. Hu, F.-X. Wu and Y. Pan;2018;Improving Alzheimer's Disease Classification by Combining Multiple Measures;IEEE/ACM Trans. Comput. Biol. Bioinformatics;;10.1109/TCBB.2017.2731849
X. Liu;2021;Review of the Pathology, Diagnosis and Treatment for Alzheimer's Disease;Proceedings of the 2021 International Conference on Bioinformatics and Intelligent Computing;Harbin, China;10.1145/3448748.3448767
X. Liu, P. Cao, A. R. Gonçalves, D. Zhao and A. Banerjee;2018;Modeling Alzheimer’s Disease Progression with Fused Laplacian Sparse Group Lasso;ACM Trans. Knowl. Discov. Data;;10.1145/3230668
M. Muszynski, T. Kostoulas, P. Lombardo, T. Pun and G. Chanel;2018;Aesthetic Highlight Detection in Movies Based on Synchronization of Spectators’ Reactions;ACM Trans. Multimedia Comput. Commun. Appl.;;10.1145/3175497
S. Oviatt, J. Grafsgaard, L. Chen and X. Ochoa;2018;Multimodal learning analytics: assessing learners' mental state during the process of learning;The Handbook of Multimodal-Multisensor Interfaces: Signal Processing, Architectures, and Detection of Emotion and Cognition - Volume 2;;10.1145/3107990.3108003
