Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Multimodal neuroimaging computing: the workflows, methods, and platforms","Brain Informatics","","2","3","10.1007/s40708-015-0020-4","Sidong LiuWeidong CaiSiqi LiuFan ZhangMichael FulhamDagan FengSonia PujolRon Kikinis","2015","http://link.springer.com/article/10.1007/s40708-015-0020-4","Article"
"Classification of Cocaine Dependents from fMRI Data Using Cluster-Based Stratification and Deep Learning","Computational Science and Its Applications – ICCSA 2017","","","","10.1007/978-3-319-62392-4_22","Jeferson S. SantosRicardo M. SaviiJaime S. IdeChiang-Shan R. LiMarcos G. QuilesMárcio P. Basgalupp","2017","http://link.springer.com/chapter/10.1007/978-3-319-62392-4_22","Chapter"
"Segmentation of Craniomaxillofacial Bony Structures from MRI with a 3D Deep-Learning Based Cascade Framework","Machine Learning in Medical Imaging","","","","10.1007/978-3-319-67389-9_31","Dong NieLi WangRoger TrulloJianfu LiPeng YuanJames XiaDinggang Shen","2017","http://link.springer.com/chapter/10.1007/978-3-319-67389-9_31","Chapter"
"Comparison of Deep Learning and Support Vector Machine Learning for Subgroups of Multiple Sclerosis","Computational Science and Its Applications – ICCSA 2017","","","","10.1007/978-3-319-62395-5_11","Yeliz KaracaCarlo CattaniMajaz Moonis","2017","http://link.springer.com/chapter/10.1007/978-3-319-62395-5_11","Chapter"
"Convolutional Neural Networks for the Identification of Regions of Interest in PET Scans: A Study of Representation Learning for Diagnosing Alzheimer’s Disease","Artificial Intelligence in Medicine","","","","10.1007/978-3-319-59758-4_36","Andreas KarwathMarkus HubrichStefan Kramer","2017","http://link.springer.com/chapter/10.1007/978-3-319-59758-4_36","Chapter"
"Classification of Alzheimer’s Disease by Cascaded Convolutional Neural Networks Using PET Images","Machine Learning in Medical Imaging","","","","10.1007/978-3-319-67389-9_13","Danni ChengManhua Liu","2017","http://link.springer.com/chapter/10.1007/978-3-319-67389-9_13","Chapter"
"Multimodal neuroimaging computing: a review of the applications in neuropsychiatric disorders","Brain Informatics","","2","3","10.1007/s40708-015-0019-x","Sidong LiuWeidong CaiSiqi LiuFan ZhangMichael FulhamDagan FengSonia PujolRon Kikinis","2015","http://link.springer.com/article/10.1007/s40708-015-0019-x","Article"
"Combination of EEG Data Time and Frequency Representations in Deep Networks for Sleep Stage Classification","Intelligent Computing Theories and Application","","","","10.1007/978-3-319-63312-1_20","Martí ManzanoAlberto GuillénIgnacio RojasLuis Javier Herrera","2017","http://link.springer.com/chapter/10.1007/978-3-319-63312-1_20","Chapter"
"Manifold Learning of Brain MRIs by Deep Learning","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2013","","","","10.1007/978-3-642-40763-5_78","Tom BroschRoger Tam","2013","http://link.springer.com/chapter/10.1007/978-3-642-40763-5_78","Chapter"
"Patch-Based DTI Grading: Application to Alzheimer’s Disease Classification","Patch-Based Techniques in Medical Imaging","","","","10.1007/978-3-319-47118-1_10","Kilian HettVinh-Thong TaRémi GiraudMary MondinoJosé V. ManjónPierrick Coupé","2016","http://link.springer.com/chapter/10.1007/978-3-319-47118-1_10","Chapter"
"Deep Learning of Brain Lesion Patterns for Predicting Future Disease Activity in Patients with Early Symptoms of Multiple Sclerosis","Deep Learning and Data Labeling for Medical Applications","","","","10.1007/978-3-319-46976-8_10","Youngjin YooLisa W. TangTom BroschDavid K. B. LiLuanne MetzAnthony TraboulseeRoger Tam","2016","http://link.springer.com/chapter/10.1007/978-3-319-46976-8_10","Chapter"
"Multi-Phase Feature Representation Learning for Neurodegenerative Disease Diagnosis","Artificial Life and Computational Intelligence","","","","10.1007/978-3-319-14803-8_27","Siqi LiuSidong LiuWeidong CaiSonia PujolRon KikinisDavid Dagan Feng","2015","http://link.springer.com/chapter/10.1007/978-3-319-14803-8_27","Chapter"
"Medical Image Retrieval Using Multi-graph Learning for MCI Diagnostic Assistance","Medical Image Computing and Computer-Assisted Intervention -- MICCAI 2015","","","","10.1007/978-3-319-24571-3_11","Yue GaoEhsan Adeli-M.Minjeong KimPanteleimon GiannakopoulosSven HallerDinggang Shen","2015","http://link.springer.com/chapter/10.1007/978-3-319-24571-3_11","Chapter"
"Image-based dementia disease diagnosis via deep low-resource pair-wise learning","Multimedia Tools and Applications","","","","10.1007/s11042-017-4492-5","Wei HuangJing ZengChuyu WanHuijun DingGuang Chen","2017","http://link.springer.com/article/10.1007/s11042-017-4492-5","Article"
"Unsupervised Deep Learning for Hippocampus Segmentation in 7.0 Tesla MR Images","Machine Learning in Medical Imaging","","","","10.1007/978-3-319-02267-3_1","Minjeong KimGuorong WuDinggang Shen","2013","http://link.springer.com/chapter/10.1007/978-3-319-02267-3_1","Chapter"
"How Artificial Intelligence is Supporting Neuroscience Research: A Discussion About Foundations, Methods and Applications","Computational Neuroscience","","","","10.1007/978-3-319-71011-2_6","Rafael T. GonzalezJaime A. RiascosDante A. C. Barone","2017","http://link.springer.com/chapter/10.1007/978-3-319-71011-2_6","Chapter"
"Discrimination of Alzheimer’s Disease using longitudinal information","Data Mining and Knowledge Discovery","","31","4","10.1007/s10618-017-0502-5","Helena AidosAna Fred","2017","http://link.springer.com/article/10.1007/s10618-017-0502-5","Article"
"Encoding the Neurodegenerative Features","Multimodal Neuroimaging Computing for the Characterization of Neurodegenerative Disorders","","","","10.1007/978-981-10-3533-3_4","Sidong Liu","2017","http://link.springer.com/chapter/10.1007/978-981-10-3533-3_4","Chapter"
"Background","Multimodal Neuroimaging Computing for the Characterization of Neurodegenerative Disorders","","","","10.1007/978-981-10-3533-3_2","Sidong Liu","2017","http://link.springer.com/chapter/10.1007/978-981-10-3533-3_2","Chapter"
"Medical Image Retrieval for Alzheimer’s Disease Using Structural MRI Measures","Biomedical Engineering Systems and Technologies","","","","10.1007/978-3-319-27707-3_9","Katarina TrojacanecIvan KitanovskiIvica DimitrovskiSuzana Loshkovska","2015","http://link.springer.com/chapter/10.1007/978-3-319-27707-3_9","Chapter"
"Reconstructing White Matter Fiber from Brain DTI for Neuroimage Analysis","Intelligent Computation in Big Data Era","","","","10.1007/978-3-662-46248-5_4","Gentian LiYouxiang DuanQifeng Sun","2015","http://link.springer.com/chapter/10.1007/978-3-662-46248-5_4","Chapter"
"Granular computing with multiple granular layers for brain big data processing","Brain Informatics","","1","1 - 4","10.1007/s40708-014-0001-z","Guoyin WangJi Xu","2014","http://link.springer.com/article/10.1007/s40708-014-0001-z","Article"
"Feature Learning and Fusion of Multimodality Neuroimaging and Genetic Data for Multi-status Dementia Diagnosis","Machine Learning in Medical Imaging","","","","10.1007/978-3-319-67389-9_16","Tao ZhouKim-Han ThungXiaofeng ZhuDinggang Shen","2017","http://link.springer.com/chapter/10.1007/978-3-319-67389-9_16","Chapter"
"A review of heterogeneous data mining for brain disorder identification","Brain Informatics","","2","4","10.1007/s40708-015-0021-3","Bokai CaoXiangnan KongPhilip S. Yu","2015","http://link.springer.com/article/10.1007/s40708-015-0021-3","Article"
"Hybrid Imaging: From Anatomy to Function","3D Multiscale Physiological Human","","","","10.1007/978-1-4471-6275-9_3","David García JuanSara TrombellaOsman Ratib","2014","http://link.springer.com/chapter/10.1007/978-1-4471-6275-9_3","Chapter"
"Content-Based Retrieval of Brain Diffusion Magnetic Resonance Image","Multimodal Retrieval in the Medical Domain","","","","10.1007/978-3-319-24471-6_5","Siqi LiuNur HadiSidong LiuSonia PujolRon KikinisFan ZhangDagan FengWeidong Cai","2015","http://link.springer.com/chapter/10.1007/978-3-319-24471-6_5","Chapter"
"Convolutional neural network-based multimodal image fusion via similarity learning in the shearlet domain","Neural Computing and Applications","","","","10.1007/s00521-018-3441-1","Haithem HermessiOlfa MouraliEzzeddine Zagrouba","2018","http://link.springer.com/article/10.1007/s00521-018-3441-1","Article"
"Multi-modality Canonical Feature Selection for Alzheimer’s Disease Diagnosis","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2014","","","","10.1007/978-3-319-10470-6_21","Xiaofeng ZhuHeung-Il SukDinggang Shen","2014","http://link.springer.com/chapter/10.1007/978-3-319-10470-6_21","Chapter"
"The Unsupervised Hierarchical Convolutional Sparse Auto-Encoder for Neuroimaging Data Classification","Brain Informatics and Health","","","","10.1007/978-3-319-23344-4_16","Xiaobing HanYanfei ZhongLifang HePhilip S. YuLiangpei Zhang","2015","http://link.springer.com/chapter/10.1007/978-3-319-23344-4_16","Chapter"
"Cognitive Load Recognition Using Multi-threshold United Complex Network","Neural Information Processing","","","","10.1007/978-3-319-70136-3_52","Jian ShangQingshan Liu","2017","http://link.springer.com/chapter/10.1007/978-3-319-70136-3_52","Chapter"
"K-Means Segmentation of Alzheimer’s Disease in Pet Scan Datasets – An Implementation","Signal Processing and Information Technology","","","","10.1007/978-3-319-11629-7_24","A. MeenaK. Raja","2014","http://link.springer.com/chapter/10.1007/978-3-319-11629-7_24","Chapter"
"Deep Spectral-Based Shape Features for Alzheimer’s Disease Classification","Spectral and Shape Analysis in Medical Imaging","","","","10.1007/978-3-319-51237-2_2","Mahsa ShakeriHerve LombaertShashank TripathiSamuel Kadoury","2016","http://link.springer.com/chapter/10.1007/978-3-319-51237-2_2","Chapter"
"Region-Enhanced Joint Dictionary Learning for Cross-Modality Synthesis in Diffusion Tensor Imaging","Simulation and Synthesis in Medical Imaging","","","","10.1007/978-3-319-68127-6_5","Danyang WangYawen HuangAlejandro F. Frangi","2017","http://link.springer.com/chapter/10.1007/978-3-319-68127-6_5","Chapter"
"Ranking-Based Vocabulary Pruning in Bag-of-Features for Image Retrieval","Artificial Life and Computational Intelligence","","","","10.1007/978-3-319-14803-8_34","Fan ZhangYang SongWeidong CaiAlexander G. HauptmannSidong LiuSiqi LiuDavid Dagan FengMei Chen","2015","http://link.springer.com/chapter/10.1007/978-3-319-14803-8_34","Chapter"
"Sparse Discriminative Feature Selection for Multi-class Alzheimer’s Disease Classification","Machine Learning in Medical Imaging","","","","10.1007/978-3-319-10581-9_20","Xiaofeng ZhuHeung-Il SukDinggang Shen","2014","http://link.springer.com/chapter/10.1007/978-3-319-10581-9_20","Chapter"
"MCI Identification by Joint Learning on Multiple MRI Data","Medical Image Computing and Computer-Assisted Intervention -- MICCAI 2015","","","","10.1007/978-3-319-24571-3_10","Yue GaoChong-Yaw WeeMinjeong KimPanteleimon GiannakopoulosMarie-Louise MontandonSven HallerDinggang Shen","2015","http://link.springer.com/chapter/10.1007/978-3-319-24571-3_10","Chapter"
"Big data analytics in bioinformatics: architectures, techniques, tools and issues","Network Modeling Analysis in Health Informatics and Bioinformatics","","5","1","10.1007/s13721-016-0135-4","Hirak KashyapHasin Afzal AhmedNazrul HoqueSwarup RoyDhruba Kumar Bhattacharyya","2016","http://link.springer.com/article/10.1007/s13721-016-0135-4","Article"
"Prediction of Amyloidosis from Neuropsychological and MRI Data for Cost Effective Inclusion of Pre-symptomatic Subjects in Clinical Trials","Deep Learning in Medical Image Analysis and Multimodal Learning for Clinical Decision Support","","","","10.1007/978-3-319-67558-9_41","Manon AnsartStéphane EpelbaumGeoffroy GagliardiOlivier ColliotDidier DormontBruno DuboisHarald HampelStanley Durrleman","2017","http://link.springer.com/chapter/10.1007/978-3-319-67558-9_41","Chapter"
"Cognitive Load Recognition Using Multi-channel Complex Network Method","Advances in Neural Networks - ISNN 2017","","","","10.1007/978-3-319-59072-1_55","Jian ShangWei ZhangJiang XiongQingshan Liu","2017","http://link.springer.com/chapter/10.1007/978-3-319-59072-1_55","Chapter"
"Attenuation Correction Synthesis for Hybrid PET-MR Scanners","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2013","","","","10.1007/978-3-642-40811-3_19","Ninon BurgosManuel Jorge CardosoMarc ModatStefano PedemonteJohn DicksonAnna BarnesJohn S. DuncanDavid AtkinsonSimon R. ArridgeBrian F. HuttonSebastien Ourselin","2013","http://link.springer.com/chapter/10.1007/978-3-642-40811-3_19","Chapter"
"Big Healthcare Data Analytics: Challenges and Applications","Handbook of Large-Scale Distributed Computing in Smart Healthcare","","","","10.1007/978-3-319-58280-1_2","Chonho LeeZhaojing LuoKee Yuan NgiamMeihui ZhangKaiping ZhengGang ChenBeng Chin OoiWei Luen James Yip","2017","http://link.springer.com/chapter/10.1007/978-3-319-58280-1_2","Chapter"
"Integrating Multimodal Priors in Predictive Models for the Functional Characterization of Alzheimer’s Disease","Medical Image Computing and Computer-Assisted Intervention -- MICCAI 2015","","","","10.1007/978-3-319-24553-9_26","Mehdi RahimBertrand ThirionAlexandre AbrahamMichael EickenbergElvis DohmatobClaude ComtatGael Varoquaux","2015","http://link.springer.com/chapter/10.1007/978-3-319-24553-9_26","Chapter"
"Hybrid Recommendation System for Heart Disease Diagnosis based on Multiple Kernel Learning with Adaptive Neuro-Fuzzy Inference System","Multimedia Tools and Applications","","77","4","10.1007/s11042-017-5515-y","Gunasekaran ManogaranR. VaratharajanM. K. Priyan","2018","http://link.springer.com/article/10.1007/s11042-017-5515-y","Article"
"Diagnosing Alzheimer’s Disease: Automatic Extraction and Selection of Coherent Regions in FDG-PET Images","Biomedical Engineering Systems and Technologies","","","","10.1007/978-3-319-26129-4_7","Helena AidosJoão DuarteAna Fred","2015","http://link.springer.com/chapter/10.1007/978-3-319-26129-4_7","Chapter"
"Image descriptors in radiology images: a systematic review","Artificial Intelligence Review","","47","4","10.1007/s10462-016-9492-8","Mariana A. NogueiraPedro Henriques AbreuPedro MartinsPenousal MachadoHugo DuarteJoão Santos","2017","http://link.springer.com/article/10.1007/s10462-016-9492-8","Article"
"Classification of sMRI for AD Diagnosis with Convolutional Neuronal Networks: A Pilot 2-D+
                  
                    
                  
                  $$\epsilon $$
                 Study on ADNI","MultiMedia Modeling","","","","10.1007/978-3-319-51811-4_56","Karim AderghalManuel BoisseninJenny Benois-PineauGwenaëlle CathelineKarim Afdel","2017","http://link.springer.com/chapter/10.1007/978-3-319-51811-4_56","Chapter"
"A review of structural and functional brain networks: small world and atlas","Brain Informatics","","2","1","10.1007/s40708-015-0009-z","Zhijun YaoBin HuYuanwei XiePhilip MooreJiaxiang Zheng","2015","http://link.springer.com/article/10.1007/s40708-015-0009-z","Article"
"Structured Sparse Kernel Learning for Imaging Genetics Based Alzheimer’s Disease Diagnosis","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2016","","","","10.1007/978-3-319-46723-8_9","Jailin PengLe AnXiaofeng ZhuYan JinDinggang Shen","2016","http://link.springer.com/chapter/10.1007/978-3-319-46723-8_9","Chapter"
"Subject-specific Models for the Analysis of Pathological FDG PET Data","Medical Image Computing and Computer-Assisted Intervention -- MICCAI 2015","","","","10.1007/978-3-319-24571-3_78","Ninon BurgosM. Jorge CardosoAlex F. MendelsonJonathan M. SchottDavid AtkinsonSimon R. ArridgeBrian F. HuttonSébastien Ourselin","2015","http://link.springer.com/chapter/10.1007/978-3-319-24571-3_78","Chapter"
"CapAIBL: Automated Reporting of Cortical PET Quantification Without Need of MRI on Brain Surface Using a Patch-Based Method","Patch-Based Techniques in Medical Imaging","","","","10.1007/978-3-319-47118-1_14","Vincent DorePierrick BourgeatVictor L. VillemagneJurgen FrippLance MacaulayColin L. MastersDavid AmesChristopher C. RoweOlivier Salvado","2016","http://link.springer.com/chapter/10.1007/978-3-319-47118-1_14","Chapter"
"Multifold Bayesian Kernelization in Alzheimer’s Diagnosis","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2013","","","","10.1007/978-3-642-40763-5_38","Sidong LiuYang SongWeidong CaiSonia PujolRon KikinisXiaogang WangDagan Feng","2013","http://link.springer.com/chapter/10.1007/978-3-642-40763-5_38","Chapter"
"Deep 3D Convolutional Neural Network Architectures for Alzheimer’s Disease Diagnosis","Intelligent Information and Database Systems","","","","10.1007/978-3-319-75417-8_27","Hiroki KarasawaChien-Liang LiuHayato Ohwada","2018","http://link.springer.com/chapter/10.1007/978-3-319-75417-8_27","Chapter"
"Integrated Visualization of Human Brain Connectome Data","Brain Informatics and Health","","","","10.1007/978-3-319-23344-4_29","Huang LiShiaofen FangJoaquin GoniJoey A. ContrerasYanhua LiangChengtao CaiJohn D. WestShannon L. RisacherYang WangOlaf SpornsAndrew J. SaykinLi Shen[Authorinst]for the ADNI","2015","http://link.springer.com/chapter/10.1007/978-3-319-23344-4_29","Chapter"
"Randomized Denoising Autoencoders for Smaller and Efficient Imaging Based AD Clinical Trials","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2014","","","","10.1007/978-3-319-10470-6_59","Vamsi K. IthapuVikas SinghOzioma OkonkwoSterling C. Johnson","2014","http://link.springer.com/chapter/10.1007/978-3-319-10470-6_59","Chapter"
"Short Acquisition Time PET Quantification Using MRI-Based Pharmacokinetic Parameter Synthesis","Medical Image Computing and Computer-Assisted Intervention − MICCAI 2017","","","","10.1007/978-3-319-66185-8_83","Catherine J. ScottJieqing JiaoM. Jorge CardosoAndrew MelbourneEnrico De VitaDavid L. ThomasNinon BurgosPawel MarkiewiczJonathan M. SchottBrian F. HuttonSébastien Ourselin","2017","http://link.springer.com/chapter/10.1007/978-3-319-66185-8_83","Chapter"
"Automatic Recognition of Mild Cognitive Impairment from MRI Images Using Expedited Convolutional Neural Networks","Artificial Neural Networks and Machine Learning – ICANN 2017","","","","10.1007/978-3-319-68600-4_43","Shuqiang WangYanyan ShenWei ChenTengfei XiaoJinxing Hu","2017","http://link.springer.com/chapter/10.1007/978-3-319-68600-4_43","Chapter"
"Progressive Graph-Based Transductive Learning for Multi-modal Classification of Brain Disorder Disease","Medical Image Computing and Computer-Assisted Intervention –  MICCAI 2016","","","","10.1007/978-3-319-46720-7_34","Zhengxia WangXiaofeng ZhuEhsan AdeliYingying ZhuChen ZuFeiping NieDinggang ShenGuorong Wu","2016","http://link.springer.com/chapter/10.1007/978-3-319-46720-7_34","Chapter"
"Medical Image Retrieval for Alzheimer’s Disease Using Data from Multiple Time Points","ICT Innovations 2015","","","","10.1007/978-3-319-25733-4_22","Katarina TrojacanecIvan KitanovskiIvica DimitrovskiSuzana Loshkovska","2016","http://link.springer.com/chapter/10.1007/978-3-319-25733-4_22","Chapter"
"Functional Connectivity Analysis of EEG in AD Patients with Normalized Permutation Index","Neural Information Processing","","","","10.1007/978-3-319-70093-9_59","Lihui CaiJiang WangRuofan WangBin DengHaitao YuXile Wei","2017","http://link.springer.com/chapter/10.1007/978-3-319-70093-9_59","Chapter"
"Task Classification Using Topological Graph Features for Functional M/EEG Brain Connectomics","Applications of Evolutionary Computation","","","","10.1007/978-3-319-77538-8_2","Javier Del SerEneko OsabaMiren Nekane Bilbao","2018","http://link.springer.com/chapter/10.1007/978-3-319-77538-8_2","Chapter"
"PET Image Classification Using HHT-Based Features Through Fractal Sampling","Natural and Artificial Computation for Biomedicine and Neuroscience","","","","10.1007/978-3-319-59740-9_31","A. OrtizF. LozanoA. PeinadoM. J. Garía-TarifaJ. M. GórrizJ. Ramírez","2017","http://link.springer.com/chapter/10.1007/978-3-319-59740-9_31","Chapter"
"Machine Learning Models for Multidimensional Clinical Data","Handbook of Large-Scale Distributed Computing in Smart Healthcare","","","","10.1007/978-3-319-58280-1_8","Christina OrphanidouDavid Wong","2017","http://link.springer.com/chapter/10.1007/978-3-319-58280-1_8","Chapter"
"Automated identification of dementia using medical imaging: a survey from a pattern classification perspective","Brain Informatics","","3","1","10.1007/s40708-015-0027-x","Chuanchuan ZhengYong XiaYongsheng PanJinhu Chen","2016","http://link.springer.com/article/10.1007/s40708-015-0027-x","Article"
"Cognitive Brain Signal Processing: Healthy vs Alzheimer’s Disease Patients","Universal Access in Human-Computer Interaction. Design and Development Methods for Universal Access","","","","10.1007/978-3-319-07437-5_48","Vasiliki KosmidouAnthoula TsolakiChrysa PapadaniilMagdalini TsolakiLeontios HadjileontiadisIoannis Kompatsiaris","2014","http://link.springer.com/chapter/10.1007/978-3-319-07437-5_48","Chapter"
"Medical Image Synthesis with Context-Aware Generative Adversarial Networks","Medical Image Computing and Computer-Assisted Intervention − MICCAI 2017","","","","10.1007/978-3-319-66179-7_48","Dong NieRoger TrulloJun LianCaroline PetitjeanSu RuanQian WangDinggang Shen","2017","http://link.springer.com/chapter/10.1007/978-3-319-66179-7_48","Chapter"
"Classification of Alzheimer’s disease subjects from MRI using hippocampal visual features","Multimedia Tools and Applications","","74","4","10.1007/s11042-014-2123-y","Olfa Ben AhmedJenny Benois-PineauMichèle AllardChokri Ben AmarGwénaëlle Catheline","2015","http://link.springer.com/article/10.1007/s11042-014-2123-y","Article"
"A platform of digital brain using crowd power","Frontiers of Information Technology & Electronic Engineering","","19","1","10.1631/FITEE.1700800","Dongrong XuFei DaiYue Lu","2018","http://link.springer.com/article/10.1631/FITEE.1700800","Article"
"Image Retrieval for Alzheimer’s Disease Based on Brain Atrophy Pattern","ICT Innovations 2017","","","","10.1007/978-3-319-67597-8_16","Katarina TrojacanecSlobodan KalajdziskiIvan KitanovskiIvica DimitrovskiSuzana Loshkovska","2017","http://link.springer.com/chapter/10.1007/978-3-319-67597-8_16","Chapter"
"A Novel Multi-relation Regularization Method for Regression and Classification in AD Diagnosis","Medical Image Computing and Computer-Assisted Intervention – MICCAI 2014","","","","10.1007/978-3-319-10443-0_51","Xiaofeng ZhuHeung-Il SukDinggang Shen","2014","http://link.springer.com/chapter/10.1007/978-3-319-10443-0_51","Chapter"
"ADNI Datasets and Pre-processing Protocols","Multimodal Neuroimaging Computing for the Characterization of Neurodegenerative Disorders","","","","10.1007/978-981-10-3533-3_3","Sidong Liu","2017","http://link.springer.com/chapter/10.1007/978-981-10-3533-3_3","Chapter"
"Diagnosis of Alzheimer’s Disease Using View-Aligned Hypergraph Learning with Incomplete Multi-modality Data","Medical Image Computing and Computer-Assisted Intervention –  MICCAI 2016","","","","10.1007/978-3-319-46720-7_36","Mingxia LiuJun ZhangPew-Thian YapDinggang Shen","2016","http://link.springer.com/chapter/10.1007/978-3-319-46720-7_36","Chapter"
"A Survey of the State-of-the-Art Techniques for Cognitive Impairment Detection in the Elderly","Advanced Computational Methods in Life System Modeling and Simulation","","","","10.1007/978-981-10-6370-1_15","Zixiang FeiErfu YangDavid LiStephen ButlerWinifred IjomahNeil Mackin","2017","http://link.springer.com/chapter/10.1007/978-981-10-6370-1_15","Chapter"
"Nonlinear Graph Fusion for Multi-modal Classification of Alzheimer’s Disease","Machine Learning in Medical Imaging","","","","10.1007/978-3-319-24888-2_10","Tong TongKatherine GrayQinquan GaoLiang ChenDaniel Rueckert","2015","http://link.springer.com/chapter/10.1007/978-3-319-24888-2_10","Chapter"
"A Graph Theory Analysis on Distinguishing EEG-Based Brain Death and Coma","Neural Information Processing","","","","10.1007/978-3-319-70093-9_62","Gaochao CuiLi ZhuQibin ZhaoJianting CaoAndrzej Cichocki","2017","http://link.springer.com/chapter/10.1007/978-3-319-70093-9_62","Chapter"
"Preserving differential privacy in convolutional deep belief networks","Machine Learning","","106","9 - 10","10.1007/s10994-017-5656-2","NhatHai PhanXintao WuDejing Dou","2017","http://link.springer.com/article/10.1007/s10994-017-5656-2","Article"
"Recognizing the Neurodegenerative Patterns","Multimodal Neuroimaging Computing for the Characterization of Neurodegenerative Disorders","","","","10.1007/978-981-10-3533-3_5","Sidong Liu","2017","http://link.springer.com/chapter/10.1007/978-981-10-3533-3_5","Chapter"
"An Oblique Approach to Prediction of Conversion to Alzheimer’s Disease with Multikernel Gaussian Processes","Machine Learning and Interpretation in Neuroimaging","","","","10.1007/978-3-319-45174-9_13","Jonathan YoungMarc ModatManuel J. CardosoJohn AshburnerSebastien Ourselin","2016","http://link.springer.com/chapter/10.1007/978-3-319-45174-9_13","Chapter"
"Pattern Classification","Pattern Classification of Medical Images: Computer Aided Diagnosis","","","","10.1007/978-3-319-57027-3_4","Xiao-Xia YinSillas HadjiloucasYanchun Zhang","2017","http://link.springer.com/chapter/10.1007/978-3-319-57027-3_4","Chapter"
"A Feature Selection Scheme for Accurate Identification of Alzheimer’s Disease","Bioinformatics and Biomedical Engineering","","","","10.1007/978-3-319-31744-1_7","Hao ShenWen ZhangPeng ChenJun ZhangAiqin FangBing Wang","2016","http://link.springer.com/chapter/10.1007/978-3-319-31744-1_7","Chapter"
"Learning-Based Estimation of Functional Correlation Tensors in White Matter for Early Diagnosis of Mild Cognitive Impairment","Patch-Based Techniques in Medical Imaging","","","","10.1007/978-3-319-67434-6_8","Lichi ZhangHan ZhangXiaobo ChenQian WangPew-Thian YapDinggang Shen","2017","http://link.springer.com/chapter/10.1007/978-3-319-67434-6_8","Chapter"
"MRI Augmentation via Elastic Registration for Brain Lesions Segmentation","Brainlesion: Glioma, Multiple Sclerosis, Stroke and Traumatic Brain Injuries","","","","10.1007/978-3-319-75238-9_32","Egor KrivovMaxim PisovMikhail Belyaev","2018","http://link.springer.com/chapter/10.1007/978-3-319-75238-9_32","Chapter"
