"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Longitudinal Brain MRI Retrieval for Alzheimer’s Disease Using Different Temporal Information","K. Trojachanec; I. Kitanovski; I. Dimitrovski; S. Loshkovska","Faculty of Computer Science and Engineering, Saints Cyril and Methodius University of Skopje, Skopje, Macedonia","IEEE Access","20180313","2018","6","","9703","9712","This paper describes the research made toward improving medical case retrieval for Alzheimer’s Disease (AD). Our approach considers using Magnetic Resonance Images as an input for the search. To improve the retrieval process, we used longitudinal information extracted from the different sets of scans acquired at different time points and automatically extracted descriptors to represent input images. All experiments were performed with and without quality control (QC) to determine the influence of the errors caused by the automated processing to the results relevance. For the experiments, a total of 267 subjects from the AD Neuroimaging Initiative database with available scans at baseline, the 6-month, 12-month, and 24-month follow-ups were selected. The obtained results showed that the selection of the time points for extraction of the longitudinal information influences the retrieval performance. Results also showed that not all automatically generated descriptors lead to improvement of the results. Longitudinal volume changes provide the most relevant representation. Adding QC phase in the experiments leads to improvements in all examined scenarios. The results showed that the most frequent automatically selected features are common semantic markers for AD.","","","10.1109/ACCESS.2017.2773359","10.13039/501100000780 - European Commission through the Project MAESTRA&#8211;Learning from Massive, Incompletely Annotated, and Structured Data; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8106777","Alzheimer’s disease;Longitudinal;brain;feature extraction;image retrieval;magnetic resonance imaging","Data mining;Databases;Dementia;Feature extraction;Medical diagnostic imaging","","","","","","","","","20171113","2018","","IEEE","IEEE Journals & Magazines"
"Hippocampus segmentation through multi-view ensemble ConvNets","Y. Chen; B. Shi; Z. Wang; P. Zhang; C. D. Smith; J. Liu","School of EECS, Ohio University, Athens, 45701, United States of America","2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017)","20170619","2017","","","192","196","Automated segmentation of brain structures from MR images is an important practice in many neuroimage studies. In this paper, we explore the utilization of a multi-view ensemble approach that relies on neural networks (NN) to combine multiple decision maps in achieving accurate hippocampus segmentation. Constructed under a general convolutional NN structure, our Ensemble-Net networks explore different convolution configurations to capture the complementary information residing in the multiple label probabilities produced by our U-Seg-Net (a modified U-Net) segmentation neural network. T1-weighted MRI scans and the associated Hippocampal masks of 110 healthy subjects from the ADNI project were used as the training and testing data. The combined U-Seg-Net + Ensemble-Net framework achieves over 89% Dice ratio on the test dataset.","","Electronic:978-1-5090-1172-8; POD:978-1-5090-1173-5","10.1109/ISBI.2017.7950499","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950499","ADNI;Alzheimer's Disease;Convolutional Neural Networks;Hippocampal Segmentation","Convolution;Hippocampus;Image segmentation;Solid modeling;Three-dimensional displays;Training;Two dimensional displays","biomedical MRI;brain;diseases;image segmentation;neurophysiology;probability","ADNI project;Dice ratio;MR images;T1-weighted MRI scans;U-Seg-Net;associated hippocampal masks;automated segmentation;brain structures;complementary information;convolution configurations;ensemble-net framework;ensemble-net networks;general convolutional NN structure;hippocampus segmentation;modified U-Net;multiple decision maps;multiple label probabilities;multiview ensemble convnets;neural networks;neuroimage;test dataset;testing data;training data","","","","","","","","18-21 April 2017","","IEEE","IEEE Conferences"
"Early Alzheimer disease detection with bag-of-visual-words and hybrid fusion on structural MRI","O. Ben Ahmed; J. Benois-Pineau; C. Ben Amar; M. Allard; G. Catheline","Laboratoire Bordelais de Recherche en Informatique (LaBRI), University of Bordeaux 1, France","2013 11th International Workshop on Content-Based Multimedia Indexing (CBMI)","20130808","2013","","","79","83","In this paper, we tackle the problem of recognition of Alzheimer's disease (AD) in structural MRI images using visual similarity. AD yields visible changes in the brain structures. We aim to recognize patient category such as AD, or prodromal stage of the AD called Mild Cognitive impairment (MCI), or normal control subject (NC). We use visual local descriptors and the bag-of-visual-words approach on the most involved regions in AD (Hippocampus and Posterior Cingulate Cortex) in MRI. The Content-Based Visual information retrieval (CBVIR) approach is then applied to recognize patient category. The contribution of the paper is in the fusion of visual signatures and of classification results obtained on characteristic brain regions. The performance of image retrieval is improved by 10% using the early and hybrid fusion with regard to the use of hippocampus region only.","1949-3983;19493983","Electronic:978-1-4799-0956-8; POD:978-1-4799-0955-1; USB:978-1-4799-0954-4","10.1109/CBMI.2013.6576557","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6576557","Alzheimer;CBVIR;Hippocampus;Posterior Cingulate Cortex;bag-of-visual-words;visual similarity","Alzheimer's disease;Feature extraction;Hippocampus;Magnetic resonance imaging;Principal component analysis;Visualization","biomedical MRI;brain;cognition;content-based retrieval;diseases;image classification;image fusion;image matching;information retrieval;medical image processing","AD prodromal stage;Alzheimer disease recognition;CBVIR approach;MCI;bag-of-visual-words approach;brain structures;content-based visual information retrieval approach;early Alzheimer disease detection;hippocampus region;hybrid fusion;mild cognitive impairment;normal control subject;patient category recognition;posterior cingulate cortex;structural MRI images;visual local descriptor approach;visual signature fusion;visual similarity","","3","","25","","","","17-19 June 2013","","IEEE","IEEE Conferences"
"A hybrid sequential feature selection approach for the diagnosis of Alzheimer's Disease","Yang Han; Xing-Ming Zhao","Department of Computer Science And Technology, Tongji University, Shanghai, China","2016 International Joint Conference on Neural Networks (IJCNN)","20161103","2016","","","1216","1220","The timely and accurate diagnosis of Alzheimer's Disease (AD) is important for preventing the progress of the irreversible disease. Recently, various types of imaging techniques, e.g. Magnetic Resonance Imaging (MRI) and Positron Emission Tomography (PET), have been widely used for the diagnosis of AD. Despite their usefulness, the image data generated are high-dimensional and noisy which make it difficult to give accurate diagnosis. In this paper, we propose a novel feature selection approach to detect the informative features from MRI data, which improves both the diagnosis accuracy and reduces the computational cost. Benchmarking results on the AD challenge datasets show that our proposed approach outperforms other popular feature selection methods. Furthermore, compared with the top winners of the challenge, our approach performs best in diagnosis of AD and has comparable performance with others in the detection of mild cognitive impairments (MCIs). The good performance on the real data demonstrate that our proposed approach is effective in prediction of ADs.","","","10.1109/IJCNN.2016.7727336","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7727336","Alzheimer's Disease;Hybrid Forward Sequential selection (HFS);MRI","Education;Hafnium;Imaging","biomedical MRI;diseases;feature selection;medical image processing;positron emission tomography","AD;Alzheimer's disease;MRI;PET;hybrid sequential feature selection approach;informative features;magnetic resonance imaging;positron emission tomography","","","","","","","","24-29 July 2016","","IEEE","IEEE Conferences"
"A deep CNN based multi-class classification of Alzheimer's disease using MRI","A. Farooq; S. Anwar; M. Awais; S. Rehman","Department of Computer Engineering, C.E.M.E, National University of Sciences and Technology (NUST), Islamabad, Pakistan","2017 IEEE International Conference on Imaging Systems and Techniques (IST)","20180118","2017","","","1","6","In the recent years, deep learning has gained huge fame in solving problems from various fields including medical image analysis. This work proposes a deep convolutional neural network based pipeline for the diagnosis of Alzheimer's disease and its stages using magnetic resonance imaging (MRI) scans. Alzheimer's disease causes permanent damage to the brain cells associated with memory and thinking skills. The diagnosis of Alzheimer's in elderly people is quite difficult and requires a highly discriminative feature representation for classification due to similar brain patterns and pixel intensities. Deep learning techniques are capable of learning such representations from data. In this paper, a 4-way classifier is implemented to classify Alzheimer's (AD), mild cognitive impairment (MCI), late mild cognitive impairment (LMCI) and healthy persons. Experiments are performed using ADNI dataset on a high performance graphical processing unit based system and new state-of-the-art results are obtained for multiclass classification of the disease. The proposed technique results in a prediction accuracy of 98.8%, which is a noticeable increase in accuracy as compared to the previous studies and clearly reveals the effectiveness of the proposed method.","","Electronic:978-1-5386-1620-8; POD:978-1-5386-1621-5","10.1109/IST.2017.8261460","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8261460","Alzheimer's disease;MRI;deep learning;multiclass","Data preprocessing;Diseases;Instrumentation and measurement;Machine learning;Network architecture","biomedical MRI;brain;cognition;diseases;feature extraction;geriatrics;image classification;learning (artificial intelligence);medical image processing;neural nets;neurophysiology;pattern classification","4-way classifier;MRI;brain cells;brain patterns;deep CNN based multiclass classification;deep convolutional neural network based pipeline;deep learning techniques;elderly people;high performance graphical unit based system;highly discriminative feature representation;late mild cognitive impairment;magnetic resonance imaging scans;medical image analysis;multiclass classification;permanent damage;thinking skills","","","","","","","","18-20 Oct. 2017","","IEEE","IEEE Conferences"
"Multimodal Neuroimaging Feature Learning for Multiclass Diagnosis of Alzheimer's Disease","S. Liu; S. Liu; W. Cai; H. Che; S. Pujol; R. Kikinis; D. Feng; M. J. Fulham; ADNI","Biomedical and Multimedia Information Technology Research Group, School of Information Technologies, University of Sydney, Sydney, N.S.W., Australia","IEEE Transactions on Biomedical Engineering","20150318","2015","62","4","1132","1140","The accurate diagnosis of Alzheimer's disease (AD) is essential for patient care and will be increasingly important as disease modifying agents become available, early in the course of the disease. Although studies have applied machine learning methods for the computer-aided diagnosis of AD, a bottleneck in the diagnostic performance was shown in previous methods, due to the lacking of efficient strategies for representing neuroimaging biomarkers. In this study, we designed a novel diagnostic framework with deep learning architecture to aid the diagnosis of AD. This framework uses a zero-masking strategy for data fusion to extract complementary information from multiple data modalities. Compared to the previous state-of-the-art workflows, our method is capable of fusing multimodal neuroimaging features in one setting and has the potential to require less labeled data. A performance gain was achieved in both binary classification and multiclass classification of AD. The advantages and limitations of the proposed framework are discussed.","0018-9294;00189294","","10.1109/TBME.2014.2372011","AADRF; ARC; NA-MIC; NAC; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6963480","Alzheimer’s Disease;Alzheimer's disease (AD);Classification;Deep Learning;MRI;Neuroimaging;PET;classification;deep Learning;neuroimaging;positron emission tomography (PET)","Biomarkers;Diseases;Feature extraction;Neuroimaging;Neurons;Positron emission tomography;Training","biomedical MRI;diseases;learning (artificial intelligence);neurophysiology;patient care;patient diagnosis;positron emission tomography;sensor fusion","Alzheimer disease binary classification;Alzheimer disease computer-aided diagnosis;Alzheimer disease multiclass classification;Alzheimer disease multiclass diagnosis;data fusion;machine learning method;multimodal neuroimaging feature learning;neuroimaging biomarker;patient care;zero-masking strategy","Alzheimer Disease;Brain;Humans;Image Interpretation, Computer-Assisted;Multimodal Imaging;Neuroimaging;Support Vector Machine","44","","65","","","20141120","April 2015","","IEEE","IEEE Journals & Magazines"
"EEG analysis for short term memory modeling in visually explored shape recognition tasks","L. Ghosh; A. Konar; P. Rakshit; A. L. Ralescu; A. K. Nagar","Artificial Intelligence Lab., ETCE Dept., Jadavpur University, Kolkata, India","2017 IEEE Symposium Series on Computational Intelligence (SSCI)","20180208","2017","","","1","8","The paper introduces a novel approach to short term memory modeling using electroencephalographic signals acquired from occipital, prefrontal and parietal lobes of the subjects during the recognition of asymmetric two-dimensional object shapes. Each subject is presented with a two-dimensional object of irregular geometry and is asked to remember it for a short period until he/she is instructed to draw the two-dimensional shape of the object. After the drawing is complete, the reference two-dimensional shape and the one produced by the subject are compared. The paper attempts to model Short term memory using unsupervised Hebbian Learning, considering functional invariance of the other relevant brain modules lying on the encoding and recall pathways of the memory. An error norm is defined to measure the magnitude of the error between the input and reproduced shape pattern, and thereby is used to adapt the short term memory. A small value in error indicates proper learning of the proposed short term memory model, and thus can be used to discriminate people with memory failure. Experiments undertaken reveal that the error metric could be used successfully to detect memory failures in five patients, two of whom were in early stages of Alzheimer's disease, two of whom suffer from amnesia, and one patient with parietal lobe damage. The proposed short term memory model thus is expected to have applications in detecting memory failures in shape-recognition tasks.","","Electronic:978-1-5386-2726-6; POD:978-1-5386-2727-3","10.1109/SSCI.2017.8285309","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8285309","Hebbian learning;average gamma power;back propagation neural network;iconic memory;memory failure;shape recognition;short term memory","Brain modeling;Electroencephalography;Encoding;Feature extraction;Shape;Two dimensional displays;Visualization","Hebbian learning;brain models;diseases;electroencephalography;learning (artificial intelligence);medical signal processing;neural nets;neurophysiology;shape recognition","Alzheimer's disease;amnesia;asymmetric two-dimensional object shapes;electroencephalographic signals;encoding;error magnitude;error metric;error norm;memory failure;occipital lobes;parietal lobe damage;prefrontal lobes;recall pathways;reference two-dimensional shape;relevant brain modules;shape-recognition tasks;short term memory model;short term memory modeling;two-dimensional object shapes;unsupervised Hebbian learning;visually explored shape recognition tasks","","","","","","","","Nov. 27 2017-Dec. 1 2017","","IEEE","IEEE Conferences"
"Voxel-based morphometry analyses in Alzheimer's disease","A. Margarida Matos; P. Faria; M. Patrício","Department of Physics, Faculty of Sciences and Technology, University of Coimbra, Portugal","2013 IEEE 3rd Portuguese Meeting in Bioengineering (ENBENG)","20130523","2013","","","1","4","Alzheimer's disease (AD) is a neurodegenerative disease recognized as one of the most important medical problems affecting the elderly. It is characterized by an irreversible loss of neurons which is mostly pronounced in the grey matter and specifically in the hippocampus. The aim of this paper is to identify alterations in grey matter in MRI images of AD patients, when compared to those of healthy volunteers, using Voxel-Based Morphometry (VBM). The latter is a widely used statistical-based technique that allows the detection of alterations in brain tissue. In our study, we used VBM to detect significant grey matter alterations of the hippocampal region in AD patients, which is consistent with previous findings reported in the literature. We also examined how the Mini Mental State Examination (MMSE) scores relates to the volume differences detected by VBM<sup>1</sup>.","","Electronic:978-1-4673-4859-1; POD:978-1-4799-1705-1","10.1109/ENBENG.2013.6518386","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6518386","ADNI;Alzheimer's Disease;MRI;VBM","Alzheimer's disease;Artificial neural networks;Atrophy;Biomedical imaging;Magnetic resonance imaging;Positron emission tomography","biological tissues;biomedical MRI;brain;diseases;geriatrics;medical image processing;neurophysiology;statistical analysis","AD patients;Alzheimer disease;MRI images;VBM;brain tissue;grey matter;hippocampus;mini mental state examination;neurodegenerative disease;neurons;statistical-based technique;voxel-based morphometry","","1","","16","","","","20-23 Feb. 2013","","IEEE","IEEE Conferences"
"Towards Alzheimer's disease classification through transfer learning","M. Hon; N. M. Khan","Data Science, Ryerson University, Toronto, ON","2017 IEEE International Conference on Bioinformatics and Biomedicine (BIBM)","20171218","2017","","","1166","1169","Detection of Alzheimer's Disease (AD) from neuroimaging data such as MRI through machine learning have been a subject of intense research in recent years. Recent success of deep learning in computer vision have progressed such research further. However, common limitations with such algorithms are reliance on a large number of training images, and requirement of careful optimization of the architecture of deep networks. In this paper, we attempt solving these issues with transfer learning, where state-of-the-art architectures such as VGG and Inception are initialized with pre-trained weights from large benchmark datasets consisting of natural images, and the fully-connected layer is re-trained with only a small number of MRI images. We employ image entropy to select the most informative slices for training. Through experimentation on the OASIS MRI dataset, we show that with training size almost 10 times smaller than the state-of-the-art, we reach comparable or even better performance than current deep-learning based methods.","","Electronic:978-1-5090-3050-7; POD:978-1-5090-3051-4","10.1109/BIBM.2017.8217822","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8217822","Alzheimer's;Deep Learning;Entropy;Transfer Learning","Computer architecture;Entropy;Feature extraction;Machine learning;Training;Training data","biomedical MRI;computer vision;diseases;image classification;image segmentation;learning (artificial intelligence);medical image processing","Alzheimer disease classification;MRI images;OASIS MRI dataset;computer vision;deep learning;deep networks;deep-learning based methods;image entropy;machine learning;natural images;pre-trained weights;transfer learning","","","","","","","","13-16 Nov. 2017","","IEEE","IEEE Conferences"
"Region-based brain selection and classification on pet images for Alzheimer's disease computer aided diagnosis","I. Garali; M. Adel; S. Bourennane; E. Guedj","Institut FRESNEL UMR-CNRS 7249, Campus Universitaire de Saint J&#x00E9;r&#x00F4;me, Marseille, France","2015 IEEE International Conference on Image Processing (ICIP)","20151210","2015","","","1473","1477","Positron Emission Tomography (PET) is a 3-D functional imaging modality which help physicians to diagnose neurodegenerative diseases like Alzheimer's Disease (AD). Computer-aided detection and diagnosis, based on medical imaging techniques is of importance for a quantitative evaluation. A novel method of ranking the effectiveness of brain regions to separate AD from healthy brains images is presented. Brain images are first mapped into 116 anatomical regions of interest. The first four moments and the entropy of the histograms of these regions are computed. Receiver Operating Characteristics curves are then used to rank the ability of regions to separate PET brain images. Twenty one selected regions are input to both Support Vector Machine and Random Forest classifiers and evaluation is done on 142 brain PET images. Classification results are better than those obtained when using the whole 116 initial regions or when inputting the whole brain voxels. In addition, an important computational time reduction was obtained.","","Electronic:978-1-4799-8339-1; POD:978-1-4799-8340-7","10.1109/ICIP.2015.7351045","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7351045","Alzheimer's Disease (AD);Classification;Computer-Aided diagnosis (CAD);Random Forest (RF);Receiver Operating Characteristic (ROC);Support Vector Machine (SVM)","Alzheimer's disease;Brain;Databases;Positron emission tomography;Reactive power;Support vector machines","brain;diseases;image classification;image segmentation;learning (artificial intelligence);medical disorders;medical image processing;positron emission tomography;support vector machines","3D functional imaging modality;AD;Alzheimer's disease computer aided diagnosis;PET brain images;anatomical region-of-interest;brain image mapping;brain voxels;computational time reduction;computer-aided detection;healthy brain images;histogram entropy computation;medical imaging techniques;moment computation;neurodegenerative diseases diagnosis;positron emission tomography;quantitative evaluation;random forest classifier;receiver operating characteristics curves;region-based brain classification;region-based brain selection;support vector machine classifier","","1","","19","","","","27-30 Sept. 2015","","IEEE","IEEE Conferences"
"A Nonparametric Approach for Mild Cognitive Impairment to AD Conversion Prediction: Results on Longitudinal Data","S. Minhas; A. Khanum; F. Riaz; A. Alvi; S. A. Khan","Computer Engineering Department, College of Electrical and Mechanical Engineering, National University of Sciences and Technology, Islamabad, Pakistan","IEEE Journal of Biomedical and Health Informatics","20170901","2017","21","5","1403","1410","The goal of this study is to introduce a nonparametric technique for predicting conversion from Mild Cognitive impairment (MCI)-to-Alzheimer's disease (AD). Progression of a slowly progressing disease such as AD benefits from the use of longitudinal data; however, research till now is limited due to the insufficient patient data and short follow-up time. A small dataset size invalidates the estimation of underlying disease progression model; hence, a supervised nonparametric method is proposed. While depicting a real-world setting, longitudinal data of three years are employed for training, whereas only the baseline visit's data is used for validation. The train set is preprocessed for extraction of two dense clusters representing the subjects who remain stable at MCI or progress to AD after three years of the baseline visit. Similarity between these clusters and the test point is calculated in Euclidean space. Multiple features from two modalities of biomarkers, i.e., neuropsychological measures (NM) and structural magnetic resonance imaging (MRI) morphometry are also analyzed. Due to the limited MCI dataset size (NM: 145, MRI: 52, NM+MRI: 29), leave-one-out cross validation setup is employed for performance evaluation. The algorithm performance is noted for both unimodal case and bimodal cases. Superior performance (accuracy: 89.66%, sensitivity: 87.50%, specificity: 92.31%, precision: 93.33%) is delivered by multivariate predictors. Three notable conclusions of this study are: 1) Longitudinal data are more powerful than the temporal data, 2) MRI is a better predictor of MCI-to-AD conversion than NM, and 3) multivariate predictors outperform single predictor models.","2168-2194;21682194","","10.1109/JBHI.2016.2608998","ADNI clinical sites in Canada; AbbVie, Alzheimer's Association; Alzheimer's Disease Neuroimaging Initiative (ADNI); Araclon Biotech; BioClinica, Inc.; CereSpir, Inc.; Eisai, Inc.; Elan Pharmaceuticals, Inc.; EuroImmun; F. Hoffmann-La Roche, Ltd.; GE Healthcare; IXICO, Ltd.; Johnson & Johnson Pharmaceutical Research & Development, LLC; Lumosity; Lundbeck; Meso Scale Diagnostics, LLC; NeuroRx Research; Neurotrack Technologies; Pfizer, Inc.; Piramal Imaging; Servier; Transition Therapeutics; 10.13039/100000002 - National Institutes of Health; 10.13039/100000005 - DOD ADNI Department of Defense; 10.13039/100000049 - National Institute on Aging; 10.13039/100000070 - National Institute of Biomedical Imaging and Bioengineering; 10.13039/100002491 - Bristol-Myers Squibb Company; 10.13039/100002565 - Alzheimer's Drug Discovery Foundation; 10.13039/100004312 - Eli Lilly and Company; 10.13039/100004328 - Genentech, Inc.; 10.13039/100004334 - Merck & Co., Inc.; 10.13039/100005205 - Janssen Alzheimer Immunotherapy Research and Development, LLC; 10.13039/100005614 - Biogen; 10.13039/100008272 - Novartis Pharmaceuticals Corporation; 10.13039/100008373 - Takeda Pharmaceutical Company; 10.13039/501100005062 - Fujirebio; ","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7565567","Alzheimer's disease neuroimaging initiative (ADNI);Euclidean space;classification;feature ranking;linear regression;longitudinal data;mild cognitive impairment (MCI);nonparametric","Biomarkers;Dementia;Magnetic resonance imaging;Volume measurement","biomedical MRI;diseases;feature extraction;medical disorders;medical image processing;neurophysiology","Alzheimer disease;biomarker modality;disease progression model;magnetic resonance imaging;mild cognitive impairment;neuropsychological measures;nonparametric technique;structural MRI morphometry;supervised nonparametric method","Aged;Aged, 80 and over;Alzheimer Disease;Biomarkers;Cognitive Dysfunction;Computational Biology;Disease Progression;Female;Humans;Magnetic Resonance Imaging;Male;Positron-Emission Tomography;Statistics, Nonparametric","1","","","","","20160913","Sept. 2017","","IEEE","IEEE Journals & Magazines"
"EEG fluctuations of wake and sleep in mild cognitive impairment","J. O'Keeffe; B. Carlson; L. DeStefano; M. Wenger; M. Craft; L. Hershey; J. Hughes; D. Wu; L. Ding; H. Yuan","School of Electrical and Computer Engineering, University of Oklahoma, Norman, USA","2017 39th Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)","20170914","2017","","","3612","3615","Amnestic Mild Cognitive Impairment (aMCI), a condition in which the memory functions of cognition are significantly impaired, is an established risk factor for Alzheimer's disease. Electroencephalography (EEG) is a tool capable of measuring the dynamics of the brain's neural networks, and is thus an important means in analysis and understanding of aMCI. In this proof-of-concept study, we compared the brain activation patterns of ten aMCI subjects with those of four healthy subjects during sleep by employing a 64-channel EEG data collection system. The power spectrum was analyzed to identify sleep stages, while spectral topography and source imaging techniques were employed to study the fluctuating patterns of the brain. Results of this study show an increase in activation power across all sleep stages in the delta and theta frequency bands alongside a decrease in alpha band activity for aMCI subjects. Source imaging analysis of the resting EEG identified default mode network, which becomes decoupled as sleep stages deepen. In the proof-of-concept study, our exploratory analysis demonstrated the feasibility of imaging dynamic network organization using EEG in aMCI.","1557-170X;1557170X","Electronic:978-1-5090-2809-2; POD:978-1-5090-2810-8","10.1109/EMBC.2017.8037639","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8037639","","Biological neural networks;Dementia;Electroencephalography;Imaging;Sleep;Surfaces","cognition;diseases;electroencephalography;medical image processing;neural nets;sleep","Alzheimer disease;EEG data collection system;EEG fluctuations;alpha band activity;amnestic mild cognitive impairment;brain activation patterns;brain neural networks;dynamic network organization;electroencephalography;memory functions;sleep stages;source imaging techniques;spectral topography;wake stage","","","","","","","","11-15 July 2017","","IEEE","IEEE Conferences"
"Early diagnosis of Alzheimer's disease: A multi-class deep learning framework with modified k-sparse autoencoder classification","P. Bhatkoti; M. Paul","School of Computing and Mathematics, Charles Sturt University, Australia","2016 International Conference on Image and Vision Computing New Zealand (IVCNZ)","20170105","2016","","","1","5","Successful, timely diagnosis of neuropsychiatry diseases is key to management. Research efforts in the area of diagnosis of Alzheimer's disease have used various aspects of computer-aided multi-class diagnosis approaches with varied degrees of success. However, there is still need for more efficient and reliable approaches to successful diagnosis of the disease. This research used deep learning framework with modified k-sparse autoencoder (oKSA) classification to locate neutrally degenerated areas of the brain magnetic resonance imaging (MRI), low amyloid beta 1-42 imaging in cerebrospinal fluid (CSF) and positron emission tomography (PET) imaging of amyloid; each with a sample of 150 images. Results show a correlation between computational demarcation of infected regions and the images. Degeneration in the studied areas was evidenced by high phosphorylated t-/p-tau levels in CSF, regional fluorodeoxyglucose PET, and the presence of atrophy patterns. The use of σKSA algorithm in boosting classification helped to improve the classifier performance. The KSA method with deep learning framework is used for the first time to produce accurate results in diagnosis of Alzheimer's disease.","","Electronic:978-1-5090-2748-4; POD:978-1-5090-2749-1; USB:978-1-5090-2747-7","10.1109/IVCNZ.2016.7804459","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7804459","Alzheimer's;aKSA;deep learning;diagnosis;k-sparse;neuroimaging","Alzheimer's disease;Classification algorithms;Encoding;Feature extraction;Machine learning;Magnetic resonance imaging","biomedical MRI;diseases;image classification;image coding;learning (artificial intelligence);medical image processing;positron emission tomography","σKSA algorithm;CSF;MRI;PET imaging;atrophy patterns;brain magnetic resonance imaging;cerebrospinal fluid;classifier performance;computational demarcation;computer-aided multiclass diagnosis;early Alzheimer's disease diagnosis;infected images;infected regions;low amyloid beta 1-42 imaging;modified k-sparse autoencoder classification;multiclass deep learning;neuropsychiatric disease diagnosis;neutrally degenerated areas;phosphorylated t-/p-tau levels;positron emission tomography;regional hypometabolism fluorodeoxyglucose PET","","","","","","","","21-22 Nov. 2016","","IEEE","IEEE Conferences"
"EEG analysis for working memory modeling in face recognition task","L. Ghosh; S. Parui; P. Rakshit; A. Konar","Artificial Intelligence Lab, ETCE Department, Jadavpur University, Kolkata, India","2017 Third International Conference on Research in Computational Intelligence and Communication Networks (ICRCICN)","20171225","2017","","","33","38","The paper proposes a new approach to mode human working memory using EEG-induced fuzzy associativi memory and attempts to recover the encoded memor information from partially supplied instances during memor recall tasks. Experiments are performed to obtain EEG feature from the temporal lobe, representing working memory input and pre-frontal lobe, representing the working memory outpu during memory encoding process of unknown peoples' face. Thi fuzzy associative memory is built up with these input-outpu features of the working memory, acquired for multiple instances During the recall cycle, we use a notion of fuzzy inversi formulation to recall the input EEG instances from the supplie output instances of the working memory using fuzzy associativ memory, when the subject is asked to remember the original faci from its part, and to our great surprise the model produced inpu instances match with actual brain-generated input instances wit small error. This signifies the importance of the propose(working memory model and inverse formulation in memor retrieval process. Experiments undertaken reveal that the erro metric could successfully be used to diagnose two peopl suffering from Parkinson and three from the early Alzheimer' diseases among a total population of 50 healthy plus 5 brain diseased people.","","Electronic:978-1-5386-1931-5; POD:978-1-5386-1932-2; USB:978-1-5386-1930-8","10.1109/ICRCICN.2017.8234477","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8234477","bidirectiona associative memory;fuzzy relational technique;max-min inverse differential evolution;short term memory;working memory","Associative memory;Brain modeling;Electrodes;Electroencephalography;Encoding;Face;Face recognition","diseases;electroencephalography;face recognition;feature extraction;fuzzy set theory;medical signal processing;neurophysiology","EEG feature;EEG-induced fuzzy associative memory;face recognition;fuzzy inversi formulation;human working memory;memory encoding process;memory recall tasks;working memory model","","","","","","","","3-5 Nov. 2017","","IEEE","IEEE Conferences"
