Title,Year,DOI,Link
"Scopolamine-induced passive avoidance memory retrieval deficit is accompanied with hippocampal MMP2, MMP-9 and MAPKs alteration",2018,10.1016/j.ejphar.2017.12.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037684747&doi=10.1016%2fj.ejphar.2017.12.007&partnerID=40&md5=716ea9a32d382d4029dde7dc983082c5"
"Anatomical Landmark based Deep Feature Representation for MR Images in Brain Disease Diagnosis",2018,10.1109/JBHI.2018.2791863,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041234710&doi=10.1109%2fJBHI.2018.2791863&partnerID=40&md5=9debb3c2ead0c4de36cd3216ec73730d"
"Multimodal Neuroimaging Feature Learning with Multimodal Stacked Deep Polynomial Networks for Diagnosis of Alzheimer's Disease",2018,10.1109/JBHI.2017.2655720,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040340661&doi=10.1109%2fJBHI.2017.2655720&partnerID=40&md5=2cced6c4ac248474cb9bbfbdc0ba2de2"
"Landmark-based deep multi-instance learning for brain disease diagnosis",2018,10.1016/j.media.2017.10.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032831440&doi=10.1016%2fj.media.2017.10.005&partnerID=40&md5=55466a211250e39f07e6f981baecaa6b"
"Deep 3D Convolutional Neural Network Architectures for Alzheimer’s Disease Diagnosis",2018,10.1007/978-3-319-75417-8_27,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043537423&doi=10.1007%2f978-3-319-75417-8_27&partnerID=40&md5=345170d9076b5cee726a2ccfd3115591"
"10th International scientific conferences on research and applications in the field of intelligent information and database systems, ACIIDS 2018",2018,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043591272&partnerID=40&md5=f11063ba0606e7ca7869c8fbfa9ecc6d"
"Automated multiclass classification of spontaneous EEG activity in Alzheimer's disease and mild cognitive impairment",2018,10.3390/e20010035,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040550026&doi=10.3390%2fe20010035&partnerID=40&md5=9e9470cf9b018478ad9aafc577f96718"
"10th International scientific conferences on research and applications in the field of intelligent information and database systems, ACIIDS 2018",2018,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043508587&partnerID=40&md5=e5d0cbacd8d9ded49628febc31c6a307"
"4th International Conference on IoT Technologies for HealthCare, HealthyIoT 2017",2018,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042528627&partnerID=40&md5=abaa06b97e1e94944cc2bc00a01270d0"
"The relationship between recall of recently versus remotely encoded famous faces and amyloidosis in clinically normal older adults",2018,10.1016/j.dadm.2017.11.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039153201&doi=10.1016%2fj.dadm.2017.11.003&partnerID=40&md5=910b7ff3d39db410c6b4b97504c54683"
"Characterization of brain anatomical patterns by comparing region intensity distributions: Applications to the description of Alzheimer's disease",2018,10.1002/brb3.942,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043322674&doi=10.1002%2fbrb3.942&partnerID=40&md5=14d8c36c59a451f46ee98d60bbecbc28"
"ACM International Conference Proceeding Series",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041901194&partnerID=40&md5=7b76b2927507352ead43c9999725c60d"
"HIPS: A new hippocampus subfield segmentation method",2017,10.1016/j.neuroimage.2017.09.049,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030320219&doi=10.1016%2fj.neuroimage.2017.09.049&partnerID=40&md5=b4107eb87c51034a0ec128e920b33dd9"
"Early Diagnosis of Alzheimer&#x0027;s Disease Based on Resting-State Brain Networks and Deep Learning",2017,10.1109/TCBB.2017.2776910,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035760174&doi=10.1109%2fTCBB.2017.2776910&partnerID=40&md5=28ded5a41fe5b5be9447b7caa19062e7"
"Generalized psychophysiological interaction (PPI) analysis of memory related connectivity in individuals at genetic risk for Alzheimer's disease",2017,10.3791/55394,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034105119&doi=10.3791%2f55394&partnerID=40&md5=100a55764765df67697a8d21e5361705"
"Proceedings of 2017 IEEE 16th International Conference on Cognitive Informatics and Cognitive Computing, ICCI∗CC 2017",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040548213&partnerID=40&md5=45c0f93ea145b2c881d53d19d7f0d297"
"Functional brain imaging synthesis based on image decomposition and kernel modeling: Application to neurodegenerative diseases",2017,10.3389/fninf.2017.00065,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036518066&doi=10.3389%2ffninf.2017.00065&partnerID=40&md5=9e54ab95a08fe2a754ab19bc4d082c95"
"Functional connectivity assessment for episodic memory",2017,10.1109/ICCI-CC.2017.8109759,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040602207&doi=10.1109%2fICCI-CC.2017.8109759&partnerID=40&md5=580e9600578d23bc56c996264a4b9cde"
"Longitudinal Brain MRI Retrieval for Alzheimer&#x2019;s Disease Using Different Temporal Information",2017,10.1109/ACCESS.2017.2773359,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034269957&doi=10.1109%2fACCESS.2017.2773359&partnerID=40&md5=18a1ffb1962b7c8266807094c1ba63c5"
"Individual differences in associative memory among older adults explained by hippocampal subfield structure and function",2017,10.1073/pnas.1713308114,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033454679&doi=10.1073%2fpnas.1713308114&partnerID=40&md5=12e569c44ea22d993daf35b5ee964c09"
"Auto-Context Convolutional Neural Network (Auto-Net) for Brain Extraction in Magnetic Resonance Imaging",2017,10.1109/TMI.2017.2721362,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023777340&doi=10.1109%2fTMI.2017.2721362&partnerID=40&md5=e80af191f059b21c2cf20e384fe5adf4"
"Influence of cerebrovascular disease on brain networks in prodromal and clinical Alzheimer's disease",2017,10.1093/brain/awx224,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032947347&doi=10.1093%2fbrain%2fawx224&partnerID=40&md5=1a6ece683ca7de717fb442e03295618e"
"Machine Learning Applications to Resting-State Functional MR Imaging Analysis",2017,10.1016/j.nic.2017.06.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031088485&doi=10.1016%2fj.nic.2017.06.010&partnerID=40&md5=c33e42d90c54c7edd7baa939574a0251"
"Biomathematical screening of amyloid radiotracers with clinical usefulness index",2017,10.1016/j.trci.2017.08.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032874491&doi=10.1016%2fj.trci.2017.08.006&partnerID=40&md5=2dbc4722b52464950c1ef4292b8a8ee4"
"Artificial intelligence based smart diagnosis of Alzheimer's disease and mild cognitive impairment",2017,10.1109/ISC2.2017.8090871,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039972174&doi=10.1109%2fISC2.2017.8090871&partnerID=40&md5=b7329a79f1bc29c938c595bb68e8ef0e"
"Iterative sparsity score for feature selection and its extension for multimodal data",2017,10.1016/j.neucom.2016.08.124,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014110335&doi=10.1016%2fj.neucom.2016.08.124&partnerID=40&md5=da320b6c21ba3e63f11d986ed6430a4a"
"Biomarkers and stimulation algorithms for adaptive brain stimulation",2017,10.3389/fnins.2017.00564,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031098419&doi=10.3389%2ffnins.2017.00564&partnerID=40&md5=54570bbc2acd738a67d4038560033408"
"The brain interstitial system: Anatomy, modeling, in vivo measurement, and applications",2017,10.1016/j.pneurobio.2015.12.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960984210&doi=10.1016%2fj.pneurobio.2015.12.007&partnerID=40&md5=2342c94bf569bdf2889bd5c543ea0394"
"Feature ranking for mild cognitive impairment and Alzheimer's disease diagnosis",2017,10.1109/SPS.2017.8053649,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034782451&doi=10.1109%2fSPS.2017.8053649&partnerID=40&md5=fa6889db7e056d1e476946011951bc61"
"EEG fluctuations of wake and sleep in mild cognitive impairment",2017,10.1109/EMBC.2017.8037639,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032228042&doi=10.1109%2fEMBC.2017.8037639&partnerID=40&md5=d66969c927633840ad94fac9ce3ec296"
"A Nonparametric Approach for Mild Cognitive Impairment to AD Conversion Prediction: Results on Longitudinal Data",2017,10.1109/JBHI.2016.2608998,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029951430&doi=10.1109%2fJBHI.2016.2608998&partnerID=40&md5=e47d85aa75d144f4b859110fc59b373e"
"Distinguishing early and late brain aging from the Alzheimer's disease spectrum: consistent morphological patterns across independent samples",2017,10.1016/j.neuroimage.2017.06.070,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024098926&doi=10.1016%2fj.neuroimage.2017.06.070&partnerID=40&md5=6d86bd37a2c13eae260d4db3ace038e2"
"A Phenomenological survey on various types of brain diseases using soft computing techniques",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030679979&partnerID=40&md5=c9ed9ec289edbfbb211bcae42c727bd5"
"The influence of regional distribution and pharmacologic specificity of GABAAR subtype expression on anesthesia and emergence",2017,10.3389/fnsys.2017.00058,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029209860&doi=10.3389%2ffnsys.2017.00058&partnerID=40&md5=3dbe727b689961685069f4f8ccede6d4"
"Alzheimer’s disease early diagnosis using manifold-based semi-supervised learning",2017,10.3390/brainsci7080109,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029165512&doi=10.3390%2fbrainsci7080109&partnerID=40&md5=7acbd63b2ab4f469bc8f5dc334373b2b"
"A clinicopathological approach to the diagnosis of dementia",2017,10.1038/nrneurol.2017.96,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026471235&doi=10.1038%2fnrneurol.2017.96&partnerID=40&md5=7006dfbe3933d73e8cf67aa99fac5c0d"
"18F-FDG PET brain images as features for Alzheimer classification",2017,10.1016/j.radphyschem.2016.08.028,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995476540&doi=10.1016%2fj.radphyschem.2016.08.028&partnerID=40&md5=a4245cdb55da17eebce468192fffb28d"
"Enhanced data representation by kernel metric learning for dementia diagnosis",2017,10.3389/fnins.2017.00413,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026633195&doi=10.3389%2ffnins.2017.00413&partnerID=40&md5=d9deb9a206f300050c919dec35b47d21"
"Computer-aided classification of multi-types of dementia via convolutional neural networks",2017,10.1109/MeMeA.2017.7985847,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027864343&doi=10.1109%2fMeMeA.2017.7985847&partnerID=40&md5=244fda747f335668f9a676033a1e8f00"
"A Zernike moment based method for classification of Alzheimer's disease from structural MRI",2017,10.1109/PRIA.2017.7983061,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027850558&doi=10.1109%2fPRIA.2017.7983061&partnerID=40&md5=47c68d2e7cfced7666bfa3ab10d9cf5c"
"3rd International Conference on Pattern Analysis and Image Analysis, IPRIA 2017",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027873630&partnerID=40&md5=26d47171960ad6234b24571de2cb78ba"
"Deep learning of texture and structural features for multiclass Alzheimer's disease classification",2017,10.1109/IJCNN.2017.7966129,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031008122&doi=10.1109%2fIJCNN.2017.7966129&partnerID=40&md5=d2dd976c40f8a9fe4097fdaa81b7b577"
"T-test feature ranking based 3D MR classification with VBM mask",2017,10.1109/SIU.2017.7960591,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026320421&doi=10.1109%2fSIU.2017.7960591&partnerID=40&md5=1864396a6705ac6bc39b84a578576f3e"
"Diagnosis of Alzheimer's Disease Using Dual-Tree Complex Wavelet Transform, PCA, and Feed-Forward Neural Network",2017,10.1155/2017/9060124,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022029618&doi=10.1155%2f2017%2f9060124&partnerID=40&md5=83737e5bd87c2d680afb26923a577a72"
"FuseMe: Classification of sMRI images by fusion of deep CNNs in 2D+e projections",2017,10.1145/3095713.3095749,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021804754&doi=10.1145%2f3095713.3095749&partnerID=40&md5=6dd90826780e04f0263df82aceadd9e6"
"Hippocampus segmentation through multi-view ensemble ConvNets",2017,10.1109/ISBI.2017.7950499,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023161344&doi=10.1109%2fISBI.2017.7950499&partnerID=40&md5=60559e61a22b227e11cda286143378d3"
"Age estimation from brain MRI images using deep learning",2017,10.1109/ISBI.2017.7950650,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023193879&doi=10.1109%2fISBI.2017.7950650&partnerID=40&md5=c4d8e156d6473b2d76c2ff1b10a2991f"
"Residual and plain convolutional neural networks for 3D brain MRI classification",2017,10.1109/ISBI.2017.7950647,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023166391&doi=10.1109%2fISBI.2017.7950647&partnerID=40&md5=f2a24cee7b0adbf37fa7ecb98743eaf4"
"Clinical marker for Alzheimer disease pathology in logopenic primary progressive aphasia",2017,10.1212/WNL.0000000000004034,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020750341&doi=10.1212%2fWNL.0000000000004034&partnerID=40&md5=23d2c151764edb03bd55d5221fcbe612"
"Classification of sMRI for Alzheimer's disease diagnosis with CNN: Single Siamese networks with 2D+ϵ Approach and fusion on ADNI",2017,10.1145/3078971.3079010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021839643&doi=10.1145%2f3078971.3079010&partnerID=40&md5=cf107f964e118867e4c71eab2aa5ecb7"
"Alzheimer disease classification using KPCA, LDA, and multi-kernel learning SVM",2017,10.1002/ima.22217,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019587221&doi=10.1002%2fima.22217&partnerID=40&md5=48afe29d23c8017ae797678b4f3f199e"
"Changes of EEG spectra and functional connectivity during an object-location memory task in Alzheimer’s disease",2017,10.3389/fnbeh.2017.00107,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027874699&doi=10.3389%2ffnbeh.2017.00107&partnerID=40&md5=f653d9fbec7bb36aaa6306eb0ee0c660"
"Multifactorial causal model of brain (dis)organization and therapeutic intervention: Application to Alzheimer's disease",2017,10.1016/j.neuroimage.2017.02.058,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014459101&doi=10.1016%2fj.neuroimage.2017.02.058&partnerID=40&md5=e50a482c0286df20e05f5acb8b27b6e0"
"Voxel-Based Diagnosis of Alzheimer's Disease Using Classifier Ensembles",2017,10.1109/JBHI.2016.2538559,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028088657&doi=10.1109%2fJBHI.2016.2538559&partnerID=40&md5=1d91fe423ce6b3b7a1f02608ecb11ed7"
"Injured Brains and Adaptive Networks: The Benefits and Costs of Hyperconnectivity",2017,10.1016/j.tics.2017.03.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016405085&doi=10.1016%2fj.tics.2017.03.003&partnerID=40&md5=7e4da86b3595b69603f97a4944e611dc"
"A novel approach for the prediction of conversion from mild cognitive impairment to Alzheimer's disease using MRI images",2017,10.4316/AECE.2017.02015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020067022&doi=10.4316%2fAECE.2017.02015&partnerID=40&md5=db8a3798d6b306f7d0b3d3606a8d7ecf"
"Classification of Alzheimer's disease and prediction of mild cognitive impairment-to-Alzheimer's conversion from structural magnetic resource imaging using feature ranking and a genetic algorithm",2017,10.1016/j.compbiomed.2017.02.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014219554&doi=10.1016%2fj.compbiomed.2017.02.011&partnerID=40&md5=df2ac6a15fddfc3fdb76bac4b78942db"
"Recent publications from the Alzheimer's Disease Neuroimaging Initiative: Reviewing progress toward improved AD clinical trials",2017,10.1016/j.jalz.2016.11.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017390734&doi=10.1016%2fj.jalz.2016.11.007&partnerID=40&md5=adcff64fa563377aa96b06f14bc98eed"
"Diagnosis of autism through EEG processed by advanced computational algorithms: A pilot study",2017,10.1016/j.cmpb.2017.02.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013629651&doi=10.1016%2fj.cmpb.2017.02.002&partnerID=40&md5=2de0c77c06be14a2990341fae41d27ec"
"The neural substrates of super memory",2017,10.1126/scitranslmed.aan0770,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017423069&doi=10.1126%2fscitranslmed.aan0770&partnerID=40&md5=7e48e69e477f1d5bb4dc77fec6e9a2f1"
"Multimodal learning using convolution neural network and Sparse Autoencoder",2017,10.1109/BIGCOMP.2017.7881683,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017573944&doi=10.1109%2fBIGCOMP.2017.7881683&partnerID=40&md5=15fb07fa128787bf3e4b8c45d7e2af6c"
"Tract-specific white matter hyperintensities disrupt neural network function in Alzheimer's disease",2017,10.1016/j.jalz.2016.06.2358,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000480329&doi=10.1016%2fj.jalz.2016.06.2358&partnerID=40&md5=d363225d04629997818625fd33b28cf7"
"Using deep learning to investigate the neuroimaging correlates of psychiatric and neurological disorders: Methods and applications",2017,10.1016/j.neubiorev.2017.01.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009921542&doi=10.1016%2fj.neubiorev.2017.01.002&partnerID=40&md5=1b87d8c6feb7ce899898d2752f1fe977"
"Word recognition in Alzheimer’s disease: Effects of semantic degeneration",2017,10.1111/jnp.12077,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932147931&doi=10.1111%2fjnp.12077&partnerID=40&md5=de563e49007228795efb50a1a3af9c83"
"Lesion topography and microscopic white matter tract damage contribute to cognitive impairment in symptomatic carotid artery disease",2017,10.1148/radiol.2016152685,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013654190&doi=10.1148%2fradiol.2016152685&partnerID=40&md5=ecc6f4e369c5ca3b828978a3a17f6cba"
"Deep learning representation from electroencephalography of early-stage creutzfeldt-jakob disease and features for differentiation from rapidly progressive dementia",2017,10.1142/S0129065716500398,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007400475&doi=10.1142%2fS0129065716500398&partnerID=40&md5=f3671627ec91f8b00ffd97f7398b9198"
"Image-based dementia disease diagnosis via deep low-resource pair-wise learning",2017,10.1007/s11042-017-4492-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013484818&doi=10.1007%2fs11042-017-4492-5&partnerID=40&md5=5d8359e6f25e47f3eeaad070bf2e0601"
"The impact of bilingualism on brain reserve and metabolic connectivity in Alzheimer's dementia",2017,10.1073/pnas.1610909114,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013092912&doi=10.1073%2fpnas.1610909114&partnerID=40&md5=7f741f2a93ce32d06282f6fb4d8a7a74"
"DemNet: A Convolutional Neural Network for the detection of Alzheimer's Disease and Mild Cognitive Impairment",2017,10.1109/TENCON.2016.7848755,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015428609&doi=10.1109%2fTENCON.2016.7848755&partnerID=40&md5=1dcc7a169d487a48e917a8a9d5b99c9a"
"Brain imaging and automatic analysis in neurological and psychiatric diseases – part I",2017,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011092530&partnerID=40&md5=1b65f306bd9ad64f424eff1d6fe5ea8b"
"A feature-free 30-disease pathological brain detection system by linear regression classifier",2017,10.2174/1871527314666161124115531,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011067770&doi=10.2174%2f1871527314666161124115531&partnerID=40&md5=577996271b9c5b3be12aaf669111ae16"
"Neurophysiological assessment of neural network plasticity and connectivity: Progress towards early functional biomarkers for disease interception therapies in Alzheimer's disease",2017,10.1016/j.neubiorev.2016.12.020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008703741&doi=10.1016%2fj.neubiorev.2016.12.020&partnerID=40&md5=664ac7975adfbb8247aa33f1add63924"
"Role of artificial intelligence techniques (Automatic classifiers) in molecular imaging modalities in neurodegenerative diseases",2017,10.2174/1567205013666160620122926,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011063941&doi=10.2174%2f1567205013666160620122926&partnerID=40&md5=90ad62d4a6c35669697427899ee55c7a"
"Moving from detection to pre-detection of Alzheimer's Disease from MRI data",2017,10.1109/ICTER.2016.7829940,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013820847&doi=10.1109%2fICTER.2016.7829940&partnerID=40&md5=4953d4fe7673ed6efdc8c7981154025e"
"Spatial regularization for neural network and application in Alzheimer's disease classification",2017,10.1109/FTC.2016.7821700,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013684915&doi=10.1109%2fFTC.2016.7821700&partnerID=40&md5=bc0b03789e5328e785dd1491e4b4a48c"
"Deep learning-based pipeline to recognize Alzheimer's disease using fMRI data",2017,10.1109/FTC.2016.7821697,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013664213&doi=10.1109%2fFTC.2016.7821697&partnerID=40&md5=d8408645088172591fd0e19d6ef4521f"
"Single subject prediction of brain disorders in neuroimaging: Promises and pitfalls",2017,10.1016/j.neuroimage.2016.02.079,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962787673&doi=10.1016%2fj.neuroimage.2016.02.079&partnerID=40&md5=02c435791465a7d077ad0db2d5ba2137"
"Early diagnosis of Alzheimer's disease: A multi-class deep learning framework with modified k-sparse autoencoder classification",2017,10.1109/IVCNZ.2016.7804459,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010868068&doi=10.1109%2fIVCNZ.2016.7804459&partnerID=40&md5=d9bfdfc96f3c645f962b5d8705b0750e"
"Machine Learning Theory and Applications for Healthcare",2017,10.1155/2017/5263570,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031906576&doi=10.1155%2f2017%2f5263570&partnerID=40&md5=e46234b6d192e097c3841ed51b438f1a"
"Predicting clinical outcomes of Alzheimer’s disease from complex brain networks",2017,10.1007/978-3-319-69179-4_36,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033670610&doi=10.1007%2f978-3-319-69179-4_36&partnerID=40&md5=1fa17fbe01d06dbc5181e287aac12b42"
"Deep Neural Network with l2-Norm Unit for Brain Lesions Detection",2017,10.1007/978-3-319-70093-9_85,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035097859&doi=10.1007%2f978-3-319-70093-9_85&partnerID=40&md5=f3cf7cc28df0f2d26a265ae65296d5e2"
"Development of methods and algorithms for the classification of neurodegenerative diseases of the brain using MRI images",2017,10.18287/1613-0073-2017-1904-300-305,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040638334&doi=10.18287%2f1613-0073-2017-1904-300-305&partnerID=40&md5=c2922f26cebd027112196db7d9137252"
"Image Retrieval for Alzheimer’s Disease Based on Brain Atrophy Pattern",2017,10.1007/978-3-319-67597-8_16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029811391&doi=10.1007%2f978-3-319-67597-8_16&partnerID=40&md5=3b6295cc11c6dc684d46c6e1a66ada13"
"Classification of sMRI for AD diagnosis with convolutional neuronal networks: A pilot 2-D+ϵ study on ADNI",2017,10.1007/978-3-319-51811-4_56,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009804121&doi=10.1007%2f978-3-319-51811-4_56&partnerID=40&md5=3a37486d4284e846ec4316828121220c"
"Classification of MR brain images by combination of multi-CNNs for AD diagnosis",2017,10.1117/12.2281808,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030713601&doi=10.1117%2f12.2281808&partnerID=40&md5=4e9a32a35c9c3608989bfb8d11349584"
"Family history and APOE4 risk for Alzheimer's disease impact the neural correlates of episodic memory by early midlife",2017,10.1016/j.nicl.2017.03.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017146394&doi=10.1016%2fj.nicl.2017.03.016&partnerID=40&md5=a6154c0cc7bb32b281ee59048d9f0e55"
"Twin SVM-Based Classification of Alzheimer's Disease Using Complex Dual-Tree Wavelet Principal Coefficients and LDA",2017,10.1155/2017/8750506,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028688683&doi=10.1155%2f2017%2f8750506&partnerID=40&md5=481312dd365c5535c4dff98fe47c3897"
"A Novel Deep Learning Based Multi-class Classification Method for Alzheimer’s Disease Detection Using Brain MRI Data",2017,10.1007/978-3-319-70772-3_20,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034264690&doi=10.1007%2f978-3-319-70772-3_20&partnerID=40&md5=48f64862ed76cf0174c02cd21e62bbf7"
